ADDRESS,POINTS
814 21 AV SE,2072.153 -1451.656|2064.561 -1451.645|2064.534 -1485.315|2072.125 -1485.315
2004 SPILLER RD SE,2079.808 -1414.339|2074.495 -1414.339|2057.816 -1432.687|2079.780 -1432.687
