ADDRESS,POINTS
1502 21 AV NW,-1655.414 2616.365|-1648.416 2616.365|-1647.815 2616.977|-1645.390 2619.412|-1645.466 2652.915|-1647.899 2652.915|-1655.505 2652.915
1502 21 AV NW,-1655.505 2652.915|-1663.103 2652.915|-1670.709 2652.915|-1670.618 2616.388|-1670.618 2616.354|-1663.020 2616.365|-1655.414 2616.365
