ADDRESS,POINTS
1239 17 AV NW,-1259.914 2195.159|-1267.505 2195.159|-1275.097 2195.148|-1275.055 2158.587|-1267.463 2158.598|-1259.865 2158.598
1239 17 AV NW,-1244.730 2195.170|-1252.322 2195.170|-1259.914 2195.159|-1259.865 2158.598|-1252.273 2158.609|-1244.681 2158.609
101 1301 17 AV NW,-1340.731 2158.520|-1295.132 2158.565|-1295.167 2195.170|-1340.780 2195.115
102 1301 17 AV NW,-1340.731 2158.520|-1295.132 2158.565|-1295.167 2195.170|-1340.780 2195.115
103 1301 17 AV NW,-1340.731 2158.520|-1295.132 2158.565|-1295.167 2195.170|-1340.780 2195.115
104 1301 17 AV NW,-1340.731 2158.520|-1295.132 2158.565|-1295.167 2195.170|-1340.780 2195.115
105 1301 17 AV NW,-1340.731 2158.520|-1295.132 2158.565|-1295.167 2195.170|-1340.780 2195.115
201 1301 17 AV NW,-1340.731 2158.520|-1295.132 2158.565|-1295.167 2195.170|-1340.780 2195.115
202 1301 17 AV NW,-1340.731 2158.520|-1295.132 2158.565|-1295.167 2195.170|-1340.780 2195.115
203 1301 17 AV NW,-1340.731 2158.520|-1295.132 2158.565|-1295.167 2195.170|-1340.780 2195.115
204 1301 17 AV NW,-1340.731 2158.520|-1295.132 2158.565|-1295.167 2195.170|-1340.780 2195.115
205 1301 17 AV NW,-1340.731 2158.520|-1295.132 2158.565|-1295.167 2195.170|-1340.780 2195.115
206 1301 17 AV NW,-1340.731 2158.520|-1295.132 2158.565|-1295.167 2195.170|-1340.780 2195.115
207 1301 17 AV NW,-1340.731 2158.520|-1295.132 2158.565|-1295.167 2195.170|-1340.780 2195.115
208 1301 17 AV NW,-1340.731 2158.520|-1295.132 2158.565|-1295.167 2195.170|-1340.780 2195.115
209 1301 17 AV NW,-1340.731 2158.520|-1295.132 2158.565|-1295.167 2195.170|-1340.780 2195.115
210 1301 17 AV NW,-1340.731 2158.520|-1295.132 2158.565|-1295.167 2195.170|-1340.780 2195.115
211 1301 17 AV NW,-1340.731 2158.520|-1295.132 2158.565|-1295.167 2195.170|-1340.780 2195.115
301 1301 17 AV NW,-1340.731 2158.520|-1295.132 2158.565|-1295.167 2195.170|-1340.780 2195.115
302 1301 17 AV NW,-1340.731 2158.520|-1295.132 2158.565|-1295.167 2195.170|-1340.780 2195.115
303 1301 17 AV NW,-1340.731 2158.520|-1295.132 2158.565|-1295.167 2195.170|-1340.780 2195.115
304 1301 17 AV NW,-1340.731 2158.520|-1295.132 2158.565|-1295.167 2195.170|-1340.780 2195.115
305 1301 17 AV NW,-1340.731 2158.520|-1295.132 2158.565|-1295.167 2195.170|-1340.780 2195.115
306 1301 17 AV NW,-1340.731 2158.520|-1295.132 2158.565|-1295.167 2195.170|-1340.780 2195.115
307 1301 17 AV NW,-1340.731 2158.520|-1295.132 2158.565|-1295.167 2195.170|-1340.780 2195.115
308 1301 17 AV NW,-1340.731 2158.520|-1295.132 2158.565|-1295.167 2195.170|-1340.780 2195.115
309 1301 17 AV NW,-1340.731 2158.520|-1295.132 2158.565|-1295.167 2195.170|-1340.780 2195.115
310 1301 17 AV NW,-1340.731 2158.520|-1295.132 2158.565|-1295.167 2195.170|-1340.780 2195.115
311 1301 17 AV NW,-1340.731 2158.520|-1295.132 2158.565|-1295.167 2195.170|-1340.780 2195.115
28V 1301 17 AV NW,-1340.731 2158.520|-1295.132 2158.565|-1295.167 2195.170|-1340.780 2195.115
29V 1301 17 AV NW,-1340.731 2158.520|-1295.132 2158.565|-1295.167 2195.170|-1340.780 2195.115
30V 1301 17 AV NW,-1340.731 2158.520|-1295.132 2158.565|-1295.167 2195.170|-1340.780 2195.115
31V 1301 17 AV NW,-1340.731 2158.520|-1295.132 2158.565|-1295.167 2195.170|-1340.780 2195.115
32V 1301 17 AV NW,-1340.731 2158.520|-1295.132 2158.565|-1295.167 2195.170|-1340.780 2195.115
33V 1301 17 AV NW,-1340.731 2158.520|-1295.132 2158.565|-1295.167 2195.170|-1340.780 2195.115
34V 1301 17 AV NW,-1340.731 2158.520|-1295.132 2158.565|-1295.167 2195.170|-1340.780 2195.115
35V 1301 17 AV NW,-1340.731 2158.520|-1295.132 2158.565|-1295.167 2195.170|-1340.780 2195.115
36V 1301 17 AV NW,-1340.731 2158.520|-1295.132 2158.565|-1295.167 2195.170|-1340.780 2195.115
37V 1301 17 AV NW,-1340.731 2158.520|-1295.132 2158.565|-1295.167 2195.170|-1340.780 2195.115
38V 1301 17 AV NW,-1340.731 2158.520|-1295.132 2158.565|-1295.167 2195.170|-1340.780 2195.115
39V 1301 17 AV NW,-1340.731 2158.520|-1295.132 2158.565|-1295.167 2195.170|-1340.780 2195.115
