ADDRESS,POINTS
5927 BOWNESS RD NW,-7132.110 3760.205|-7131.914 3788.227|-7131.747 3812.578|-7162.148 3812.812|-7192.557 3813.034|-7192.739 3788.682|-7193.165 3732.662|-7162.735 3732.429|-7132.313 3732.195
7704 39 AV NW,-8850.446 4474.744|-8854.808 4479.292|-8876.073 4479.181|-8880.848 4474.611|-8880.834 4442.631|-8850.411 4442.698
12 BOWRIDGE DR NW,-9180.075 3949.826|-9155.112 3978.981|-9188.618 4007.681|-9202.088 4019.234|-9222.109 4036.403|-9301.192 3944.000|-9234.196 3886.601
