ADDRESS,POINTS
11V 8300 9 AV SW,-9652.240 1352.157|-9652.114 1307.379|-9588.578 1307.379|-9580.804 1307.379|-9580.902 1337.012|-9581.014 1376.709|-9581.077 1400.516|-9581.098 1405.764|-9623.831 1405.620|-9627.717 1405.608|-9642.481 1405.608|-9657.784 1405.620|-9661.363 1405.608|-9661.356 1401.617|-9649.073 1401.650|-9649.073 1401.350|-9642.873 1401.372|-9642.866 1398.837|-9637.630 1398.859|-9637.511 1355.093|-9642.915 1355.081|-9642.908 1352.491|-9647.668 1352.479|-9647.668 1352.168
12V 8300 9 AV SW,-9652.240 1352.157|-9652.114 1307.379|-9588.578 1307.379|-9580.804 1307.379|-9580.902 1337.012|-9581.014 1376.709|-9581.077 1400.516|-9581.098 1405.764|-9623.831 1405.620|-9627.717 1405.608|-9642.481 1405.608|-9657.784 1405.620|-9661.363 1405.608|-9661.356 1401.617|-9649.073 1401.650|-9649.073 1401.350|-9642.873 1401.372|-9642.866 1398.837|-9637.630 1398.859|-9637.511 1355.093|-9642.915 1355.081|-9642.908 1352.491|-9647.668 1352.479|-9647.668 1352.168
13V 8300 9 AV SW,-9652.240 1352.157|-9652.114 1307.379|-9588.578 1307.379|-9580.804 1307.379|-9580.902 1337.012|-9581.014 1376.709|-9581.077 1400.516|-9581.098 1405.764|-9623.831 1405.620|-9627.717 1405.608|-9642.481 1405.608|-9657.784 1405.620|-9661.363 1405.608|-9661.356 1401.617|-9649.073 1401.650|-9649.073 1401.350|-9642.873 1401.372|-9642.866 1398.837|-9637.630 1398.859|-9637.511 1355.093|-9642.915 1355.081|-9642.908 1352.491|-9647.668 1352.479|-9647.668 1352.168
14V 8300 9 AV SW,-9652.240 1352.157|-9652.114 1307.379|-9588.578 1307.379|-9580.804 1307.379|-9580.902 1337.012|-9581.014 1376.709|-9581.077 1400.516|-9581.098 1405.764|-9623.831 1405.620|-9627.717 1405.608|-9642.481 1405.608|-9657.784 1405.620|-9661.363 1405.608|-9661.356 1401.617|-9649.073 1401.650|-9649.073 1401.350|-9642.873 1401.372|-9642.866 1398.837|-9637.630 1398.859|-9637.511 1355.093|-9642.915 1355.081|-9642.908 1352.491|-9647.668 1352.479|-9647.668 1352.168
15V 8300 9 AV SW,-9652.240 1352.157|-9652.114 1307.379|-9588.578 1307.379|-9580.804 1307.379|-9580.902 1337.012|-9581.014 1376.709|-9581.077 1400.516|-9581.098 1405.764|-9623.831 1405.620|-9627.717 1405.608|-9642.481 1405.608|-9657.784 1405.620|-9661.363 1405.608|-9661.356 1401.617|-9649.073 1401.650|-9649.073 1401.350|-9642.873 1401.372|-9642.866 1398.837|-9637.630 1398.859|-9637.511 1355.093|-9642.915 1355.081|-9642.908 1352.491|-9647.668 1352.479|-9647.668 1352.168
16V 8300 9 AV SW,-9652.240 1352.157|-9652.114 1307.379|-9588.578 1307.379|-9580.804 1307.379|-9580.902 1337.012|-9581.014 1376.709|-9581.077 1400.516|-9581.098 1405.764|-9623.831 1405.620|-9627.717 1405.608|-9642.481 1405.608|-9657.784 1405.620|-9661.363 1405.608|-9661.356 1401.617|-9649.073 1401.650|-9649.073 1401.350|-9642.873 1401.372|-9642.866 1398.837|-9637.630 1398.859|-9637.511 1355.093|-9642.915 1355.081|-9642.908 1352.491|-9647.668 1352.479|-9647.668 1352.168
17V 8300 9 AV SW,-9652.240 1352.157|-9652.114 1307.379|-9588.578 1307.379|-9580.804 1307.379|-9580.902 1337.012|-9581.014 1376.709|-9581.077 1400.516|-9581.098 1405.764|-9623.831 1405.620|-9627.717 1405.608|-9642.481 1405.608|-9657.784 1405.620|-9661.363 1405.608|-9661.356 1401.617|-9649.073 1401.650|-9649.073 1401.350|-9642.873 1401.372|-9642.866 1398.837|-9637.630 1398.859|-9637.511 1355.093|-9642.915 1355.081|-9642.908 1352.491|-9647.668 1352.479|-9647.668 1352.168
18V 8300 9 AV SW,-9652.240 1352.157|-9652.114 1307.379|-9588.578 1307.379|-9580.804 1307.379|-9580.902 1337.012|-9581.014 1376.709|-9581.077 1400.516|-9581.098 1405.764|-9623.831 1405.620|-9627.717 1405.608|-9642.481 1405.608|-9657.784 1405.620|-9661.363 1405.608|-9661.356 1401.617|-9649.073 1401.650|-9649.073 1401.350|-9642.873 1401.372|-9642.866 1398.837|-9637.630 1398.859|-9637.511 1355.093|-9642.915 1355.081|-9642.908 1352.491|-9647.668 1352.479|-9647.668 1352.168
19V 8300 9 AV SW,-9652.240 1352.157|-9652.114 1307.379|-9588.578 1307.379|-9580.804 1307.379|-9580.902 1337.012|-9581.014 1376.709|-9581.077 1400.516|-9581.098 1405.764|-9623.831 1405.620|-9627.717 1405.608|-9642.481 1405.608|-9657.784 1405.620|-9661.363 1405.608|-9661.356 1401.617|-9649.073 1401.650|-9649.073 1401.350|-9642.873 1401.372|-9642.866 1398.837|-9637.630 1398.859|-9637.511 1355.093|-9642.915 1355.081|-9642.908 1352.491|-9647.668 1352.479|-9647.668 1352.168
20V 8300 9 AV SW,-9652.240 1352.157|-9652.114 1307.379|-9588.578 1307.379|-9580.804 1307.379|-9580.902 1337.012|-9581.014 1376.709|-9581.077 1400.516|-9581.098 1405.764|-9623.831 1405.620|-9627.717 1405.608|-9642.481 1405.608|-9657.784 1405.620|-9661.363 1405.608|-9661.356 1401.617|-9649.073 1401.650|-9649.073 1401.350|-9642.873 1401.372|-9642.866 1398.837|-9637.630 1398.859|-9637.511 1355.093|-9642.915 1355.081|-9642.908 1352.491|-9647.668 1352.479|-9647.668 1352.168
21V 8300 9 AV SW,-9652.240 1352.157|-9652.114 1307.379|-9588.578 1307.379|-9580.804 1307.379|-9580.902 1337.012|-9581.014 1376.709|-9581.077 1400.516|-9581.098 1405.764|-9623.831 1405.620|-9627.717 1405.608|-9642.481 1405.608|-9657.784 1405.620|-9661.363 1405.608|-9661.356 1401.617|-9649.073 1401.650|-9649.073 1401.350|-9642.873 1401.372|-9642.866 1398.837|-9637.630 1398.859|-9637.511 1355.093|-9642.915 1355.081|-9642.908 1352.491|-9647.668 1352.479|-9647.668 1352.168
22V 8300 9 AV SW,-9652.240 1352.157|-9652.114 1307.379|-9588.578 1307.379|-9580.804 1307.379|-9580.902 1337.012|-9581.014 1376.709|-9581.077 1400.516|-9581.098 1405.764|-9623.831 1405.620|-9627.717 1405.608|-9642.481 1405.608|-9657.784 1405.620|-9661.363 1405.608|-9661.356 1401.617|-9649.073 1401.650|-9649.073 1401.350|-9642.873 1401.372|-9642.866 1398.837|-9637.630 1398.859|-9637.511 1355.093|-9642.915 1355.081|-9642.908 1352.491|-9647.668 1352.479|-9647.668 1352.168
23V 8300 9 AV SW,-9652.240 1352.157|-9652.114 1307.379|-9588.578 1307.379|-9580.804 1307.379|-9580.902 1337.012|-9581.014 1376.709|-9581.077 1400.516|-9581.098 1405.764|-9623.831 1405.620|-9627.717 1405.608|-9642.481 1405.608|-9657.784 1405.620|-9661.363 1405.608|-9661.356 1401.617|-9649.073 1401.650|-9649.073 1401.350|-9642.873 1401.372|-9642.866 1398.837|-9637.630 1398.859|-9637.511 1355.093|-9642.915 1355.081|-9642.908 1352.491|-9647.668 1352.479|-9647.668 1352.168
24V 8300 9 AV SW,-9652.240 1352.157|-9652.114 1307.379|-9588.578 1307.379|-9580.804 1307.379|-9580.902 1337.012|-9581.014 1376.709|-9581.077 1400.516|-9581.098 1405.764|-9623.831 1405.620|-9627.717 1405.608|-9642.481 1405.608|-9657.784 1405.620|-9661.363 1405.608|-9661.356 1401.617|-9649.073 1401.650|-9649.073 1401.350|-9642.873 1401.372|-9642.866 1398.837|-9637.630 1398.859|-9637.511 1355.093|-9642.915 1355.081|-9642.908 1352.491|-9647.668 1352.479|-9647.668 1352.168
