ADDRESS,POINTS
5353 BURBANK RD SE,2275.101 -4381.676|2201.065 -4381.665|1622.288 -4381.609|1622.036 -4680.824|1661.505 -4680.824|1661.498 -4686.917|1622.036 -4686.917|1622.008 -4723.534|1622.001 -4732.941|1621.827 -4947.169|1671.249 -4745.072|1673.416 -4736.199|1674.150 -4733.219|1674.877 -4730.228|1677.932 -4730.528|1691.060 -4731.851|1716.289 -4686.195|1728.809 -4653.503|1770.633 -4653.036|1835.609 -4659.163|1853.736 -4660.875|1914.385 -4666.580|1955.929 -4689.530|2013.475 -4721.332|2054.593 -4744.049|2071.035 -4701.450|2252.389 -4734.909|2270.214 -4457.722
5353 BURBANK RD SE,2275.101 -4381.676|2201.065 -4381.665|1622.288 -4381.609|1622.036 -4680.824|1661.505 -4680.824|1661.498 -4686.917|1622.036 -4686.917|1622.008 -4723.534|1622.001 -4732.941|1621.827 -4947.169|1671.249 -4745.072|1673.416 -4736.199|1674.150 -4733.219|1674.877 -4730.228|1677.932 -4730.528|1691.060 -4731.851|1716.289 -4686.195|1728.809 -4653.503|1770.633 -4653.036|1835.609 -4659.163|1853.736 -4660.875|1914.385 -4666.580|1955.929 -4689.530|2013.475 -4721.332|2054.593 -4744.049|2071.035 -4701.450|2252.389 -4734.909|2270.214 -4457.722
