ADDRESS,POINTS
101 145 POINT DR NW,-5295.223 1508.453|-5294.258 1512.178|-5292.944 1515.791|-5291.294 1519.261|-5289.316 1522.563|-5258.068 1569.410|-5257.362 1570.722|-5256.929 1572.145|-5256.782 1573.635|-5256.929 1575.114|-5257.362 1576.548|-5258.061 1577.860|-5259.012 1579.017|-5260.158 1579.973|-5322.793 1621.938|-5334.404 1604.536|-5346.316 1601.323|-5335.453 1560.825|-5340.444 1559.480|-5340.409 1559.347|-5354.166 1555.633|-5353.020 1551.374|-5370.433 1546.681|-5372.579 1542.945|-5372.188 1541.477|-5371.398 1538.542|-5358.731 1491.329
103 145 POINT DR NW,-5295.223 1508.453|-5294.258 1512.178|-5292.944 1515.791|-5291.294 1519.261|-5289.316 1522.563|-5258.068 1569.410|-5257.362 1570.722|-5256.929 1572.145|-5256.782 1573.635|-5256.929 1575.114|-5257.362 1576.548|-5258.061 1577.860|-5259.012 1579.017|-5260.158 1579.973|-5322.793 1621.938|-5334.404 1604.536|-5346.316 1601.323|-5335.453 1560.825|-5340.444 1559.480|-5340.409 1559.347|-5354.166 1555.633|-5353.020 1551.374|-5370.433 1546.681|-5372.579 1542.945|-5372.188 1541.477|-5371.398 1538.542|-5358.731 1491.329
104 145 POINT DR NW,-5295.223 1508.453|-5294.258 1512.178|-5292.944 1515.791|-5291.294 1519.261|-5289.316 1522.563|-5258.068 1569.410|-5257.362 1570.722|-5256.929 1572.145|-5256.782 1573.635|-5256.929 1575.114|-5257.362 1576.548|-5258.061 1577.860|-5259.012 1579.017|-5260.158 1579.973|-5322.793 1621.938|-5334.404 1604.536|-5346.316 1601.323|-5335.453 1560.825|-5340.444 1559.480|-5340.409 1559.347|-5354.166 1555.633|-5353.020 1551.374|-5370.433 1546.681|-5372.579 1542.945|-5372.188 1541.477|-5371.398 1538.542|-5358.731 1491.329
102 145 POINT DR NW,-5295.223 1508.453|-5294.258 1512.178|-5292.944 1515.791|-5291.294 1519.261|-5289.316 1522.563|-5258.068 1569.410|-5257.362 1570.722|-5256.929 1572.145|-5256.782 1573.635|-5256.929 1575.114|-5257.362 1576.548|-5258.061 1577.860|-5259.012 1579.017|-5260.158 1579.973|-5322.793 1621.938|-5334.404 1604.536|-5346.316 1601.323|-5335.453 1560.825|-5340.444 1559.480|-5340.409 1559.347|-5354.166 1555.633|-5353.020 1551.374|-5370.433 1546.681|-5372.579 1542.945|-5372.188 1541.477|-5371.398 1538.542|-5358.731 1491.329
201 145 POINT DR NW,-5295.223 1508.453|-5294.258 1512.178|-5292.944 1515.791|-5291.294 1519.261|-5289.316 1522.563|-5258.068 1569.410|-5257.362 1570.722|-5256.929 1572.145|-5256.782 1573.635|-5256.929 1575.114|-5257.362 1576.548|-5258.061 1577.860|-5259.012 1579.017|-5260.158 1579.973|-5322.793 1621.938|-5334.404 1604.536|-5346.316 1601.323|-5335.453 1560.825|-5340.444 1559.480|-5340.409 1559.347|-5354.166 1555.633|-5353.020 1551.374|-5370.433 1546.681|-5372.579 1542.945|-5372.188 1541.477|-5371.398 1538.542|-5358.731 1491.329
203 145 POINT DR NW,-5295.223 1508.453|-5294.258 1512.178|-5292.944 1515.791|-5291.294 1519.261|-5289.316 1522.563|-5258.068 1569.410|-5257.362 1570.722|-5256.929 1572.145|-5256.782 1573.635|-5256.929 1575.114|-5257.362 1576.548|-5258.061 1577.860|-5259.012 1579.017|-5260.158 1579.973|-5322.793 1621.938|-5334.404 1604.536|-5346.316 1601.323|-5335.453 1560.825|-5340.444 1559.480|-5340.409 1559.347|-5354.166 1555.633|-5353.020 1551.374|-5370.433 1546.681|-5372.579 1542.945|-5372.188 1541.477|-5371.398 1538.542|-5358.731 1491.329
205 145 POINT DR NW,-5295.223 1508.453|-5294.258 1512.178|-5292.944 1515.791|-5291.294 1519.261|-5289.316 1522.563|-5258.068 1569.410|-5257.362 1570.722|-5256.929 1572.145|-5256.782 1573.635|-5256.929 1575.114|-5257.362 1576.548|-5258.061 1577.860|-5259.012 1579.017|-5260.158 1579.973|-5322.793 1621.938|-5334.404 1604.536|-5346.316 1601.323|-5335.453 1560.825|-5340.444 1559.480|-5340.409 1559.347|-5354.166 1555.633|-5353.020 1551.374|-5370.433 1546.681|-5372.579 1542.945|-5372.188 1541.477|-5371.398 1538.542|-5358.731 1491.329
207 145 POINT DR NW,-5295.223 1508.453|-5294.258 1512.178|-5292.944 1515.791|-5291.294 1519.261|-5289.316 1522.563|-5258.068 1569.410|-5257.362 1570.722|-5256.929 1572.145|-5256.782 1573.635|-5256.929 1575.114|-5257.362 1576.548|-5258.061 1577.860|-5259.012 1579.017|-5260.158 1579.973|-5322.793 1621.938|-5334.404 1604.536|-5346.316 1601.323|-5335.453 1560.825|-5340.444 1559.480|-5340.409 1559.347|-5354.166 1555.633|-5353.020 1551.374|-5370.433 1546.681|-5372.579 1542.945|-5372.188 1541.477|-5371.398 1538.542|-5358.731 1491.329
208 145 POINT DR NW,-5295.223 1508.453|-5294.258 1512.178|-5292.944 1515.791|-5291.294 1519.261|-5289.316 1522.563|-5258.068 1569.410|-5257.362 1570.722|-5256.929 1572.145|-5256.782 1573.635|-5256.929 1575.114|-5257.362 1576.548|-5258.061 1577.860|-5259.012 1579.017|-5260.158 1579.973|-5322.793 1621.938|-5334.404 1604.536|-5346.316 1601.323|-5335.453 1560.825|-5340.444 1559.480|-5340.409 1559.347|-5354.166 1555.633|-5353.020 1551.374|-5370.433 1546.681|-5372.579 1542.945|-5372.188 1541.477|-5371.398 1538.542|-5358.731 1491.329
206 145 POINT DR NW,-5295.223 1508.453|-5294.258 1512.178|-5292.944 1515.791|-5291.294 1519.261|-5289.316 1522.563|-5258.068 1569.410|-5257.362 1570.722|-5256.929 1572.145|-5256.782 1573.635|-5256.929 1575.114|-5257.362 1576.548|-5258.061 1577.860|-5259.012 1579.017|-5260.158 1579.973|-5322.793 1621.938|-5334.404 1604.536|-5346.316 1601.323|-5335.453 1560.825|-5340.444 1559.480|-5340.409 1559.347|-5354.166 1555.633|-5353.020 1551.374|-5370.433 1546.681|-5372.579 1542.945|-5372.188 1541.477|-5371.398 1538.542|-5358.731 1491.329
204 145 POINT DR NW,-5295.223 1508.453|-5294.258 1512.178|-5292.944 1515.791|-5291.294 1519.261|-5289.316 1522.563|-5258.068 1569.410|-5257.362 1570.722|-5256.929 1572.145|-5256.782 1573.635|-5256.929 1575.114|-5257.362 1576.548|-5258.061 1577.860|-5259.012 1579.017|-5260.158 1579.973|-5322.793 1621.938|-5334.404 1604.536|-5346.316 1601.323|-5335.453 1560.825|-5340.444 1559.480|-5340.409 1559.347|-5354.166 1555.633|-5353.020 1551.374|-5370.433 1546.681|-5372.579 1542.945|-5372.188 1541.477|-5371.398 1538.542|-5358.731 1491.329
202 145 POINT DR NW,-5295.223 1508.453|-5294.258 1512.178|-5292.944 1515.791|-5291.294 1519.261|-5289.316 1522.563|-5258.068 1569.410|-5257.362 1570.722|-5256.929 1572.145|-5256.782 1573.635|-5256.929 1575.114|-5257.362 1576.548|-5258.061 1577.860|-5259.012 1579.017|-5260.158 1579.973|-5322.793 1621.938|-5334.404 1604.536|-5346.316 1601.323|-5335.453 1560.825|-5340.444 1559.480|-5340.409 1559.347|-5354.166 1555.633|-5353.020 1551.374|-5370.433 1546.681|-5372.579 1542.945|-5372.188 1541.477|-5371.398 1538.542|-5358.731 1491.329
301 145 POINT DR NW,-5295.223 1508.453|-5294.258 1512.178|-5292.944 1515.791|-5291.294 1519.261|-5289.316 1522.563|-5258.068 1569.410|-5257.362 1570.722|-5256.929 1572.145|-5256.782 1573.635|-5256.929 1575.114|-5257.362 1576.548|-5258.061 1577.860|-5259.012 1579.017|-5260.158 1579.973|-5322.793 1621.938|-5334.404 1604.536|-5346.316 1601.323|-5335.453 1560.825|-5340.444 1559.480|-5340.409 1559.347|-5354.166 1555.633|-5353.020 1551.374|-5370.433 1546.681|-5372.579 1542.945|-5372.188 1541.477|-5371.398 1538.542|-5358.731 1491.329
303 145 POINT DR NW,-5295.223 1508.453|-5294.258 1512.178|-5292.944 1515.791|-5291.294 1519.261|-5289.316 1522.563|-5258.068 1569.410|-5257.362 1570.722|-5256.929 1572.145|-5256.782 1573.635|-5256.929 1575.114|-5257.362 1576.548|-5258.061 1577.860|-5259.012 1579.017|-5260.158 1579.973|-5322.793 1621.938|-5334.404 1604.536|-5346.316 1601.323|-5335.453 1560.825|-5340.444 1559.480|-5340.409 1559.347|-5354.166 1555.633|-5353.020 1551.374|-5370.433 1546.681|-5372.579 1542.945|-5372.188 1541.477|-5371.398 1538.542|-5358.731 1491.329
305 145 POINT DR NW,-5295.223 1508.453|-5294.258 1512.178|-5292.944 1515.791|-5291.294 1519.261|-5289.316 1522.563|-5258.068 1569.410|-5257.362 1570.722|-5256.929 1572.145|-5256.782 1573.635|-5256.929 1575.114|-5257.362 1576.548|-5258.061 1577.860|-5259.012 1579.017|-5260.158 1579.973|-5322.793 1621.938|-5334.404 1604.536|-5346.316 1601.323|-5335.453 1560.825|-5340.444 1559.480|-5340.409 1559.347|-5354.166 1555.633|-5353.020 1551.374|-5370.433 1546.681|-5372.579 1542.945|-5372.188 1541.477|-5371.398 1538.542|-5358.731 1491.329
307 145 POINT DR NW,-5295.223 1508.453|-5294.258 1512.178|-5292.944 1515.791|-5291.294 1519.261|-5289.316 1522.563|-5258.068 1569.410|-5257.362 1570.722|-5256.929 1572.145|-5256.782 1573.635|-5256.929 1575.114|-5257.362 1576.548|-5258.061 1577.860|-5259.012 1579.017|-5260.158 1579.973|-5322.793 1621.938|-5334.404 1604.536|-5346.316 1601.323|-5335.453 1560.825|-5340.444 1559.480|-5340.409 1559.347|-5354.166 1555.633|-5353.020 1551.374|-5370.433 1546.681|-5372.579 1542.945|-5372.188 1541.477|-5371.398 1538.542|-5358.731 1491.329
308 145 POINT DR NW,-5295.223 1508.453|-5294.258 1512.178|-5292.944 1515.791|-5291.294 1519.261|-5289.316 1522.563|-5258.068 1569.410|-5257.362 1570.722|-5256.929 1572.145|-5256.782 1573.635|-5256.929 1575.114|-5257.362 1576.548|-5258.061 1577.860|-5259.012 1579.017|-5260.158 1579.973|-5322.793 1621.938|-5334.404 1604.536|-5346.316 1601.323|-5335.453 1560.825|-5340.444 1559.480|-5340.409 1559.347|-5354.166 1555.633|-5353.020 1551.374|-5370.433 1546.681|-5372.579 1542.945|-5372.188 1541.477|-5371.398 1538.542|-5358.731 1491.329
