ADDRESS,POINTS
510 19 AV SW,-47.611 -1285.531|-62.808 -1285.531|-62.774 -1322.148|-47.583 -1322.148|-47.604 -1295.639
510 21 AV SW,-32.239 -1484.192|-47.436 -1484.192|-62.627 -1484.192|-70.428 -1484.203|-70.051 -1520.753|-62.627 -1520.753|-47.436 -1520.753|-32.218 -1520.753|-32.239 -1518.751
71V 505 19 AV SW,-62.704 -1378.802|-17.266 -1378.790|-17.266 -1342.229|-62.725 -1342.252
72V 505 19 AV SW,-62.704 -1378.802|-17.266 -1378.790|-17.266 -1342.229|-62.725 -1342.252
73V 505 19 AV SW,-62.704 -1378.802|-17.266 -1378.790|-17.266 -1342.229|-62.725 -1342.252
74V 505 19 AV SW,-62.704 -1378.802|-17.266 -1378.790|-17.266 -1342.229|-62.725 -1342.252
75V 505 19 AV SW,-62.704 -1378.802|-17.266 -1378.790|-17.266 -1342.229|-62.725 -1342.252
76V 505 19 AV SW,-62.704 -1378.802|-17.266 -1378.790|-17.266 -1342.229|-62.725 -1342.252
77V 505 19 AV SW,-62.704 -1378.802|-17.266 -1378.790|-17.266 -1342.229|-62.725 -1342.252
78V 505 19 AV SW,-62.704 -1378.802|-17.266 -1378.790|-17.266 -1342.229|-62.725 -1342.252
79V 505 19 AV SW,-62.704 -1378.802|-17.266 -1378.790|-17.266 -1342.229|-62.725 -1342.252
80V 505 19 AV SW,-62.704 -1378.802|-17.266 -1378.790|-17.266 -1342.229|-62.725 -1342.252
81V 505 19 AV SW,-62.704 -1378.802|-17.266 -1378.790|-17.266 -1342.229|-62.725 -1342.252
82V 505 19 AV SW,-62.704 -1378.802|-17.266 -1378.790|-17.266 -1342.229|-62.725 -1342.252
83V 505 19 AV SW,-62.704 -1378.802|-17.266 -1378.790|-17.266 -1342.229|-62.725 -1342.252
84V 505 19 AV SW,-62.704 -1378.802|-17.266 -1378.790|-17.266 -1342.229|-62.725 -1342.252
85V 505 19 AV SW,-62.704 -1378.802|-17.266 -1378.790|-17.266 -1342.229|-62.725 -1342.252
86V 505 19 AV SW,-62.704 -1378.802|-17.266 -1378.790|-17.266 -1342.229|-62.725 -1342.252
87V 505 19 AV SW,-62.704 -1378.802|-17.266 -1378.790|-17.266 -1342.229|-62.725 -1342.252
88V 505 19 AV SW,-62.704 -1378.802|-17.266 -1378.790|-17.266 -1342.229|-62.725 -1342.252
89V 505 19 AV SW,-62.704 -1378.802|-17.266 -1378.790|-17.266 -1342.229|-62.725 -1342.252
90V 505 19 AV SW,-62.704 -1378.802|-17.266 -1378.790|-17.266 -1342.229|-62.725 -1342.252
91V 505 19 AV SW,-62.704 -1378.802|-17.266 -1378.790|-17.266 -1342.229|-62.725 -1342.252
92V 505 19 AV SW,-62.704 -1378.802|-17.266 -1378.790|-17.266 -1342.229|-62.725 -1342.252
93V 505 19 AV SW,-62.704 -1378.802|-17.266 -1378.790|-17.266 -1342.229|-62.725 -1342.252
94V 505 19 AV SW,-62.704 -1378.802|-17.266 -1378.790|-17.266 -1342.229|-62.725 -1342.252
95V 505 19 AV SW,-62.704 -1378.802|-17.266 -1378.790|-17.266 -1342.229|-62.725 -1342.252
96V 505 19 AV SW,-62.704 -1378.802|-17.266 -1378.790|-17.266 -1342.229|-62.725 -1342.252
97V 505 19 AV SW,-62.704 -1378.802|-17.266 -1378.790|-17.266 -1342.229|-62.725 -1342.252
98V 505 19 AV SW,-62.704 -1378.802|-17.266 -1378.790|-17.266 -1342.229|-62.725 -1342.252
99V 505 19 AV SW,-62.704 -1378.802|-17.266 -1378.790|-17.266 -1342.229|-62.725 -1342.252
100V 505 19 AV SW,-62.704 -1378.802|-17.266 -1378.790|-17.266 -1342.229|-62.725 -1342.252
101V 505 19 AV SW,-62.704 -1378.802|-17.266 -1378.790|-17.266 -1342.229|-62.725 -1342.252
102V 505 19 AV SW,-62.704 -1378.802|-17.266 -1378.790|-17.266 -1342.229|-62.725 -1342.252
103V 505 19 AV SW,-62.704 -1378.802|-17.266 -1378.790|-17.266 -1342.229|-62.725 -1342.252
