ADDRESS,POINTS
1901 19 ST NE,4039.658 2334.664|4039.784 2543.955|4035.226 2548.548|3913.906 2549.159|3913.095 2384.190|3912.830 2330.739|4035.086 2330.116
2222 VERMILLION ST NE,3866.098 2673.631|3925.426 2673.353|3925.475 2722.701|3866.147 2722.979
101 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
102 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
103 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
104 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
105 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
106 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
107 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
108 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
109 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
110 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
111 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
112 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
113 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
114 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
115 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
116 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
