ADDRESS,POINTS
346V 2280 68 ST NE,9666.153 2711.281|9641.665 2711.270|9641.686 2676.733|9588.748 2676.700|9588.727 2711.226|9564.232 2711.215|9564.274 2651.481|9666.195 2651.548
347V 2280 68 ST NE,9666.153 2711.281|9641.665 2711.270|9641.686 2676.733|9588.748 2676.700|9588.727 2711.226|9564.232 2711.215|9564.274 2651.481|9666.195 2651.548
348V 2280 68 ST NE,9666.153 2711.281|9641.665 2711.270|9641.686 2676.733|9588.748 2676.700|9588.727 2711.226|9564.232 2711.215|9564.274 2651.481|9666.195 2651.548
349V 2280 68 ST NE,9666.153 2711.281|9641.665 2711.270|9641.686 2676.733|9588.748 2676.700|9588.727 2711.226|9564.232 2711.215|9564.274 2651.481|9666.195 2651.548
350V 2280 68 ST NE,9666.153 2711.281|9641.665 2711.270|9641.686 2676.733|9588.748 2676.700|9588.727 2711.226|9564.232 2711.215|9564.274 2651.481|9666.195 2651.548
345V 2280 68 ST NE,9666.153 2711.281|9641.665 2711.270|9641.686 2676.733|9588.748 2676.700|9588.727 2711.226|9564.232 2711.215|9564.274 2651.481|9666.195 2651.548
304V 2280 68 ST NE,9666.153 2711.281|9641.665 2711.270|9641.686 2676.733|9588.748 2676.700|9588.727 2711.226|9564.232 2711.215|9564.274 2651.481|9666.195 2651.548
305V 2280 68 ST NE,9666.153 2711.281|9641.665 2711.270|9641.686 2676.733|9588.748 2676.700|9588.727 2711.226|9564.232 2711.215|9564.274 2651.481|9666.195 2651.548
306V 2280 68 ST NE,9666.153 2711.281|9641.665 2711.270|9641.686 2676.733|9588.748 2676.700|9588.727 2711.226|9564.232 2711.215|9564.274 2651.481|9666.195 2651.548
307V 2280 68 ST NE,9666.153 2711.281|9641.665 2711.270|9641.686 2676.733|9588.748 2676.700|9588.727 2711.226|9564.232 2711.215|9564.274 2651.481|9666.195 2651.548
308V 2280 68 ST NE,9666.153 2711.281|9641.665 2711.270|9641.686 2676.733|9588.748 2676.700|9588.727 2711.226|9564.232 2711.215|9564.274 2651.481|9666.195 2651.548
309V 2280 68 ST NE,9666.153 2711.281|9641.665 2711.270|9641.686 2676.733|9588.748 2676.700|9588.727 2711.226|9564.232 2711.215|9564.274 2651.481|9666.195 2651.548
310V 2280 68 ST NE,9666.153 2711.281|9641.665 2711.270|9641.686 2676.733|9588.748 2676.700|9588.727 2711.226|9564.232 2711.215|9564.274 2651.481|9666.195 2651.548
311V 2280 68 ST NE,9666.153 2711.281|9641.665 2711.270|9641.686 2676.733|9588.748 2676.700|9588.727 2711.226|9564.232 2711.215|9564.274 2651.481|9666.195 2651.548
312V 2280 68 ST NE,9666.153 2711.281|9641.665 2711.270|9641.686 2676.733|9588.748 2676.700|9588.727 2711.226|9564.232 2711.215|9564.274 2651.481|9666.195 2651.548
313V 2280 68 ST NE,9666.153 2711.281|9641.665 2711.270|9641.686 2676.733|9588.748 2676.700|9588.727 2711.226|9564.232 2711.215|9564.274 2651.481|9666.195 2651.548
