ADDRESS,POINTS
8017 ELBOW DR SW,-835.773 -7238.719|-836.962 -7238.841|-838.101 -7239.186|-839.150 -7239.753|-840.073 -7240.509|-840.821 -7241.432|-841.387 -7242.488|-841.729 -7243.622|-841.848 -7244.812|-841.876 -7306.336|-841.757 -7307.526|-841.415 -7308.660|-840.856 -7309.717|-840.108 -7310.651|-839.185 -7311.407|-838.136 -7311.974|-836.997 -7312.318|-835.808 -7312.441
1000 HERITAGE DR SW,-1020.070 -7596.266|-1020.182 -7595.076|-1020.532 -7593.942|-1021.091 -7592.886|-1021.846 -7591.963|-1022.762 -7591.206|-1023.810 -7590.639|-1024.950 -7590.295|-1026.138 -7590.172|-1070.367 -7590.150|-1071.555 -7590.272|-1072.695 -7590.617|-1073.743 -7591.184|-1074.666 -7591.940|-1075.421 -7592.863|-1075.980 -7593.920|-1076.323 -7595.065|-1076.435 -7596.255
