ADDRESS,POINTS
119 CONFLUENCE ME SE,1439.536 -93.399|1444.213 -89.118|1446.806 -31.453|1446.855 -30.229|1447.260 -21.145|1385.395 -3.787|1372.819 -0.262|1369.107 -82.124|1368.743 -90.175|1370.100 -90.241
117 CONFLUENCE ME SE,1439.536 -93.399|1444.213 -89.118|1446.806 -31.453|1446.855 -30.229|1447.260 -21.145|1385.395 -3.787|1372.819 -0.262|1369.107 -82.124|1368.743 -90.175|1370.100 -90.241
115 CONFLUENCE ME SE,1439.536 -93.399|1444.213 -89.118|1446.806 -31.453|1446.855 -30.229|1447.260 -21.145|1385.395 -3.787|1372.819 -0.262|1369.107 -82.124|1368.743 -90.175|1370.100 -90.241
113 CONFLUENCE ME SE,1439.536 -93.399|1444.213 -89.118|1446.806 -31.453|1446.855 -30.229|1447.260 -21.145|1385.395 -3.787|1372.819 -0.262|1369.107 -82.124|1368.743 -90.175|1370.100 -90.241
111 CONFLUENCE ME SE,1439.536 -93.399|1444.213 -89.118|1446.806 -31.453|1446.855 -30.229|1447.260 -21.145|1385.395 -3.787|1372.819 -0.262|1369.107 -82.124|1368.743 -90.175|1370.100 -90.241
201 519 RIVERFRONT AV SE,1439.536 -93.399|1444.213 -89.118|1446.806 -31.453|1446.855 -30.229|1447.260 -21.145|1385.395 -3.787|1372.819 -0.262|1369.107 -82.124|1368.743 -90.175|1370.100 -90.241
202 519 RIVERFRONT AV SE,1439.536 -93.399|1444.213 -89.118|1446.806 -31.453|1446.855 -30.229|1447.260 -21.145|1385.395 -3.787|1372.819 -0.262|1369.107 -82.124|1368.743 -90.175|1370.100 -90.241
203 519 RIVERFRONT AV SE,1439.536 -93.399|1444.213 -89.118|1446.806 -31.453|1446.855 -30.229|1447.260 -21.145|1385.395 -3.787|1372.819 -0.262|1369.107 -82.124|1368.743 -90.175|1370.100 -90.241
204 519 RIVERFRONT AV SE,1439.536 -93.399|1444.213 -89.118|1446.806 -31.453|1446.855 -30.229|1447.260 -21.145|1385.395 -3.787|1372.819 -0.262|1369.107 -82.124|1368.743 -90.175|1370.100 -90.241
205 519 RIVERFRONT AV SE,1439.536 -93.399|1444.213 -89.118|1446.806 -31.453|1446.855 -30.229|1447.260 -21.145|1385.395 -3.787|1372.819 -0.262|1369.107 -82.124|1368.743 -90.175|1370.100 -90.241
206 519 RIVERFRONT AV SE,1439.536 -93.399|1444.213 -89.118|1446.806 -31.453|1446.855 -30.229|1447.260 -21.145|1385.395 -3.787|1372.819 -0.262|1369.107 -82.124|1368.743 -90.175|1370.100 -90.241
207 519 RIVERFRONT AV SE,1439.536 -93.399|1444.213 -89.118|1446.806 -31.453|1446.855 -30.229|1447.260 -21.145|1385.395 -3.787|1372.819 -0.262|1369.107 -82.124|1368.743 -90.175|1370.100 -90.241
301 519 RIVERFRONT AV SE,1439.536 -93.399|1444.213 -89.118|1446.806 -31.453|1446.855 -30.229|1447.260 -21.145|1385.395 -3.787|1372.819 -0.262|1369.107 -82.124|1368.743 -90.175|1370.100 -90.241
302 519 RIVERFRONT AV SE,1439.536 -93.399|1444.213 -89.118|1446.806 -31.453|1446.855 -30.229|1447.260 -21.145|1385.395 -3.787|1372.819 -0.262|1369.107 -82.124|1368.743 -90.175|1370.100 -90.241
303 519 RIVERFRONT AV SE,1439.536 -93.399|1444.213 -89.118|1446.806 -31.453|1446.855 -30.229|1447.260 -21.145|1385.395 -3.787|1372.819 -0.262|1369.107 -82.124|1368.743 -90.175|1370.100 -90.241
304 519 RIVERFRONT AV SE,1439.536 -93.399|1444.213 -89.118|1446.806 -31.453|1446.855 -30.229|1447.260 -21.145|1385.395 -3.787|1372.819 -0.262|1369.107 -82.124|1368.743 -90.175|1370.100 -90.241
305 519 RIVERFRONT AV SE,1439.536 -93.399|1444.213 -89.118|1446.806 -31.453|1446.855 -30.229|1447.260 -21.145|1385.395 -3.787|1372.819 -0.262|1369.107 -82.124|1368.743 -90.175|1370.100 -90.241
306 519 RIVERFRONT AV SE,1439.536 -93.399|1444.213 -89.118|1446.806 -31.453|1446.855 -30.229|1447.260 -21.145|1385.395 -3.787|1372.819 -0.262|1369.107 -82.124|1368.743 -90.175|1370.100 -90.241
307 519 RIVERFRONT AV SE,1439.536 -93.399|1444.213 -89.118|1446.806 -31.453|1446.855 -30.229|1447.260 -21.145|1385.395 -3.787|1372.819 -0.262|1369.107 -82.124|1368.743 -90.175|1370.100 -90.241
308 519 RIVERFRONT AV SE,1439.536 -93.399|1444.213 -89.118|1446.806 -31.453|1446.855 -30.229|1447.260 -21.145|1385.395 -3.787|1372.819 -0.262|1369.107 -82.124|1368.743 -90.175|1370.100 -90.241
401 519 RIVERFRONT AV SE,1439.536 -93.399|1444.213 -89.118|1446.806 -31.453|1446.855 -30.229|1447.260 -21.145|1385.395 -3.787|1372.819 -0.262|1369.107 -82.124|1368.743 -90.175|1370.100 -90.241
402 519 RIVERFRONT AV SE,1439.536 -93.399|1444.213 -89.118|1446.806 -31.453|1446.855 -30.229|1447.260 -21.145|1385.395 -3.787|1372.819 -0.262|1369.107 -82.124|1368.743 -90.175|1370.100 -90.241
403 519 RIVERFRONT AV SE,1439.536 -93.399|1444.213 -89.118|1446.806 -31.453|1446.855 -30.229|1447.260 -21.145|1385.395 -3.787|1372.819 -0.262|1369.107 -82.124|1368.743 -90.175|1370.100 -90.241
404 519 RIVERFRONT AV SE,1439.536 -93.399|1444.213 -89.118|1446.806 -31.453|1446.855 -30.229|1447.260 -21.145|1385.395 -3.787|1372.819 -0.262|1369.107 -82.124|1368.743 -90.175|1370.100 -90.241
