ADDRESS,POINTS
1213 6224 17 AV SE,8768.576 -1107.074|8808.687 -1112.356|8965.134 -1112.067|8967.133 -1110.966|8969.021 -1109.688|8970.775 -1108.231|8972.397 -1106.630|8973.851 -1104.873|8975.137 -1102.994|8976.242 -1101.003|8977.158 -1098.913|8981.233 -1087.237|8981.170 -1028.582|8976.612 -1024.012|8768.513 -1024.412
1215 6224 17 AV SE,8768.576 -1107.074|8808.687 -1112.356|8965.134 -1112.067|8967.133 -1110.966|8969.021 -1109.688|8970.775 -1108.231|8972.397 -1106.630|8973.851 -1104.873|8975.137 -1102.994|8976.242 -1101.003|8977.158 -1098.913|8981.233 -1087.237|8981.170 -1028.582|8976.612 -1024.012|8768.513 -1024.412
1221 6224 17 AV SE,8768.576 -1107.074|8808.687 -1112.356|8965.134 -1112.067|8967.133 -1110.966|8969.021 -1109.688|8970.775 -1108.231|8972.397 -1106.630|8973.851 -1104.873|8975.137 -1102.994|8976.242 -1101.003|8977.158 -1098.913|8981.233 -1087.237|8981.170 -1028.582|8976.612 -1024.012|8768.513 -1024.412
1223 6224 17 AV SE,8768.576 -1107.074|8808.687 -1112.356|8965.134 -1112.067|8967.133 -1110.966|8969.021 -1109.688|8970.775 -1108.231|8972.397 -1106.630|8973.851 -1104.873|8975.137 -1102.994|8976.242 -1101.003|8977.158 -1098.913|8981.233 -1087.237|8981.170 -1028.582|8976.612 -1024.012|8768.513 -1024.412
1225 6224 17 AV SE,8768.576 -1107.074|8808.687 -1112.356|8965.134 -1112.067|8967.133 -1110.966|8969.021 -1109.688|8970.775 -1108.231|8972.397 -1106.630|8973.851 -1104.873|8975.137 -1102.994|8976.242 -1101.003|8977.158 -1098.913|8981.233 -1087.237|8981.170 -1028.582|8976.612 -1024.012|8768.513 -1024.412
1224 6224 17 AV SE,8768.576 -1107.074|8808.687 -1112.356|8965.134 -1112.067|8967.133 -1110.966|8969.021 -1109.688|8970.775 -1108.231|8972.397 -1106.630|8973.851 -1104.873|8975.137 -1102.994|8976.242 -1101.003|8977.158 -1098.913|8981.233 -1087.237|8981.170 -1028.582|8976.612 -1024.012|8768.513 -1024.412
1222 6224 17 AV SE,8768.576 -1107.074|8808.687 -1112.356|8965.134 -1112.067|8967.133 -1110.966|8969.021 -1109.688|8970.775 -1108.231|8972.397 -1106.630|8973.851 -1104.873|8975.137 -1102.994|8976.242 -1101.003|8977.158 -1098.913|8981.233 -1087.237|8981.170 -1028.582|8976.612 -1024.012|8768.513 -1024.412
1220 6224 17 AV SE,8768.576 -1107.074|8808.687 -1112.356|8965.134 -1112.067|8967.133 -1110.966|8969.021 -1109.688|8970.775 -1108.231|8972.397 -1106.630|8973.851 -1104.873|8975.137 -1102.994|8976.242 -1101.003|8977.158 -1098.913|8981.233 -1087.237|8981.170 -1028.582|8976.612 -1024.012|8768.513 -1024.412
1218 6224 17 AV SE,8768.576 -1107.074|8808.687 -1112.356|8965.134 -1112.067|8967.133 -1110.966|8969.021 -1109.688|8970.775 -1108.231|8972.397 -1106.630|8973.851 -1104.873|8975.137 -1102.994|8976.242 -1101.003|8977.158 -1098.913|8981.233 -1087.237|8981.170 -1028.582|8976.612 -1024.012|8768.513 -1024.412
1219 6224 17 AV SE,8768.576 -1107.074|8808.687 -1112.356|8965.134 -1112.067|8967.133 -1110.966|8969.021 -1109.688|8970.775 -1108.231|8972.397 -1106.630|8973.851 -1104.873|8975.137 -1102.994|8976.242 -1101.003|8977.158 -1098.913|8981.233 -1087.237|8981.170 -1028.582|8976.612 -1024.012|8768.513 -1024.412
1217 6224 17 AV SE,8768.576 -1107.074|8808.687 -1112.356|8965.134 -1112.067|8967.133 -1110.966|8969.021 -1109.688|8970.775 -1108.231|8972.397 -1106.630|8973.851 -1104.873|8975.137 -1102.994|8976.242 -1101.003|8977.158 -1098.913|8981.233 -1087.237|8981.170 -1028.582|8976.612 -1024.012|8768.513 -1024.412
1216 6224 17 AV SE,8768.576 -1107.074|8808.687 -1112.356|8965.134 -1112.067|8967.133 -1110.966|8969.021 -1109.688|8970.775 -1108.231|8972.397 -1106.630|8973.851 -1104.873|8975.137 -1102.994|8976.242 -1101.003|8977.158 -1098.913|8981.233 -1087.237|8981.170 -1028.582|8976.612 -1024.012|8768.513 -1024.412
1214 6224 17 AV SE,8768.576 -1107.074|8808.687 -1112.356|8965.134 -1112.067|8967.133 -1110.966|8969.021 -1109.688|8970.775 -1108.231|8972.397 -1106.630|8973.851 -1104.873|8975.137 -1102.994|8976.242 -1101.003|8977.158 -1098.913|8981.233 -1087.237|8981.170 -1028.582|8976.612 -1024.012|8768.513 -1024.412
1212 6224 17 AV SE,8768.576 -1107.074|8808.687 -1112.356|8965.134 -1112.067|8967.133 -1110.966|8969.021 -1109.688|8970.775 -1108.231|8972.397 -1106.630|8973.851 -1104.873|8975.137 -1102.994|8976.242 -1101.003|8977.158 -1098.913|8981.233 -1087.237|8981.170 -1028.582|8976.612 -1024.012|8768.513 -1024.412
1210 6224 17 AV SE,8768.576 -1107.074|8808.687 -1112.356|8965.134 -1112.067|8967.133 -1110.966|8969.021 -1109.688|8970.775 -1108.231|8972.397 -1106.630|8973.851 -1104.873|8975.137 -1102.994|8976.242 -1101.003|8977.158 -1098.913|8981.233 -1087.237|8981.170 -1028.582|8976.612 -1024.012|8768.513 -1024.412
1208 6224 17 AV SE,8768.576 -1107.074|8808.687 -1112.356|8965.134 -1112.067|8967.133 -1110.966|8969.021 -1109.688|8970.775 -1108.231|8972.397 -1106.630|8973.851 -1104.873|8975.137 -1102.994|8976.242 -1101.003|8977.158 -1098.913|8981.233 -1087.237|8981.170 -1028.582|8976.612 -1024.012|8768.513 -1024.412
1207 6224 17 AV SE,8768.576 -1107.074|8808.687 -1112.356|8965.134 -1112.067|8967.133 -1110.966|8969.021 -1109.688|8970.775 -1108.231|8972.397 -1106.630|8973.851 -1104.873|8975.137 -1102.994|8976.242 -1101.003|8977.158 -1098.913|8981.233 -1087.237|8981.170 -1028.582|8976.612 -1024.012|8768.513 -1024.412
1206 6224 17 AV SE,8768.576 -1107.074|8808.687 -1112.356|8965.134 -1112.067|8967.133 -1110.966|8969.021 -1109.688|8970.775 -1108.231|8972.397 -1106.630|8973.851 -1104.873|8975.137 -1102.994|8976.242 -1101.003|8977.158 -1098.913|8981.233 -1087.237|8981.170 -1028.582|8976.612 -1024.012|8768.513 -1024.412
1204 6224 17 AV SE,8768.576 -1107.074|8808.687 -1112.356|8965.134 -1112.067|8967.133 -1110.966|8969.021 -1109.688|8970.775 -1108.231|8972.397 -1106.630|8973.851 -1104.873|8975.137 -1102.994|8976.242 -1101.003|8977.158 -1098.913|8981.233 -1087.237|8981.170 -1028.582|8976.612 -1024.012|8768.513 -1024.412
1202 6224 17 AV SE,8768.576 -1107.074|8808.687 -1112.356|8965.134 -1112.067|8967.133 -1110.966|8969.021 -1109.688|8970.775 -1108.231|8972.397 -1106.630|8973.851 -1104.873|8975.137 -1102.994|8976.242 -1101.003|8977.158 -1098.913|8981.233 -1087.237|8981.170 -1028.582|8976.612 -1024.012|8768.513 -1024.412
1200 6224 17 AV SE,8768.576 -1107.074|8808.687 -1112.356|8965.134 -1112.067|8967.133 -1110.966|8969.021 -1109.688|8970.775 -1108.231|8972.397 -1106.630|8973.851 -1104.873|8975.137 -1102.994|8976.242 -1101.003|8977.158 -1098.913|8981.233 -1087.237|8981.170 -1028.582|8976.612 -1024.012|8768.513 -1024.412
1201 6224 17 AV SE,8768.576 -1107.074|8808.687 -1112.356|8965.134 -1112.067|8967.133 -1110.966|8969.021 -1109.688|8970.775 -1108.231|8972.397 -1106.630|8973.851 -1104.873|8975.137 -1102.994|8976.242 -1101.003|8977.158 -1098.913|8981.233 -1087.237|8981.170 -1028.582|8976.612 -1024.012|8768.513 -1024.412
1203 6224 17 AV SE,8768.576 -1107.074|8808.687 -1112.356|8965.134 -1112.067|8967.133 -1110.966|8969.021 -1109.688|8970.775 -1108.231|8972.397 -1106.630|8973.851 -1104.873|8975.137 -1102.994|8976.242 -1101.003|8977.158 -1098.913|8981.233 -1087.237|8981.170 -1028.582|8976.612 -1024.012|8768.513 -1024.412
1205 6224 17 AV SE,8768.576 -1107.074|8808.687 -1112.356|8965.134 -1112.067|8967.133 -1110.966|8969.021 -1109.688|8970.775 -1108.231|8972.397 -1106.630|8973.851 -1104.873|8975.137 -1102.994|8976.242 -1101.003|8977.158 -1098.913|8981.233 -1087.237|8981.170 -1028.582|8976.612 -1024.012|8768.513 -1024.412
1209 6224 17 AV SE,8768.576 -1107.074|8808.687 -1112.356|8965.134 -1112.067|8967.133 -1110.966|8969.021 -1109.688|8970.775 -1108.231|8972.397 -1106.630|8973.851 -1104.873|8975.137 -1102.994|8976.242 -1101.003|8977.158 -1098.913|8981.233 -1087.237|8981.170 -1028.582|8976.612 -1024.012|8768.513 -1024.412
1211 6224 17 AV SE,8768.576 -1107.074|8808.687 -1112.356|8965.134 -1112.067|8967.133 -1110.966|8969.021 -1109.688|8970.775 -1108.231|8972.397 -1106.630|8973.851 -1104.873|8975.137 -1102.994|8976.242 -1101.003|8977.158 -1098.913|8981.233 -1087.237|8981.170 -1028.582|8976.612 -1024.012|8768.513 -1024.412
1313 6224 17 AV SE,8768.576 -1107.074|8808.687 -1112.356|8965.134 -1112.067|8967.133 -1110.966|8969.021 -1109.688|8970.775 -1108.231|8972.397 -1106.630|8973.851 -1104.873|8975.137 -1102.994|8976.242 -1101.003|8977.158 -1098.913|8981.233 -1087.237|8981.170 -1028.582|8976.612 -1024.012|8768.513 -1024.412
1315 6224 17 AV SE,8768.576 -1107.074|8808.687 -1112.356|8965.134 -1112.067|8967.133 -1110.966|8969.021 -1109.688|8970.775 -1108.231|8972.397 -1106.630|8973.851 -1104.873|8975.137 -1102.994|8976.242 -1101.003|8977.158 -1098.913|8981.233 -1087.237|8981.170 -1028.582|8976.612 -1024.012|8768.513 -1024.412
1321 6224 17 AV SE,8768.576 -1107.074|8808.687 -1112.356|8965.134 -1112.067|8967.133 -1110.966|8969.021 -1109.688|8970.775 -1108.231|8972.397 -1106.630|8973.851 -1104.873|8975.137 -1102.994|8976.242 -1101.003|8977.158 -1098.913|8981.233 -1087.237|8981.170 -1028.582|8976.612 -1024.012|8768.513 -1024.412
1323 6224 17 AV SE,8768.576 -1107.074|8808.687 -1112.356|8965.134 -1112.067|8967.133 -1110.966|8969.021 -1109.688|8970.775 -1108.231|8972.397 -1106.630|8973.851 -1104.873|8975.137 -1102.994|8976.242 -1101.003|8977.158 -1098.913|8981.233 -1087.237|8981.170 -1028.582|8976.612 -1024.012|8768.513 -1024.412
1325 6224 17 AV SE,8768.576 -1107.074|8808.687 -1112.356|8965.134 -1112.067|8967.133 -1110.966|8969.021 -1109.688|8970.775 -1108.231|8972.397 -1106.630|8973.851 -1104.873|8975.137 -1102.994|8976.242 -1101.003|8977.158 -1098.913|8981.233 -1087.237|8981.170 -1028.582|8976.612 -1024.012|8768.513 -1024.412
1324 6224 17 AV SE,8768.576 -1107.074|8808.687 -1112.356|8965.134 -1112.067|8967.133 -1110.966|8969.021 -1109.688|8970.775 -1108.231|8972.397 -1106.630|8973.851 -1104.873|8975.137 -1102.994|8976.242 -1101.003|8977.158 -1098.913|8981.233 -1087.237|8981.170 -1028.582|8976.612 -1024.012|8768.513 -1024.412
1322 6224 17 AV SE,8768.576 -1107.074|8808.687 -1112.356|8965.134 -1112.067|8967.133 -1110.966|8969.021 -1109.688|8970.775 -1108.231|8972.397 -1106.630|8973.851 -1104.873|8975.137 -1102.994|8976.242 -1101.003|8977.158 -1098.913|8981.233 -1087.237|8981.170 -1028.582|8976.612 -1024.012|8768.513 -1024.412
1320 6224 17 AV SE,8768.576 -1107.074|8808.687 -1112.356|8965.134 -1112.067|8967.133 -1110.966|8969.021 -1109.688|8970.775 -1108.231|8972.397 -1106.630|8973.851 -1104.873|8975.137 -1102.994|8976.242 -1101.003|8977.158 -1098.913|8981.233 -1087.237|8981.170 -1028.582|8976.612 -1024.012|8768.513 -1024.412
1318 6224 17 AV SE,8768.576 -1107.074|8808.687 -1112.356|8965.134 -1112.067|8967.133 -1110.966|8969.021 -1109.688|8970.775 -1108.231|8972.397 -1106.630|8973.851 -1104.873|8975.137 -1102.994|8976.242 -1101.003|8977.158 -1098.913|8981.233 -1087.237|8981.170 -1028.582|8976.612 -1024.012|8768.513 -1024.412
1319 6224 17 AV SE,8768.576 -1107.074|8808.687 -1112.356|8965.134 -1112.067|8967.133 -1110.966|8969.021 -1109.688|8970.775 -1108.231|8972.397 -1106.630|8973.851 -1104.873|8975.137 -1102.994|8976.242 -1101.003|8977.158 -1098.913|8981.233 -1087.237|8981.170 -1028.582|8976.612 -1024.012|8768.513 -1024.412
1317 6224 17 AV SE,8768.576 -1107.074|8808.687 -1112.356|8965.134 -1112.067|8967.133 -1110.966|8969.021 -1109.688|8970.775 -1108.231|8972.397 -1106.630|8973.851 -1104.873|8975.137 -1102.994|8976.242 -1101.003|8977.158 -1098.913|8981.233 -1087.237|8981.170 -1028.582|8976.612 -1024.012|8768.513 -1024.412
1316 6224 17 AV SE,8768.576 -1107.074|8808.687 -1112.356|8965.134 -1112.067|8967.133 -1110.966|8969.021 -1109.688|8970.775 -1108.231|8972.397 -1106.630|8973.851 -1104.873|8975.137 -1102.994|8976.242 -1101.003|8977.158 -1098.913|8981.233 -1087.237|8981.170 -1028.582|8976.612 -1024.012|8768.513 -1024.412
1314 6224 17 AV SE,8768.576 -1107.074|8808.687 -1112.356|8965.134 -1112.067|8967.133 -1110.966|8969.021 -1109.688|8970.775 -1108.231|8972.397 -1106.630|8973.851 -1104.873|8975.137 -1102.994|8976.242 -1101.003|8977.158 -1098.913|8981.233 -1087.237|8981.170 -1028.582|8976.612 -1024.012|8768.513 -1024.412
1312 6224 17 AV SE,8768.576 -1107.074|8808.687 -1112.356|8965.134 -1112.067|8967.133 -1110.966|8969.021 -1109.688|8970.775 -1108.231|8972.397 -1106.630|8973.851 -1104.873|8975.137 -1102.994|8976.242 -1101.003|8977.158 -1098.913|8981.233 -1087.237|8981.170 -1028.582|8976.612 -1024.012|8768.513 -1024.412
1310 6224 17 AV SE,8768.576 -1107.074|8808.687 -1112.356|8965.134 -1112.067|8967.133 -1110.966|8969.021 -1109.688|8970.775 -1108.231|8972.397 -1106.630|8973.851 -1104.873|8975.137 -1102.994|8976.242 -1101.003|8977.158 -1098.913|8981.233 -1087.237|8981.170 -1028.582|8976.612 -1024.012|8768.513 -1024.412
1308 6224 17 AV SE,8768.576 -1107.074|8808.687 -1112.356|8965.134 -1112.067|8967.133 -1110.966|8969.021 -1109.688|8970.775 -1108.231|8972.397 -1106.630|8973.851 -1104.873|8975.137 -1102.994|8976.242 -1101.003|8977.158 -1098.913|8981.233 -1087.237|8981.170 -1028.582|8976.612 -1024.012|8768.513 -1024.412
1307 6224 17 AV SE,8768.576 -1107.074|8808.687 -1112.356|8965.134 -1112.067|8967.133 -1110.966|8969.021 -1109.688|8970.775 -1108.231|8972.397 -1106.630|8973.851 -1104.873|8975.137 -1102.994|8976.242 -1101.003|8977.158 -1098.913|8981.233 -1087.237|8981.170 -1028.582|8976.612 -1024.012|8768.513 -1024.412
1306 6224 17 AV SE,8768.576 -1107.074|8808.687 -1112.356|8965.134 -1112.067|8967.133 -1110.966|8969.021 -1109.688|8970.775 -1108.231|8972.397 -1106.630|8973.851 -1104.873|8975.137 -1102.994|8976.242 -1101.003|8977.158 -1098.913|8981.233 -1087.237|8981.170 -1028.582|8976.612 -1024.012|8768.513 -1024.412
1304 6224 17 AV SE,8768.576 -1107.074|8808.687 -1112.356|8965.134 -1112.067|8967.133 -1110.966|8969.021 -1109.688|8970.775 -1108.231|8972.397 -1106.630|8973.851 -1104.873|8975.137 -1102.994|8976.242 -1101.003|8977.158 -1098.913|8981.233 -1087.237|8981.170 -1028.582|8976.612 -1024.012|8768.513 -1024.412
1302 6224 17 AV SE,8768.576 -1107.074|8808.687 -1112.356|8965.134 -1112.067|8967.133 -1110.966|8969.021 -1109.688|8970.775 -1108.231|8972.397 -1106.630|8973.851 -1104.873|8975.137 -1102.994|8976.242 -1101.003|8977.158 -1098.913|8981.233 -1087.237|8981.170 -1028.582|8976.612 -1024.012|8768.513 -1024.412
1300 6224 17 AV SE,8768.576 -1107.074|8808.687 -1112.356|8965.134 -1112.067|8967.133 -1110.966|8969.021 -1109.688|8970.775 -1108.231|8972.397 -1106.630|8973.851 -1104.873|8975.137 -1102.994|8976.242 -1101.003|8977.158 -1098.913|8981.233 -1087.237|8981.170 -1028.582|8976.612 -1024.012|8768.513 -1024.412
1301 6224 17 AV SE,8768.576 -1107.074|8808.687 -1112.356|8965.134 -1112.067|8967.133 -1110.966|8969.021 -1109.688|8970.775 -1108.231|8972.397 -1106.630|8973.851 -1104.873|8975.137 -1102.994|8976.242 -1101.003|8977.158 -1098.913|8981.233 -1087.237|8981.170 -1028.582|8976.612 -1024.012|8768.513 -1024.412
1303 6224 17 AV SE,8768.576 -1107.074|8808.687 -1112.356|8965.134 -1112.067|8967.133 -1110.966|8969.021 -1109.688|8970.775 -1108.231|8972.397 -1106.630|8973.851 -1104.873|8975.137 -1102.994|8976.242 -1101.003|8977.158 -1098.913|8981.233 -1087.237|8981.170 -1028.582|8976.612 -1024.012|8768.513 -1024.412
1305 6224 17 AV SE,8768.576 -1107.074|8808.687 -1112.356|8965.134 -1112.067|8967.133 -1110.966|8969.021 -1109.688|8970.775 -1108.231|8972.397 -1106.630|8973.851 -1104.873|8975.137 -1102.994|8976.242 -1101.003|8977.158 -1098.913|8981.233 -1087.237|8981.170 -1028.582|8976.612 -1024.012|8768.513 -1024.412
1309 6224 17 AV SE,8768.576 -1107.074|8808.687 -1112.356|8965.134 -1112.067|8967.133 -1110.966|8969.021 -1109.688|8970.775 -1108.231|8972.397 -1106.630|8973.851 -1104.873|8975.137 -1102.994|8976.242 -1101.003|8977.158 -1098.913|8981.233 -1087.237|8981.170 -1028.582|8976.612 -1024.012|8768.513 -1024.412
1311 6224 17 AV SE,8768.576 -1107.074|8808.687 -1112.356|8965.134 -1112.067|8967.133 -1110.966|8969.021 -1109.688|8970.775 -1108.231|8972.397 -1106.630|8973.851 -1104.873|8975.137 -1102.994|8976.242 -1101.003|8977.158 -1098.913|8981.233 -1087.237|8981.170 -1028.582|8976.612 -1024.012|8768.513 -1024.412
1413 6224 17 AV SE,8768.576 -1107.074|8808.687 -1112.356|8965.134 -1112.067|8967.133 -1110.966|8969.021 -1109.688|8970.775 -1108.231|8972.397 -1106.630|8973.851 -1104.873|8975.137 -1102.994|8976.242 -1101.003|8977.158 -1098.913|8981.233 -1087.237|8981.170 -1028.582|8976.612 -1024.012|8768.513 -1024.412
