ADDRESS,POINTS
6307 35 AV NW,-7541.843 4016.721|-7560.661 4016.854|-7560.934 3979.671|-7542.109 3979.537
6420 BOWWOOD DR NW,-7654.516 4167.668|-7716.591 4211.635|-7738.555 4180.489|-7676.466 4136.545
