ADDRESS,POINTS
1200 DEERFOOT TR SE,4578.148 -458.474|4570.046 -436.947|4559.316 -408.448|4500.170 -357.476|4409.657 -279.495|4328.721 -230.658|4248.708 -359.422|4304.157 -397.139|4328.400 -415.842|4350.720 -437.459|4352.244 -438.926|4398.325 -486.885|4414.466 -505.410|4422.638 -517.764|4436.395 -541.871|4470.236 -607.298|4479.422 -627.824|4508.705 -709.797|4550.305 -849.814|4552.151 -848.001|4553.668 -846.600|4617.029 -911.471|4660.937 -956.439|4708.591 -1005.220|4714.043 -1010.824|4719.503 -1016.395|4745.277 -1042.793|4802.864 -1120.896|4817.670 -1140.967|4832.518 -1161.093|4841.654 -1173.480|4864.737 -1175.070|4981.848 -1183.132|4988.398 -1182.164|4914.705 -1101.648|4864.800 -1047.129|4864.821 -1002.340|4864.828 -996.224|4864.828 -990.109|4864.828 -984.293|4862.039 -980.579|4857.404 -973.941|4853.028 -967.125|4848.931 -960.141|4845.108 -953.003|4841.563 -945.720|4838.313 -938.303|4835.363 -930.764|4832.707 -923.114|4830.351 -915.363|4828.303 -907.524|4826.569 -899.618|4825.143 -891.645|4824.038 -883.617|4823.241 -875.567|4822.773 -867.483|4822.619 -859.377|4757.964 -804.769|4736.867 -790.347|4712.100 -773.390|4701.411 -766.073|4681.740 -752.652|4621.573 -646.828|4609.934 -542.927
1200 DEERFOOT TR SE,4578.148 -458.474|4570.046 -436.947|4559.316 -408.448|4500.170 -357.476|4409.657 -279.495|4328.721 -230.658|4248.708 -359.422|4304.157 -397.139|4328.400 -415.842|4350.720 -437.459|4352.244 -438.926|4398.325 -486.885|4414.466 -505.410|4422.638 -517.764|4436.395 -541.871|4470.236 -607.298|4479.422 -627.824|4508.705 -709.797|4550.305 -849.814|4552.151 -848.001|4553.668 -846.600|4617.029 -911.471|4660.937 -956.439|4708.591 -1005.220|4714.043 -1010.824|4719.503 -1016.395|4745.277 -1042.793|4802.864 -1120.896|4817.670 -1140.967|4832.518 -1161.093|4841.654 -1173.480|4864.737 -1175.070|4981.848 -1183.132|4988.398 -1182.164|4914.705 -1101.648|4864.800 -1047.129|4864.821 -1002.340|4864.828 -996.224|4864.828 -990.109|4864.828 -984.293|4862.039 -980.579|4857.404 -973.941|4853.028 -967.125|4848.931 -960.141|4845.108 -953.003|4841.563 -945.720|4838.313 -938.303|4835.363 -930.764|4832.707 -923.114|4830.351 -915.363|4828.303 -907.524|4826.569 -899.618|4825.143 -891.645|4824.038 -883.617|4823.241 -875.567|4822.773 -867.483|4822.619 -859.377|4757.964 -804.769|4736.867 -790.347|4712.100 -773.390|4701.411 -766.073|4681.740 -752.652|4621.573 -646.828|4609.934 -542.927
