ADDRESS,POINTS
19600 56 ST SE,9106.509 -19551.333|9115.010 -19567.956|9113.752 -19568.735|9112.675 -19569.736|9111.815 -19570.948|9111.207 -19572.293|9110.878 -19573.739|9110.837 -19575.217|9111.081 -19576.674|9111.612 -19578.053|9122.923 -19600.748|9138.561 -19593.098|9137.463 -19009.869|9133.758 -19011.448|9132.430 -19012.182|9131.277 -19013.183|9130.354 -19014.395|9129.690 -19015.762|9129.312 -19017.241|9129.249 -19018.765|9129.487 -19020.277|9130.025 -19021.700|9132.507 -19026.671|9126.957 -19029.473|9113.870 -19036.089|9110.403 -19029.128|9109.662 -19027.938|9108.704 -19026.904|9107.579 -19026.070|9106.314 -19025.459|9104.951 -19025.103|9103.552 -19025.003|9102.161 -19025.169|9100.819 -19025.603|9048.943 -19047.909|9047.615 -19048.643|9046.461 -19049.643|9045.539 -19050.856|9044.874 -19052.223|9044.504 -19053.702|9044.434 -19055.225|9044.672 -19056.727|9045.210 -19058.161|9031.012 -19065.333|9029.915 -19063.120|9029.188 -19061.953|9028.258 -19060.930|9027.161 -19060.107|9025.923 -19059.484|9024.602 -19059.117|9023.232 -19058.995|9021.862 -19059.128|9020.541 -19059.506|8973.194 -19078.198|8971.817 -19078.910|8970.622 -19079.900|8969.657 -19081.112|8968.958 -19082.502|8968.552 -19083.992|8968.475 -19085.548|8968.706 -19087.083|8969.258 -19088.539|8955.054 -19095.712|8953.788 -19093.176|8953.061 -19091.998|8952.132 -19090.975|8951.034 -19090.152|8949.804 -19089.540|8948.476 -19089.162|8947.106 -19089.040|8945.735 -19089.173|8944.414 -19089.551|8920.094 -19099.136|8999.052 -19257.478|9091.983 -19443.874|9060.764 -19459.152|9059.505 -19459.931|9058.429 -19460.931|9057.569 -19462.143|9056.961 -19463.489|9056.632 -19464.934|9056.583 -19466.413|9056.835 -19467.870|9057.359 -19469.249|9096.597 -19547.952|9097.373 -19549.187|9098.366 -19550.243|9099.547 -19551.088|9100.861 -19551.689|9102.273 -19552.011|9103.720 -19552.067|9105.153 -19551.833
19600 56 ST SE,9106.509 -19551.333|9115.010 -19567.956|9113.752 -19568.735|9112.675 -19569.736|9111.815 -19570.948|9111.207 -19572.293|9110.878 -19573.739|9110.837 -19575.217|9111.081 -19576.674|9111.612 -19578.053|9122.923 -19600.748|9138.561 -19593.098|9137.463 -19009.869|9133.758 -19011.448|9132.430 -19012.182|9131.277 -19013.183|9130.354 -19014.395|9129.690 -19015.762|9129.312 -19017.241|9129.249 -19018.765|9129.487 -19020.277|9130.025 -19021.700|9132.507 -19026.671|9126.957 -19029.473|9113.870 -19036.089|9110.403 -19029.128|9109.662 -19027.938|9108.704 -19026.904|9107.579 -19026.070|9106.314 -19025.459|9104.951 -19025.103|9103.552 -19025.003|9102.161 -19025.169|9100.819 -19025.603|9048.943 -19047.909|9047.615 -19048.643|9046.461 -19049.643|9045.539 -19050.856|9044.874 -19052.223|9044.504 -19053.702|9044.434 -19055.225|9044.672 -19056.727|9045.210 -19058.161|9031.012 -19065.333|9029.915 -19063.120|9029.188 -19061.953|9028.258 -19060.930|9027.161 -19060.107|9025.923 -19059.484|9024.602 -19059.117|9023.232 -19058.995|9021.862 -19059.128|9020.541 -19059.506|8973.194 -19078.198|8971.817 -19078.910|8970.622 -19079.900|8969.657 -19081.112|8968.958 -19082.502|8968.552 -19083.992|8968.475 -19085.548|8968.706 -19087.083|8969.258 -19088.539|8955.054 -19095.712|8953.788 -19093.176|8953.061 -19091.998|8952.132 -19090.975|8951.034 -19090.152|8949.804 -19089.540|8948.476 -19089.162|8947.106 -19089.040|8945.735 -19089.173|8944.414 -19089.551|8920.094 -19099.136|8999.052 -19257.478|9091.983 -19443.874|9060.764 -19459.152|9059.505 -19459.931|9058.429 -19460.931|9057.569 -19462.143|9056.961 -19463.489|9056.632 -19464.934|9056.583 -19466.413|9056.835 -19467.870|9057.359 -19469.249|9096.597 -19547.952|9097.373 -19549.187|9098.366 -19550.243|9099.547 -19551.088|9100.861 -19551.689|9102.273 -19552.011|9103.720 -19552.067|9105.153 -19551.833
