ADDRESS,POINTS
210 59 AV SW,187.234 -5311.132|194.812 -5311.110|202.396 -5311.088|210.582 -5311.066|210.603 -5256.313|202.417 -5256.335|194.833 -5256.347|187.255 -5256.358|179.677 -5256.369|179.649 -5311.143
6006 3 ST SW,173.568 -5363.260|173.575 -5355.644|173.575 -5348.027|173.575 -5340.410|173.582 -5331.270|137.189 -5331.370|137.189 -5340.510|137.182 -5348.127|137.182 -5355.744|137.182 -5363.361
213 59 AV SW,187.206 -5386.078|194.791 -5386.055|202.368 -5386.033|210.554 -5386.011|210.575 -5331.170|202.389 -5331.192|194.805 -5331.214|187.227 -5331.236|179.642 -5331.259|179.628 -5386.100
