ADDRESS,POINTS
1635 17 AV SW,-1968.035 -1174.725|-1968.028 -1167.109|-1968.021 -1159.503|-1968.014 -1151.886|-1968.014 -1144.269|-2003.833 -1144.314|-2003.840 -1151.908|-2003.847 -1159.525|-2003.854 -1167.131|-2003.861 -1174.748
1709 17 AV SW,-2064.588 -1169.822|-2064.588 -1167.198|-2064.581 -1159.581|-2064.574 -1151.964|-2064.567 -1144.358|-2072.242 -1144.358|-2072.242 -1151.975|-2072.249 -1159.581|-2072.249 -1167.198|-2072.249 -1169.833
1717 17 AV SW,-2085.363 -1144.369|-2100.393 -1144.380|-2100.400 -1151.997|-2100.407 -1159.603|-2100.421 -1167.220|-2100.428 -1174.837|-2085.356 -1174.826|-2085.356 -1167.209|-2085.363 -1159.592|-2085.363 -1151.986
