ADDRESS,POINTS
1865 17 AV SW,-2212.233 -1159.670|-2212.233 -1152.075|-2212.233 -1144.425|-2245.718 -1144.503|-2245.711 -1152.131|-2245.711 -1159.759
1863 17 AV SW,-2212.233 -1159.670|-2212.233 -1152.075|-2212.233 -1144.425|-2245.718 -1144.503|-2245.711 -1152.131|-2245.711 -1159.759
1861 17 AV SW,-2212.233 -1159.670|-2212.233 -1152.075|-2212.233 -1144.425|-2245.718 -1144.503|-2245.711 -1152.131|-2245.711 -1159.759
1859 17 AV SW,-2212.233 -1159.670|-2212.233 -1152.075|-2212.233 -1144.425|-2245.718 -1144.503|-2245.711 -1152.131|-2245.711 -1159.759
