ADDRESS,POINTS
102 1616 8 AV NW,-1791.693 1360.241|-1776.496 1360.263|-1761.299 1360.296|-1746.101 1360.319|-1740.069 1444.816|-1744.298 1449.364|-2004.609 1449.330|-2004.567 1425.490|-2004.567 1422.755|-2004.546 1410.279|-2004.518 1395.078|-2004.497 1379.878|-2004.483 1371.750|-2004.462 1359.774|-1974.026 1359.874|-1943.638 1359.974|-1943.610 1303.509|-1809.379 1303.832|-1791.672 1303.876
104 1616 8 AV NW,-1791.693 1360.241|-1776.496 1360.263|-1761.299 1360.296|-1746.101 1360.319|-1740.069 1444.816|-1744.298 1449.364|-2004.609 1449.330|-2004.567 1425.490|-2004.567 1422.755|-2004.546 1410.279|-2004.518 1395.078|-2004.497 1379.878|-2004.483 1371.750|-2004.462 1359.774|-1974.026 1359.874|-1943.638 1359.974|-1943.610 1303.509|-1809.379 1303.832|-1791.672 1303.876
106 1616 8 AV NW,-1791.693 1360.241|-1776.496 1360.263|-1761.299 1360.296|-1746.101 1360.319|-1740.069 1444.816|-1744.298 1449.364|-2004.609 1449.330|-2004.567 1425.490|-2004.567 1422.755|-2004.546 1410.279|-2004.518 1395.078|-2004.497 1379.878|-2004.483 1371.750|-2004.462 1359.774|-1974.026 1359.874|-1943.638 1359.974|-1943.610 1303.509|-1809.379 1303.832|-1791.672 1303.876
108 1616 8 AV NW,-1791.693 1360.241|-1776.496 1360.263|-1761.299 1360.296|-1746.101 1360.319|-1740.069 1444.816|-1744.298 1449.364|-2004.609 1449.330|-2004.567 1425.490|-2004.567 1422.755|-2004.546 1410.279|-2004.518 1395.078|-2004.497 1379.878|-2004.483 1371.750|-2004.462 1359.774|-1974.026 1359.874|-1943.638 1359.974|-1943.610 1303.509|-1809.379 1303.832|-1791.672 1303.876
112 1616 8 AV NW,-1791.693 1360.241|-1776.496 1360.263|-1761.299 1360.296|-1746.101 1360.319|-1740.069 1444.816|-1744.298 1449.364|-2004.609 1449.330|-2004.567 1425.490|-2004.567 1422.755|-2004.546 1410.279|-2004.518 1395.078|-2004.497 1379.878|-2004.483 1371.750|-2004.462 1359.774|-1974.026 1359.874|-1943.638 1359.974|-1943.610 1303.509|-1809.379 1303.832|-1791.672 1303.876
114 1616 8 AV NW,-1791.693 1360.241|-1776.496 1360.263|-1761.299 1360.296|-1746.101 1360.319|-1740.069 1444.816|-1744.298 1449.364|-2004.609 1449.330|-2004.567 1425.490|-2004.567 1422.755|-2004.546 1410.279|-2004.518 1395.078|-2004.497 1379.878|-2004.483 1371.750|-2004.462 1359.774|-1974.026 1359.874|-1943.638 1359.974|-1943.610 1303.509|-1809.379 1303.832|-1791.672 1303.876
116 1616 8 AV NW,-1791.693 1360.241|-1776.496 1360.263|-1761.299 1360.296|-1746.101 1360.319|-1740.069 1444.816|-1744.298 1449.364|-2004.609 1449.330|-2004.567 1425.490|-2004.567 1422.755|-2004.546 1410.279|-2004.518 1395.078|-2004.497 1379.878|-2004.483 1371.750|-2004.462 1359.774|-1974.026 1359.874|-1943.638 1359.974|-1943.610 1303.509|-1809.379 1303.832|-1791.672 1303.876
118 1616 8 AV NW,-1791.693 1360.241|-1776.496 1360.263|-1761.299 1360.296|-1746.101 1360.319|-1740.069 1444.816|-1744.298 1449.364|-2004.609 1449.330|-2004.567 1425.490|-2004.567 1422.755|-2004.546 1410.279|-2004.518 1395.078|-2004.497 1379.878|-2004.483 1371.750|-2004.462 1359.774|-1974.026 1359.874|-1943.638 1359.974|-1943.610 1303.509|-1809.379 1303.832|-1791.672 1303.876
120 1616 8 AV NW,-1791.693 1360.241|-1776.496 1360.263|-1761.299 1360.296|-1746.101 1360.319|-1740.069 1444.816|-1744.298 1449.364|-2004.609 1449.330|-2004.567 1425.490|-2004.567 1422.755|-2004.546 1410.279|-2004.518 1395.078|-2004.497 1379.878|-2004.483 1371.750|-2004.462 1359.774|-1974.026 1359.874|-1943.638 1359.974|-1943.610 1303.509|-1809.379 1303.832|-1791.672 1303.876
122 1616 8 AV NW,-1791.693 1360.241|-1776.496 1360.263|-1761.299 1360.296|-1746.101 1360.319|-1740.069 1444.816|-1744.298 1449.364|-2004.609 1449.330|-2004.567 1425.490|-2004.567 1422.755|-2004.546 1410.279|-2004.518 1395.078|-2004.497 1379.878|-2004.483 1371.750|-2004.462 1359.774|-1974.026 1359.874|-1943.638 1359.974|-1943.610 1303.509|-1809.379 1303.832|-1791.672 1303.876
