ADDRESS,POINTS
174 YPRES GR SW,-3075.578 -3533.559|-3075.606 -3515.490|-3075.613 -3506.750|-3075.627 -3499.189|-3075.641 -3487.869|-3075.662 -3476.527|-3075.676 -3466.998|-3086.966 -3467.020|-3179.408 -3467.131|-3216.968 -3467.187|-3216.975 -3482.131|-3211.753 -3515.468|-3211.221 -3518.136|-3210.467 -3520.760|-3209.502 -3523.318|-3208.320 -3525.775|-3206.943 -3528.133|-3205.377 -3530.368|-3203.637 -3532.458|-3201.721 -3534.404|-3199.953 -3535.916|-3198.058 -3537.251|-3196.045 -3538.418|-3193.934 -3539.386|-3191.746 -3540.164|-3189.495 -3540.731|-3187.195 -3541.098|-3184.881 -3541.243|-3145.085 -3541.988|-3128.657 -3543.166|-3105.456 -3543.133|-3075.564 -3543.100
180V 2400 SORREL ME SW,-3070.832 -2870.203|-3201.064 -2870.415|-3206.111 -2870.415|-3206.132 -2877.098|-3206.139 -2898.058|-3214.150 -2927.980|-3212.347 -2927.980|-3203.336 -2927.958|-3201.959 -2928.036|-3200.603 -2928.247|-3199.268 -2928.592|-3197.975 -2929.070|-3196.744 -2929.682|-3195.577 -2930.427|-3194.493 -2931.272|-3193.501 -2932.228|-3192.179 -2933.507|-3190.732 -2934.641|-3189.181 -2935.619|-3187.531 -2936.442|-3185.811 -2937.087|-3184.036 -2937.543|-3182.218 -2937.821|-3180.379 -2937.910|-3070.706 -2937.743|-3070.797 -2883.202|-3070.811 -2876.208
181V 2400 SORREL ME SW,-3070.832 -2870.203|-3201.064 -2870.415|-3206.111 -2870.415|-3206.132 -2877.098|-3206.139 -2898.058|-3214.150 -2927.980|-3212.347 -2927.980|-3203.336 -2927.958|-3201.959 -2928.036|-3200.603 -2928.247|-3199.268 -2928.592|-3197.975 -2929.070|-3196.744 -2929.682|-3195.577 -2930.427|-3194.493 -2931.272|-3193.501 -2932.228|-3192.179 -2933.507|-3190.732 -2934.641|-3189.181 -2935.619|-3187.531 -2936.442|-3185.811 -2937.087|-3184.036 -2937.543|-3182.218 -2937.821|-3180.379 -2937.910|-3070.706 -2937.743|-3070.797 -2883.202|-3070.811 -2876.208
182V 2400 SORREL ME SW,-3070.832 -2870.203|-3201.064 -2870.415|-3206.111 -2870.415|-3206.132 -2877.098|-3206.139 -2898.058|-3214.150 -2927.980|-3212.347 -2927.980|-3203.336 -2927.958|-3201.959 -2928.036|-3200.603 -2928.247|-3199.268 -2928.592|-3197.975 -2929.070|-3196.744 -2929.682|-3195.577 -2930.427|-3194.493 -2931.272|-3193.501 -2932.228|-3192.179 -2933.507|-3190.732 -2934.641|-3189.181 -2935.619|-3187.531 -2936.442|-3185.811 -2937.087|-3184.036 -2937.543|-3182.218 -2937.821|-3180.379 -2937.910|-3070.706 -2937.743|-3070.797 -2883.202|-3070.811 -2876.208
183V 2400 SORREL ME SW,-3070.832 -2870.203|-3201.064 -2870.415|-3206.111 -2870.415|-3206.132 -2877.098|-3206.139 -2898.058|-3214.150 -2927.980|-3212.347 -2927.980|-3203.336 -2927.958|-3201.959 -2928.036|-3200.603 -2928.247|-3199.268 -2928.592|-3197.975 -2929.070|-3196.744 -2929.682|-3195.577 -2930.427|-3194.493 -2931.272|-3193.501 -2932.228|-3192.179 -2933.507|-3190.732 -2934.641|-3189.181 -2935.619|-3187.531 -2936.442|-3185.811 -2937.087|-3184.036 -2937.543|-3182.218 -2937.821|-3180.379 -2937.910|-3070.706 -2937.743|-3070.797 -2883.202|-3070.811 -2876.208
184V 2400 SORREL ME SW,-3070.832 -2870.203|-3201.064 -2870.415|-3206.111 -2870.415|-3206.132 -2877.098|-3206.139 -2898.058|-3214.150 -2927.980|-3212.347 -2927.980|-3203.336 -2927.958|-3201.959 -2928.036|-3200.603 -2928.247|-3199.268 -2928.592|-3197.975 -2929.070|-3196.744 -2929.682|-3195.577 -2930.427|-3194.493 -2931.272|-3193.501 -2932.228|-3192.179 -2933.507|-3190.732 -2934.641|-3189.181 -2935.619|-3187.531 -2936.442|-3185.811 -2937.087|-3184.036 -2937.543|-3182.218 -2937.821|-3180.379 -2937.910|-3070.706 -2937.743|-3070.797 -2883.202|-3070.811 -2876.208
185V 2400 SORREL ME SW,-3070.832 -2870.203|-3201.064 -2870.415|-3206.111 -2870.415|-3206.132 -2877.098|-3206.139 -2898.058|-3214.150 -2927.980|-3212.347 -2927.980|-3203.336 -2927.958|-3201.959 -2928.036|-3200.603 -2928.247|-3199.268 -2928.592|-3197.975 -2929.070|-3196.744 -2929.682|-3195.577 -2930.427|-3194.493 -2931.272|-3193.501 -2932.228|-3192.179 -2933.507|-3190.732 -2934.641|-3189.181 -2935.619|-3187.531 -2936.442|-3185.811 -2937.087|-3184.036 -2937.543|-3182.218 -2937.821|-3180.379 -2937.910|-3070.706 -2937.743|-3070.797 -2883.202|-3070.811 -2876.208
186V 2400 SORREL ME SW,-3070.832 -2870.203|-3201.064 -2870.415|-3206.111 -2870.415|-3206.132 -2877.098|-3206.139 -2898.058|-3214.150 -2927.980|-3212.347 -2927.980|-3203.336 -2927.958|-3201.959 -2928.036|-3200.603 -2928.247|-3199.268 -2928.592|-3197.975 -2929.070|-3196.744 -2929.682|-3195.577 -2930.427|-3194.493 -2931.272|-3193.501 -2932.228|-3192.179 -2933.507|-3190.732 -2934.641|-3189.181 -2935.619|-3187.531 -2936.442|-3185.811 -2937.087|-3184.036 -2937.543|-3182.218 -2937.821|-3180.379 -2937.910|-3070.706 -2937.743|-3070.797 -2883.202|-3070.811 -2876.208
187V 2400 SORREL ME SW,-3070.832 -2870.203|-3201.064 -2870.415|-3206.111 -2870.415|-3206.132 -2877.098|-3206.139 -2898.058|-3214.150 -2927.980|-3212.347 -2927.980|-3203.336 -2927.958|-3201.959 -2928.036|-3200.603 -2928.247|-3199.268 -2928.592|-3197.975 -2929.070|-3196.744 -2929.682|-3195.577 -2930.427|-3194.493 -2931.272|-3193.501 -2932.228|-3192.179 -2933.507|-3190.732 -2934.641|-3189.181 -2935.619|-3187.531 -2936.442|-3185.811 -2937.087|-3184.036 -2937.543|-3182.218 -2937.821|-3180.379 -2937.910|-3070.706 -2937.743|-3070.797 -2883.202|-3070.811 -2876.208
188V 2400 SORREL ME SW,-3070.832 -2870.203|-3201.064 -2870.415|-3206.111 -2870.415|-3206.132 -2877.098|-3206.139 -2898.058|-3214.150 -2927.980|-3212.347 -2927.980|-3203.336 -2927.958|-3201.959 -2928.036|-3200.603 -2928.247|-3199.268 -2928.592|-3197.975 -2929.070|-3196.744 -2929.682|-3195.577 -2930.427|-3194.493 -2931.272|-3193.501 -2932.228|-3192.179 -2933.507|-3190.732 -2934.641|-3189.181 -2935.619|-3187.531 -2936.442|-3185.811 -2937.087|-3184.036 -2937.543|-3182.218 -2937.821|-3180.379 -2937.910|-3070.706 -2937.743|-3070.797 -2883.202|-3070.811 -2876.208
308 2400 SORREL ME SW,-3070.832 -2870.203|-3201.064 -2870.415|-3206.111 -2870.415|-3206.132 -2877.098|-3206.139 -2898.058|-3214.150 -2927.980|-3212.347 -2927.980|-3203.336 -2927.958|-3201.959 -2928.036|-3200.603 -2928.247|-3199.268 -2928.592|-3197.975 -2929.070|-3196.744 -2929.682|-3195.577 -2930.427|-3194.493 -2931.272|-3193.501 -2932.228|-3192.179 -2933.507|-3190.732 -2934.641|-3189.181 -2935.619|-3187.531 -2936.442|-3185.811 -2937.087|-3184.036 -2937.543|-3182.218 -2937.821|-3180.379 -2937.910|-3070.706 -2937.743|-3070.797 -2883.202|-3070.811 -2876.208
