ADDRESS,POINTS
7719 ELBOW DR SW,-882.687 -7006.588|-887.244 -7006.588|-887.279 -7093.709|-835.711 -7093.731|-835.669 -7006.610
919 75 AV SW,-882.687 -7006.588|-891.893 -6945.542|-900.904 -6954.582|-903.448 -6957.006|-906.098 -6959.319|-893.312 -7006.588|-887.244 -7006.588
201 8231 ELBOW DR SW,-887.454 -7475.797|-887.482 -7535.498|-835.913 -7535.387|-835.885 -7475.719
202 8231 ELBOW DR SW,-887.454 -7475.797|-887.482 -7535.498|-835.913 -7535.387|-835.885 -7475.719
203 8231 ELBOW DR SW,-887.454 -7475.797|-887.482 -7535.498|-835.913 -7535.387|-835.885 -7475.719
204 8231 ELBOW DR SW,-887.454 -7475.797|-887.482 -7535.498|-835.913 -7535.387|-835.885 -7475.719
205 8231 ELBOW DR SW,-887.454 -7475.797|-887.482 -7535.498|-835.913 -7535.387|-835.885 -7475.719
206 8231 ELBOW DR SW,-887.454 -7475.797|-887.482 -7535.498|-835.913 -7535.387|-835.885 -7475.719
207 8231 ELBOW DR SW,-887.454 -7475.797|-887.482 -7535.498|-835.913 -7535.387|-835.885 -7475.719
208 8231 ELBOW DR SW,-887.454 -7475.797|-887.482 -7535.498|-835.913 -7535.387|-835.885 -7475.719
209 8231 ELBOW DR SW,-887.454 -7475.797|-887.482 -7535.498|-835.913 -7535.387|-835.885 -7475.719
210 8231 ELBOW DR SW,-887.454 -7475.797|-887.482 -7535.498|-835.913 -7535.387|-835.885 -7475.719
211 8231 ELBOW DR SW,-887.454 -7475.797|-887.482 -7535.498|-835.913 -7535.387|-835.885 -7475.719
212 8231 ELBOW DR SW,-887.454 -7475.797|-887.482 -7535.498|-835.913 -7535.387|-835.885 -7475.719
214 8235 ELBOW DR SW,-887.454 -7475.797|-887.482 -7535.498|-835.913 -7535.387|-835.885 -7475.719
215 8235 ELBOW DR SW,-887.454 -7475.797|-887.482 -7535.498|-835.913 -7535.387|-835.885 -7475.719
216 8235 ELBOW DR SW,-887.454 -7475.797|-887.482 -7535.498|-835.913 -7535.387|-835.885 -7475.719
217 8235 ELBOW DR SW,-887.454 -7475.797|-887.482 -7535.498|-835.913 -7535.387|-835.885 -7475.719
218 8235 ELBOW DR SW,-887.454 -7475.797|-887.482 -7535.498|-835.913 -7535.387|-835.885 -7475.719
219 8235 ELBOW DR SW,-887.454 -7475.797|-887.482 -7535.498|-835.913 -7535.387|-835.885 -7475.719
220 8235 ELBOW DR SW,-887.454 -7475.797|-887.482 -7535.498|-835.913 -7535.387|-835.885 -7475.719
221 8235 ELBOW DR SW,-887.454 -7475.797|-887.482 -7535.498|-835.913 -7535.387|-835.885 -7475.719
222 8235 ELBOW DR SW,-887.454 -7475.797|-887.482 -7535.498|-835.913 -7535.387|-835.885 -7475.719
223 8235 ELBOW DR SW,-887.454 -7475.797|-887.482 -7535.498|-835.913 -7535.387|-835.885 -7475.719
224 8235 ELBOW DR SW,-887.454 -7475.797|-887.482 -7535.498|-835.913 -7535.387|-835.885 -7475.719
225 8235 ELBOW DR SW,-887.454 -7475.797|-887.482 -7535.498|-835.913 -7535.387|-835.885 -7475.719
226 8239 ELBOW DR SW,-887.454 -7475.797|-887.482 -7535.498|-835.913 -7535.387|-835.885 -7475.719
227 8239 ELBOW DR SW,-887.454 -7475.797|-887.482 -7535.498|-835.913 -7535.387|-835.885 -7475.719
228 8239 ELBOW DR SW,-887.454 -7475.797|-887.482 -7535.498|-835.913 -7535.387|-835.885 -7475.719
229 8239 ELBOW DR SW,-887.454 -7475.797|-887.482 -7535.498|-835.913 -7535.387|-835.885 -7475.719
230 8239 ELBOW DR SW,-887.454 -7475.797|-887.482 -7535.498|-835.913 -7535.387|-835.885 -7475.719
231 8239 ELBOW DR SW,-887.454 -7475.797|-887.482 -7535.498|-835.913 -7535.387|-835.885 -7475.719
232 8239 ELBOW DR SW,-887.454 -7475.797|-887.482 -7535.498|-835.913 -7535.387|-835.885 -7475.719
233 8239 ELBOW DR SW,-887.454 -7475.797|-887.482 -7535.498|-835.913 -7535.387|-835.885 -7475.719
234 8239 ELBOW DR SW,-887.454 -7475.797|-887.482 -7535.498|-835.913 -7535.387|-835.885 -7475.719
235 8239 ELBOW DR SW,-887.454 -7475.797|-887.482 -7535.498|-835.913 -7535.387|-835.885 -7475.719
236 8239 ELBOW DR SW,-887.454 -7475.797|-887.482 -7535.498|-835.913 -7535.387|-835.885 -7475.719
237 8239 ELBOW DR SW,-887.454 -7475.797|-887.482 -7535.498|-835.913 -7535.387|-835.885 -7475.719
