ADDRESS,POINTS
211 8604 48 AV NW,-9768.422 5420.146|-9770.889 5417.321|-9775.664 5415.587|-9780.229 5414.386|-9785.479 5414.386|-9790.610 5414.319|-9795.237 5412.896|-9799.942 5411.984|-9804.856 5411.739|-9810.127 5411.239|-9810.183 5411.228|-9810.218 5331.023|-9785.856 5331.012|-9784.416 5331.078|-9782.990 5331.290|-9781.592 5331.634|-9780.236 5332.113|-9778.928 5332.713|-9777.684 5333.436|-9776.517 5334.281|-9775.433 5335.237|-9774.448 5336.282|-9773.574 5337.428|-9772.805 5338.640|-9772.162 5339.930|-9771.644 5341.264|-9771.253 5342.654|-9771.001 5344.066|-9770.889 5345.500
212 8604 48 AV NW,-9768.422 5420.146|-9770.889 5417.321|-9775.664 5415.587|-9780.229 5414.386|-9785.479 5414.386|-9790.610 5414.319|-9795.237 5412.896|-9799.942 5411.984|-9804.856 5411.739|-9810.127 5411.239|-9810.183 5411.228|-9810.218 5331.023|-9785.856 5331.012|-9784.416 5331.078|-9782.990 5331.290|-9781.592 5331.634|-9780.236 5332.113|-9778.928 5332.713|-9777.684 5333.436|-9776.517 5334.281|-9775.433 5335.237|-9774.448 5336.282|-9773.574 5337.428|-9772.805 5338.640|-9772.162 5339.930|-9771.644 5341.264|-9771.253 5342.654|-9771.001 5344.066|-9770.889 5345.500
213 8604 48 AV NW,-9768.422 5420.146|-9770.889 5417.321|-9775.664 5415.587|-9780.229 5414.386|-9785.479 5414.386|-9790.610 5414.319|-9795.237 5412.896|-9799.942 5411.984|-9804.856 5411.739|-9810.127 5411.239|-9810.183 5411.228|-9810.218 5331.023|-9785.856 5331.012|-9784.416 5331.078|-9782.990 5331.290|-9781.592 5331.634|-9780.236 5332.113|-9778.928 5332.713|-9777.684 5333.436|-9776.517 5334.281|-9775.433 5335.237|-9774.448 5336.282|-9773.574 5337.428|-9772.805 5338.640|-9772.162 5339.930|-9771.644 5341.264|-9771.253 5342.654|-9771.001 5344.066|-9770.889 5345.500
214 8604 48 AV NW,-9768.422 5420.146|-9770.889 5417.321|-9775.664 5415.587|-9780.229 5414.386|-9785.479 5414.386|-9790.610 5414.319|-9795.237 5412.896|-9799.942 5411.984|-9804.856 5411.739|-9810.127 5411.239|-9810.183 5411.228|-9810.218 5331.023|-9785.856 5331.012|-9784.416 5331.078|-9782.990 5331.290|-9781.592 5331.634|-9780.236 5332.113|-9778.928 5332.713|-9777.684 5333.436|-9776.517 5334.281|-9775.433 5335.237|-9774.448 5336.282|-9773.574 5337.428|-9772.805 5338.640|-9772.162 5339.930|-9771.644 5341.264|-9771.253 5342.654|-9771.001 5344.066|-9770.889 5345.500
215 8604 48 AV NW,-9768.422 5420.146|-9770.889 5417.321|-9775.664 5415.587|-9780.229 5414.386|-9785.479 5414.386|-9790.610 5414.319|-9795.237 5412.896|-9799.942 5411.984|-9804.856 5411.739|-9810.127 5411.239|-9810.183 5411.228|-9810.218 5331.023|-9785.856 5331.012|-9784.416 5331.078|-9782.990 5331.290|-9781.592 5331.634|-9780.236 5332.113|-9778.928 5332.713|-9777.684 5333.436|-9776.517 5334.281|-9775.433 5335.237|-9774.448 5336.282|-9773.574 5337.428|-9772.805 5338.640|-9772.162 5339.930|-9771.644 5341.264|-9771.253 5342.654|-9771.001 5344.066|-9770.889 5345.500
216 8604 48 AV NW,-9768.422 5420.146|-9770.889 5417.321|-9775.664 5415.587|-9780.229 5414.386|-9785.479 5414.386|-9790.610 5414.319|-9795.237 5412.896|-9799.942 5411.984|-9804.856 5411.739|-9810.127 5411.239|-9810.183 5411.228|-9810.218 5331.023|-9785.856 5331.012|-9784.416 5331.078|-9782.990 5331.290|-9781.592 5331.634|-9780.236 5332.113|-9778.928 5332.713|-9777.684 5333.436|-9776.517 5334.281|-9775.433 5335.237|-9774.448 5336.282|-9773.574 5337.428|-9772.805 5338.640|-9772.162 5339.930|-9771.644 5341.264|-9771.253 5342.654|-9771.001 5344.066|-9770.889 5345.500
217 8604 48 AV NW,-9768.422 5420.146|-9770.889 5417.321|-9775.664 5415.587|-9780.229 5414.386|-9785.479 5414.386|-9790.610 5414.319|-9795.237 5412.896|-9799.942 5411.984|-9804.856 5411.739|-9810.127 5411.239|-9810.183 5411.228|-9810.218 5331.023|-9785.856 5331.012|-9784.416 5331.078|-9782.990 5331.290|-9781.592 5331.634|-9780.236 5332.113|-9778.928 5332.713|-9777.684 5333.436|-9776.517 5334.281|-9775.433 5335.237|-9774.448 5336.282|-9773.574 5337.428|-9772.805 5338.640|-9772.162 5339.930|-9771.644 5341.264|-9771.253 5342.654|-9771.001 5344.066|-9770.889 5345.500
218 8604 48 AV NW,-9768.422 5420.146|-9770.889 5417.321|-9775.664 5415.587|-9780.229 5414.386|-9785.479 5414.386|-9790.610 5414.319|-9795.237 5412.896|-9799.942 5411.984|-9804.856 5411.739|-9810.127 5411.239|-9810.183 5411.228|-9810.218 5331.023|-9785.856 5331.012|-9784.416 5331.078|-9782.990 5331.290|-9781.592 5331.634|-9780.236 5332.113|-9778.928 5332.713|-9777.684 5333.436|-9776.517 5334.281|-9775.433 5335.237|-9774.448 5336.282|-9773.574 5337.428|-9772.805 5338.640|-9772.162 5339.930|-9771.644 5341.264|-9771.253 5342.654|-9771.001 5344.066|-9770.889 5345.500
208 8604 48 AV NW,-9768.422 5420.146|-9770.889 5417.321|-9775.664 5415.587|-9780.229 5414.386|-9785.479 5414.386|-9790.610 5414.319|-9795.237 5412.896|-9799.942 5411.984|-9804.856 5411.739|-9810.127 5411.239|-9810.183 5411.228|-9810.218 5331.023|-9785.856 5331.012|-9784.416 5331.078|-9782.990 5331.290|-9781.592 5331.634|-9780.236 5332.113|-9778.928 5332.713|-9777.684 5333.436|-9776.517 5334.281|-9775.433 5335.237|-9774.448 5336.282|-9773.574 5337.428|-9772.805 5338.640|-9772.162 5339.930|-9771.644 5341.264|-9771.253 5342.654|-9771.001 5344.066|-9770.889 5345.500
209 8604 48 AV NW,-9768.422 5420.146|-9770.889 5417.321|-9775.664 5415.587|-9780.229 5414.386|-9785.479 5414.386|-9790.610 5414.319|-9795.237 5412.896|-9799.942 5411.984|-9804.856 5411.739|-9810.127 5411.239|-9810.183 5411.228|-9810.218 5331.023|-9785.856 5331.012|-9784.416 5331.078|-9782.990 5331.290|-9781.592 5331.634|-9780.236 5332.113|-9778.928 5332.713|-9777.684 5333.436|-9776.517 5334.281|-9775.433 5335.237|-9774.448 5336.282|-9773.574 5337.428|-9772.805 5338.640|-9772.162 5339.930|-9771.644 5341.264|-9771.253 5342.654|-9771.001 5344.066|-9770.889 5345.500
