ADDRESS,POINTS
2020 144 AV NE,4282.248 16677.164|4266.548 16677.409|4250.952 16677.420|4232.511 16615.595|4225.835 16592.345|4219.474 16569.005|4213.434 16545.576|4207.716 16522.069|4202.326 16498.485|4197.258 16474.823|4192.519 16451.105|4188.108 16427.320|4184.018 16403.469|4180.264 16379.573|4176.832 16355.633|4173.735 16331.637|4170.967 16307.608|4168.527 16283.534|4166.416 16259.438|4164.641 16235.309|4156.266 16117.954|4139.978 15872.402|4111.254 15449.795|4109.891 15431.147|4108.318 15412.522|4106.550 15393.919|4104.578 15375.327|4102.411 15356.769|4100.042 15338.222|4097.469 15319.708|4094.694 15301.227|4091.723 15282.769|4088.556 15264.344|4085.187 15245.963|4081.615 15227.605|4077.854 15209.302|4073.890 15191.033|4069.724 15172.808|4065.369 15154.628|4062.719 15144.086|4043.328 15067.228|4074.533 15067.273|4091.968 15136.714|4096.148 15153.671|4100.167 15170.662|4104.019 15187.697|4107.696 15204.765|4111.205 15221.867|4114.547 15239.002|4117.714 15256.171|4120.712 15273.373|4123.544 15290.597|4126.200 15307.854|4128.682 15325.134|4130.995 15342.447|4133.142 15359.771|4135.113 15377.118|4136.909 15394.475|4138.538 15411.866|4145.773 15512.998|4170.205 15872.424|4194.735 16233.263|4196.482 16256.981|4198.551 16280.665|4200.949 16304.316|4203.668 16327.934|4206.709 16351.508|4210.079 16375.048|4213.777 16398.532|4217.789 16421.961|4222.123 16445.345|4226.786 16468.651|4231.763 16491.902|4237.062 16515.086|4242.675 16538.182|4248.610 16561.210|4254.860 16584.150|4261.424 16607.000
2020R 144 AV NE,4854.076 15157.808|4854.097 15188.275|4824.814 15188.331|4820.012 15188.486|4815.223 15188.787|4810.442 15189.220|4805.674 15189.810|4796.922 15191.122|4788.247 15192.923|4779.698 15195.203|4771.281 15197.949|4763.032 15201.163|4754.972 15204.832|4747.136 15208.935|4739.530 15213.461|4732.197 15218.409|4725.151 15223.746|4718.412 15229.473|4712.002 15235.566|4705.941 15242.005|4700.244 15248.765|4694.938 15255.837|4690.031 15263.187|4555.702 15477.971|4551.997 15483.709|4548.124 15489.335|4544.091 15494.851|4539.896 15500.244|4535.541 15505.514|4531.039 15510.652|4526.384 15515.655|4521.581 15520.526|4516.639 15525.240|4511.564 15529.822|4506.356 15534.247|4501.015 15538.517|4495.556 15542.631|4489.970 15546.590|4484.280 15550.381|4478.471 15553.995|4472.564 15557.442|4466.559 15560.723|4460.457 15563.814|4454.270 15566.738|4448.000 15569.474|4441.652 15572.020|4435.228 15574.388|4428.741 15576.568|4422.191 15578.547|4415.585 15580.337|4408.930 15581.939|4402.226 15583.340|4395.487 15584.552|4388.720 15585.552|4381.919 15586.364|4375.103 15586.976|4313.461 15591.579|4307.421 15591.902|4301.374 15592.046|4295.321 15591.991|4289.281 15591.746|4283.241 15591.312|4277.229 15590.690|4271.238 15589.867|4265.269 15588.855|4259.341 15587.654|4253.455 15586.275|4247.618 15584.696|4241.829 15582.939|4236.104 15580.993|4230.442 15578.881|4224.850 15576.579|4219.334 15574.099|4213.902 15571.442|4208.555 15568.617|4203.305 15565.626|4198.146 15562.468|4193.099 15559.155|4188.157 15555.674|4183.326 15552.038|4178.622 15548.258|4174.036 15544.321|4169.576 15540.240|4165.256 15536.026|4161.068 15531.667|4157.021 15527.186|4153.120 15522.583|4149.366 15517.846|4145.773 15512.998|4138.538 15411.855|4142.656 15431.403|4144.138 15438.519|4145.941 15445.558|4148.066 15452.508|4150.506 15459.357|4153.260 15466.085|4156.315 15472.678|4159.677 15479.117|4163.326 15485.410|4167.255 15491.526|4171.470 15497.453|4175.944 15503.190|4180.684 15508.706|4185.661 15514.010|4190.883 15519.080|4196.335 15523.906|4201.998 15528.476|4207.863 15532.779|4213.923 15536.816|4220.159 15540.574|4226.562 15544.043|4233.119 15547.212|4239.809 15550.092|4246.632 15552.650|4253.559 15554.896|4260.585 15556.831|4267.687 15558.443|4274.859 15559.722|4282.088 15560.678|4289.344 15561.312|4296.628 15561.601|4303.912 15561.568|4311.189 15561.201|4372.838 15556.597|4378.766 15556.075|4384.673 15555.363|4390.566 15554.485|4396.424 15553.439|4402.247 15552.216|4408.035 15550.826|4413.774 15549.269|4419.471 15547.546|4425.113 15545.656|4430.698 15543.599|4436.221 15541.375|4441.673 15539.006|4447.056 15536.460|4452.355 15533.769|4457.577 15530.922|4462.715 15527.920|4467.762 15524.773|4472.711 15521.482|4477.562 15518.046|4482.316 15514.465|4486.958 15510.752|4491.487 15506.904|4495.898 15502.923|4500.197 15498.820|4504.371 15494.584|4508.418 15490.236|4512.333 15485.766|4516.122 15481.185|4519.771 15476.492|4523.273 15471.700|4526.642 15466.807|4529.865 15461.815|4664.194 15247.042|4667.130 15242.538|4670.199 15238.135|4673.387 15233.809|4676.693 15229.584|4680.125 15225.448|4683.670 15221.411|4687.326 15217.475|4691.093 15213.650|4694.973 15209.925|4698.951 15206.322|4703.033 15202.819|4707.213 15199.439|4711.485 15196.181|4715.854 15193.045|4720.307 15190.032|4724.843 15187.152|4729.457 15184.394|4734.148 15181.770|4738.915 15179.280|4743.753 15176.922|4748.653 15174.698|4753.609 15172.619|4758.628 15170.684|4763.697 15168.894|4768.821 15167.248|4773.987 15165.736|4779.187 15164.379|4784.430 15163.167|4789.708 15162.111|4795.007 15161.199|4800.334 15160.432|4805.681 15159.820|4815.188 15158.608|4824.751 15157.874
