ADDRESS,POINTS
1025L 10 ST SE,2076.900 -536.144|2062.800 -529.739|2048.539 -523.690|2031.392 -516.985|2014.055 -510.803|2013.363 -512.026|2011.623 -515.907|2010.532 -519.109|2009.092 -522.478|2007.449 -525.592|2004.646 -529.528|2002.745 -532.541|2001.102 -536.111|2000.165 -538.557|1999.124 -541.715|1997.788 -545.129|1996.453 -548.498|1995.307 -551.400|1994.021 -554.669|1994.146 -554.869|2000.759 -557.104|2015.726 -562.497|2030.539 -568.324|2045.177 -574.562|2059.640 -581.211|2066.617 -584.592|2065.323 -587.227|2082.849 -596.590|2100.003 -606.619|2116.752 -617.316|2133.075 -628.658|2148.944 -640.634|2164.330 -653.210|2179.219 -666.387|2193.585 -680.142|2207.398 -694.441|2220.652 -709.275|2233.319 -724.608|2245.377 -740.431|2256.807 -756.710|2267.600 -773.423|2276.946 -787.200|2285.880 -801.255|2387.556 -966.468|2388.738 -965.735|2431.275 -1036.188|2431.548 -964.623|2402.341 -917.231|2421.719 -905.222|2411.387 -888.710|2394.037 -860.989|2387.815 -851.048|2381.587 -841.096|2375.365 -831.155|2374.065 -829.076|2353.024 -794.606|2346.411 -783.764|2339.798 -772.923|2337.568 -769.275|2333.143 -762.181|2326.376 -751.740|2319.504 -741.588|2312.528 -731.703|2304.475 -720.806|2299.134 -713.834|2288.473 -700.524|2277.449 -687.525|2266.069 -674.826|2254.339 -662.462|2246.517 -654.578|2238.673 -646.961|2230.760 -639.544|2222.770 -632.317|2206.573 -618.417|2198.366 -611.746|2190.089 -605.252|2181.750 -598.925|2173.347 -592.776|2164.875 -586.805|2159.213 -595.033|2156.242 -599.336|2140.681 -588.917|2124.798 -578.988|2108.608 -569.569|2092.139 -560.663|2092.391 -559.995|2097.571 -546.330|2094.851 -544.929
1011L 9 AV SE,2076.900 -536.144|2062.800 -529.739|2048.539 -523.690|2031.392 -516.985|2014.055 -510.803|2013.363 -512.026|2011.623 -515.907|2010.532 -519.109|2009.092 -522.478|2007.449 -525.592|2004.646 -529.528|2002.745 -532.541|2001.102 -536.111|2000.165 -538.557|1999.124 -541.715|1997.788 -545.129|1996.453 -548.498|1995.307 -551.400|1994.021 -554.669|1994.146 -554.869|2000.759 -557.104|2015.726 -562.497|2030.539 -568.324|2045.177 -574.562|2059.640 -581.211|2066.617 -584.592|2065.323 -587.227|2082.849 -596.590|2100.003 -606.619|2116.752 -617.316|2133.075 -628.658|2148.944 -640.634|2164.330 -653.210|2179.219 -666.387|2193.585 -680.142|2207.398 -694.441|2220.652 -709.275|2233.319 -724.608|2245.377 -740.431|2256.807 -756.710|2267.600 -773.423|2276.946 -787.200|2285.880 -801.255|2387.556 -966.468|2388.738 -965.735|2431.275 -1036.188|2431.548 -964.623|2402.341 -917.231|2421.719 -905.222|2411.387 -888.710|2394.037 -860.989|2387.815 -851.048|2381.587 -841.096|2375.365 -831.155|2374.065 -829.076|2353.024 -794.606|2346.411 -783.764|2339.798 -772.923|2337.568 -769.275|2333.143 -762.181|2326.376 -751.740|2319.504 -741.588|2312.528 -731.703|2304.475 -720.806|2299.134 -713.834|2288.473 -700.524|2277.449 -687.525|2266.069 -674.826|2254.339 -662.462|2246.517 -654.578|2238.673 -646.961|2230.760 -639.544|2222.770 -632.317|2206.573 -618.417|2198.366 -611.746|2190.089 -605.252|2181.750 -598.925|2173.347 -592.776|2164.875 -586.805|2159.213 -595.033|2156.242 -599.336|2140.681 -588.917|2124.798 -578.988|2108.608 -569.569|2092.139 -560.663|2092.391 -559.995|2097.571 -546.330|2094.851 -544.929
919L 9 AV SE,2076.900 -536.144|2062.800 -529.739|2048.539 -523.690|2031.392 -516.985|2014.055 -510.803|2013.363 -512.026|2011.623 -515.907|2010.532 -519.109|2009.092 -522.478|2007.449 -525.592|2004.646 -529.528|2002.745 -532.541|2001.102 -536.111|2000.165 -538.557|1999.124 -541.715|1997.788 -545.129|1996.453 -548.498|1995.307 -551.400|1994.021 -554.669|1994.146 -554.869|2000.759 -557.104|2015.726 -562.497|2030.539 -568.324|2045.177 -574.562|2059.640 -581.211|2066.617 -584.592|2065.323 -587.227|2082.849 -596.590|2100.003 -606.619|2116.752 -617.316|2133.075 -628.658|2148.944 -640.634|2164.330 -653.210|2179.219 -666.387|2193.585 -680.142|2207.398 -694.441|2220.652 -709.275|2233.319 -724.608|2245.377 -740.431|2256.807 -756.710|2267.600 -773.423|2276.946 -787.200|2285.880 -801.255|2387.556 -966.468|2388.738 -965.735|2431.275 -1036.188|2431.548 -964.623|2402.341 -917.231|2421.719 -905.222|2411.387 -888.710|2394.037 -860.989|2387.815 -851.048|2381.587 -841.096|2375.365 -831.155|2374.065 -829.076|2353.024 -794.606|2346.411 -783.764|2339.798 -772.923|2337.568 -769.275|2333.143 -762.181|2326.376 -751.740|2319.504 -741.588|2312.528 -731.703|2304.475 -720.806|2299.134 -713.834|2288.473 -700.524|2277.449 -687.525|2266.069 -674.826|2254.339 -662.462|2246.517 -654.578|2238.673 -646.961|2230.760 -639.544|2222.770 -632.317|2206.573 -618.417|2198.366 -611.746|2190.089 -605.252|2181.750 -598.925|2173.347 -592.776|2164.875 -586.805|2159.213 -595.033|2156.242 -599.336|2140.681 -588.917|2124.798 -578.988|2108.608 -569.569|2092.139 -560.663|2092.391 -559.995|2097.571 -546.330|2094.851 -544.929
