ADDRESS,POINTS
507 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
508 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
509 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
510 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
511 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
512 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
513 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
514 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
515 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
516 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
517 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
601 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
602 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
603 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
604 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
605 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
606 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
607 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
608 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
609 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
610 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
611 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
612 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
613 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
614 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
615 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
616 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
617 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
701 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
702 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
703 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
704 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
705 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
706 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
707 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
708 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
709 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
710 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
711 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
712 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
713 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
714 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
715 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
716 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
717 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
801 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
802 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
803 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
804 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
805 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
806 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
807 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
808 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
809 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
810 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
811 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
812 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
813 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
814 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
815 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
816 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
817 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
901 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
902 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
903 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
904 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
905 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
906 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
907 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
908 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
909 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
910 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
911 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
912 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
913 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
914 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
915 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
916 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
917 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1001 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1002 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1003 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1004 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1005 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1006 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1007 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1008 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1009 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1010 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1011 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
