ADDRESS,POINTS
2500 EXSHAW RD NW,-2519.017 2965.673|-2526.616 2965.673|-2534.215 2965.673|-2541.813 2965.673|-2549.412 2965.673|-2549.433 2929.090|-2541.820 2929.090|-2534.222 2929.090|-2526.623 2929.101|-2519.024 2929.101
1925 24 AV NW,-2397.726 2909.042|-2405.324 2909.042|-2412.930 2909.031|-2420.529 2909.031|-2429.295 2909.031|-2429.225 2864.719|-2420.466 2864.719|-2412.853 2864.730|-2405.247 2864.730|-2397.642 2864.742
