ADDRESS,POINTS
201 4515 45 ST SW,-5839.920 -3805.520|-5849.945 -3805.642|-5849.868 -3948.917|-5807.408 -3948.816|-5698.126 -3941.011|-5698.133 -3805.164|-5771.610 -3805.397
202 4515 45 ST SW,-5839.920 -3805.520|-5849.945 -3805.642|-5849.868 -3948.917|-5807.408 -3948.816|-5698.126 -3941.011|-5698.133 -3805.164|-5771.610 -3805.397
203 4515 45 ST SW,-5839.920 -3805.520|-5849.945 -3805.642|-5849.868 -3948.917|-5807.408 -3948.816|-5698.126 -3941.011|-5698.133 -3805.164|-5771.610 -3805.397
204 4515 45 ST SW,-5839.920 -3805.520|-5849.945 -3805.642|-5849.868 -3948.917|-5807.408 -3948.816|-5698.126 -3941.011|-5698.133 -3805.164|-5771.610 -3805.397
205 4515 45 ST SW,-5839.920 -3805.520|-5849.945 -3805.642|-5849.868 -3948.917|-5807.408 -3948.816|-5698.126 -3941.011|-5698.133 -3805.164|-5771.610 -3805.397
206 4515 45 ST SW,-5839.920 -3805.520|-5849.945 -3805.642|-5849.868 -3948.917|-5807.408 -3948.816|-5698.126 -3941.011|-5698.133 -3805.164|-5771.610 -3805.397
207 4515 45 ST SW,-5839.920 -3805.520|-5849.945 -3805.642|-5849.868 -3948.917|-5807.408 -3948.816|-5698.126 -3941.011|-5698.133 -3805.164|-5771.610 -3805.397
208 4515 45 ST SW,-5839.920 -3805.520|-5849.945 -3805.642|-5849.868 -3948.917|-5807.408 -3948.816|-5698.126 -3941.011|-5698.133 -3805.164|-5771.610 -3805.397
209 4515 45 ST SW,-5839.920 -3805.520|-5849.945 -3805.642|-5849.868 -3948.917|-5807.408 -3948.816|-5698.126 -3941.011|-5698.133 -3805.164|-5771.610 -3805.397
301 4515 45 ST SW,-5839.920 -3805.520|-5849.945 -3805.642|-5849.868 -3948.917|-5807.408 -3948.816|-5698.126 -3941.011|-5698.133 -3805.164|-5771.610 -3805.397
302 4515 45 ST SW,-5839.920 -3805.520|-5849.945 -3805.642|-5849.868 -3948.917|-5807.408 -3948.816|-5698.126 -3941.011|-5698.133 -3805.164|-5771.610 -3805.397
303 4515 45 ST SW,-5839.920 -3805.520|-5849.945 -3805.642|-5849.868 -3948.917|-5807.408 -3948.816|-5698.126 -3941.011|-5698.133 -3805.164|-5771.610 -3805.397
304 4515 45 ST SW,-5839.920 -3805.520|-5849.945 -3805.642|-5849.868 -3948.917|-5807.408 -3948.816|-5698.126 -3941.011|-5698.133 -3805.164|-5771.610 -3805.397
305 4515 45 ST SW,-5839.920 -3805.520|-5849.945 -3805.642|-5849.868 -3948.917|-5807.408 -3948.816|-5698.126 -3941.011|-5698.133 -3805.164|-5771.610 -3805.397
306 4515 45 ST SW,-5839.920 -3805.520|-5849.945 -3805.642|-5849.868 -3948.917|-5807.408 -3948.816|-5698.126 -3941.011|-5698.133 -3805.164|-5771.610 -3805.397
307 4515 45 ST SW,-5839.920 -3805.520|-5849.945 -3805.642|-5849.868 -3948.917|-5807.408 -3948.816|-5698.126 -3941.011|-5698.133 -3805.164|-5771.610 -3805.397
308 4515 45 ST SW,-5839.920 -3805.520|-5849.945 -3805.642|-5849.868 -3948.917|-5807.408 -3948.816|-5698.126 -3941.011|-5698.133 -3805.164|-5771.610 -3805.397
409 4515 45 ST SW,-5839.920 -3805.520|-5849.945 -3805.642|-5849.868 -3948.917|-5807.408 -3948.816|-5698.126 -3941.011|-5698.133 -3805.164|-5771.610 -3805.397
408 4515 45 ST SW,-5839.920 -3805.520|-5849.945 -3805.642|-5849.868 -3948.917|-5807.408 -3948.816|-5698.126 -3941.011|-5698.133 -3805.164|-5771.610 -3805.397
407 4515 45 ST SW,-5839.920 -3805.520|-5849.945 -3805.642|-5849.868 -3948.917|-5807.408 -3948.816|-5698.126 -3941.011|-5698.133 -3805.164|-5771.610 -3805.397
406 4515 45 ST SW,-5839.920 -3805.520|-5849.945 -3805.642|-5849.868 -3948.917|-5807.408 -3948.816|-5698.126 -3941.011|-5698.133 -3805.164|-5771.610 -3805.397
405 4515 45 ST SW,-5839.920 -3805.520|-5849.945 -3805.642|-5849.868 -3948.917|-5807.408 -3948.816|-5698.126 -3941.011|-5698.133 -3805.164|-5771.610 -3805.397
404 4515 45 ST SW,-5839.920 -3805.520|-5849.945 -3805.642|-5849.868 -3948.917|-5807.408 -3948.816|-5698.126 -3941.011|-5698.133 -3805.164|-5771.610 -3805.397
403 4515 45 ST SW,-5839.920 -3805.520|-5849.945 -3805.642|-5849.868 -3948.917|-5807.408 -3948.816|-5698.126 -3941.011|-5698.133 -3805.164|-5771.610 -3805.397
402 4515 45 ST SW,-5839.920 -3805.520|-5849.945 -3805.642|-5849.868 -3948.917|-5807.408 -3948.816|-5698.126 -3941.011|-5698.133 -3805.164|-5771.610 -3805.397
401 4515 45 ST SW,-5839.920 -3805.520|-5849.945 -3805.642|-5849.868 -3948.917|-5807.408 -3948.816|-5698.126 -3941.011|-5698.133 -3805.164|-5771.610 -3805.397
501 4550 47 ST SW,-5839.920 -3805.520|-5849.945 -3805.642|-5849.868 -3948.917|-5807.408 -3948.816|-5698.126 -3941.011|-5698.133 -3805.164|-5771.610 -3805.397
502 4550 47 ST SW,-5839.920 -3805.520|-5849.945 -3805.642|-5849.868 -3948.917|-5807.408 -3948.816|-5698.126 -3941.011|-5698.133 -3805.164|-5771.610 -3805.397
503 4550 47 ST SW,-5839.920 -3805.520|-5849.945 -3805.642|-5849.868 -3948.917|-5807.408 -3948.816|-5698.126 -3941.011|-5698.133 -3805.164|-5771.610 -3805.397
504 4550 47 ST SW,-5839.920 -3805.520|-5849.945 -3805.642|-5849.868 -3948.917|-5807.408 -3948.816|-5698.126 -3941.011|-5698.133 -3805.164|-5771.610 -3805.397
505 4550 47 ST SW,-5839.920 -3805.520|-5849.945 -3805.642|-5849.868 -3948.917|-5807.408 -3948.816|-5698.126 -3941.011|-5698.133 -3805.164|-5771.610 -3805.397
506 4550 47 ST SW,-5839.920 -3805.520|-5849.945 -3805.642|-5849.868 -3948.917|-5807.408 -3948.816|-5698.126 -3941.011|-5698.133 -3805.164|-5771.610 -3805.397
607 4740 46 AV SW,-5839.920 -3805.520|-5849.945 -3805.642|-5849.868 -3948.917|-5807.408 -3948.816|-5698.126 -3941.011|-5698.133 -3805.164|-5771.610 -3805.397
606 4740 46 AV SW,-5839.920 -3805.520|-5849.945 -3805.642|-5849.868 -3948.917|-5807.408 -3948.816|-5698.126 -3941.011|-5698.133 -3805.164|-5771.610 -3805.397
605 4740 46 AV SW,-5839.920 -3805.520|-5849.945 -3805.642|-5849.868 -3948.917|-5807.408 -3948.816|-5698.126 -3941.011|-5698.133 -3805.164|-5771.610 -3805.397
601 4740 46 AV SW,-5839.920 -3805.520|-5849.945 -3805.642|-5849.868 -3948.917|-5807.408 -3948.816|-5698.126 -3941.011|-5698.133 -3805.164|-5771.610 -3805.397
602 4740 46 AV SW,-5839.920 -3805.520|-5849.945 -3805.642|-5849.868 -3948.917|-5807.408 -3948.816|-5698.126 -3941.011|-5698.133 -3805.164|-5771.610 -3805.397
603 4740 46 AV SW,-5839.920 -3805.520|-5849.945 -3805.642|-5849.868 -3948.917|-5807.408 -3948.816|-5698.126 -3941.011|-5698.133 -3805.164|-5771.610 -3805.397
604 4740 46 AV SW,-5839.920 -3805.520|-5849.945 -3805.642|-5849.868 -3948.917|-5807.408 -3948.816|-5698.126 -3941.011|-5698.133 -3805.164|-5771.610 -3805.397
706 4740 46 AV SW,-5839.920 -3805.520|-5849.945 -3805.642|-5849.868 -3948.917|-5807.408 -3948.816|-5698.126 -3941.011|-5698.133 -3805.164|-5771.610 -3805.397
705 4740 46 AV SW,-5839.920 -3805.520|-5849.945 -3805.642|-5849.868 -3948.917|-5807.408 -3948.816|-5698.126 -3941.011|-5698.133 -3805.164|-5771.610 -3805.397
