ADDRESS,POINTS
10305 BRAESIDE DR SW,-2243.802 -9681.882|-2243.795 -9663.669|-2243.865 -9662.179|-2244.082 -9660.689|-2244.438 -9659.243|-2244.942 -9657.831|-2245.578 -9656.474|-2246.347 -9655.196|-2247.235 -9653.995|-2248.234 -9652.883|-2249.346 -9651.882|-2250.541 -9650.992|-2251.820 -9650.214|-2253.177 -9649.580|-2254.582 -9649.080|-2256.029 -9648.713|-2257.511 -9648.491|-2259.000 -9648.424|-2283.194 -9648.502|-2283.222 -9682.005
1919 SOUTHLAND DR SW,-2243.802 -9681.882|-2283.222 -9682.005|-2283.194 -9648.502|-2417.991 -9648.935|-2419.774 -9649.035|-2421.535 -9649.302|-2423.262 -9649.747|-2424.940 -9650.359|-2426.547 -9651.126|-2428.071 -9652.049|-2429.504 -9653.116|-2430.819 -9654.328|-2432.014 -9655.651|-2433.070 -9657.086|-2433.985 -9658.620|-2434.747 -9660.244|-2435.341 -9661.923|-2435.775 -9663.658|-2436.033 -9665.425|-2436.117 -9667.205|-2436.124 -9722.335|-2433.091 -9722.324|-2313.358 -9721.935|-2243.837 -9721.712
11440 BRAESIDE DR SW,-3085.659 -10593.392|-3085.700 -10459.758|-3085.854 -10458.245|-3086.302 -10456.789|-3087.029 -10455.454|-3088.007 -10454.298|-3089.203 -10453.353|-3090.559 -10452.663|-3092.020 -10452.252|-3093.537 -10452.152|-3193.654 -10455.554|-3217.450 -10455.543|-3220.085 -10455.777|-3222.644 -10456.455|-3225.042 -10457.578|-3227.209 -10459.102|-3229.075 -10460.981|-3230.592 -10463.149|-3231.711 -10465.551|-3232.396 -10468.108|-3232.563 -10469.076|-3236.087 -10489.024|-3236.101 -10501.211|-3221.253 -10593.436
