ADDRESS,POINTS
165 630 REDSTONE DR NE,8552.934 13396.725|8552.941 13399.727|8552.955 13431.696|8550.557 13431.684|8473.592 13431.484|8470.593 13431.484|8432.620 13431.384|8429.622 13431.373|8429.622 13407.622|8429.831 13405.509|8430.446 13403.474|8431.446 13401.606|8432.795 13399.961|8434.438 13398.615|8436.311 13397.614|8438.346 13396.992|8440.464 13396.780|8446.462 13396.780|8550.536 13396.736
160 630 REDSTONE DR NE,8552.934 13396.725|8552.941 13399.727|8552.955 13431.696|8550.557 13431.684|8473.592 13431.484|8470.593 13431.484|8432.620 13431.384|8429.622 13431.373|8429.622 13407.622|8429.831 13405.509|8430.446 13403.474|8431.446 13401.606|8432.795 13399.961|8434.438 13398.615|8436.311 13397.614|8438.346 13396.992|8440.464 13396.780|8446.462 13396.780|8550.536 13396.736
155 630 REDSTONE DR NE,8552.934 13396.725|8552.941 13399.727|8552.955 13431.696|8550.557 13431.684|8473.592 13431.484|8470.593 13431.484|8432.620 13431.384|8429.622 13431.373|8429.622 13407.622|8429.831 13405.509|8430.446 13403.474|8431.446 13401.606|8432.795 13399.961|8434.438 13398.615|8436.311 13397.614|8438.346 13396.992|8440.464 13396.780|8446.462 13396.780|8550.536 13396.736
150 630 REDSTONE DR NE,8552.934 13396.725|8552.941 13399.727|8552.955 13431.696|8550.557 13431.684|8473.592 13431.484|8470.593 13431.484|8432.620 13431.384|8429.622 13431.373|8429.622 13407.622|8429.831 13405.509|8430.446 13403.474|8431.446 13401.606|8432.795 13399.961|8434.438 13398.615|8436.311 13397.614|8438.346 13396.992|8440.464 13396.780|8446.462 13396.780|8550.536 13396.736
145 630 REDSTONE DR NE,8552.934 13396.725|8552.941 13399.727|8552.955 13431.696|8550.557 13431.684|8473.592 13431.484|8470.593 13431.484|8432.620 13431.384|8429.622 13431.373|8429.622 13407.622|8429.831 13405.509|8430.446 13403.474|8431.446 13401.606|8432.795 13399.961|8434.438 13398.615|8436.311 13397.614|8438.346 13396.992|8440.464 13396.780|8446.462 13396.780|8550.536 13396.736
140 630 REDSTONE DR NE,8552.934 13396.725|8552.941 13399.727|8552.955 13431.696|8550.557 13431.684|8473.592 13431.484|8470.593 13431.484|8432.620 13431.384|8429.622 13431.373|8429.622 13407.622|8429.831 13405.509|8430.446 13403.474|8431.446 13401.606|8432.795 13399.961|8434.438 13398.615|8436.311 13397.614|8438.346 13396.992|8440.464 13396.780|8446.462 13396.780|8550.536 13396.736
135 630 REDSTONE DR NE,8552.934 13396.725|8552.941 13399.727|8552.955 13431.696|8550.557 13431.684|8473.592 13431.484|8470.593 13431.484|8432.620 13431.384|8429.622 13431.373|8429.622 13407.622|8429.831 13405.509|8430.446 13403.474|8431.446 13401.606|8432.795 13399.961|8434.438 13398.615|8436.311 13397.614|8438.346 13396.992|8440.464 13396.780|8446.462 13396.780|8550.536 13396.736
130 630 REDSTONE DR NE,8552.934 13396.725|8552.941 13399.727|8552.955 13431.696|8550.557 13431.684|8473.592 13431.484|8470.593 13431.484|8432.620 13431.384|8429.622 13431.373|8429.622 13407.622|8429.831 13405.509|8430.446 13403.474|8431.446 13401.606|8432.795 13399.961|8434.438 13398.615|8436.311 13397.614|8438.346 13396.992|8440.464 13396.780|8446.462 13396.780|8550.536 13396.736
125 630 REDSTONE DR NE,8552.934 13396.725|8552.941 13399.727|8552.955 13431.696|8550.557 13431.684|8473.592 13431.484|8470.593 13431.484|8432.620 13431.384|8429.622 13431.373|8429.622 13407.622|8429.831 13405.509|8430.446 13403.474|8431.446 13401.606|8432.795 13399.961|8434.438 13398.615|8436.311 13397.614|8438.346 13396.992|8440.464 13396.780|8446.462 13396.780|8550.536 13396.736
120 630 REDSTONE DR NE,8552.934 13396.725|8552.941 13399.727|8552.955 13431.696|8550.557 13431.684|8473.592 13431.484|8470.593 13431.484|8432.620 13431.384|8429.622 13431.373|8429.622 13407.622|8429.831 13405.509|8430.446 13403.474|8431.446 13401.606|8432.795 13399.961|8434.438 13398.615|8436.311 13397.614|8438.346 13396.992|8440.464 13396.780|8446.462 13396.780|8550.536 13396.736
115 630 REDSTONE DR NE,8552.934 13396.725|8552.941 13399.727|8552.955 13431.696|8550.557 13431.684|8473.592 13431.484|8470.593 13431.484|8432.620 13431.384|8429.622 13431.373|8429.622 13407.622|8429.831 13405.509|8430.446 13403.474|8431.446 13401.606|8432.795 13399.961|8434.438 13398.615|8436.311 13397.614|8438.346 13396.992|8440.464 13396.780|8446.462 13396.780|8550.536 13396.736
110 630 REDSTONE DR NE,8552.934 13396.725|8552.941 13399.727|8552.955 13431.696|8550.557 13431.684|8473.592 13431.484|8470.593 13431.484|8432.620 13431.384|8429.622 13431.373|8429.622 13407.622|8429.831 13405.509|8430.446 13403.474|8431.446 13401.606|8432.795 13399.961|8434.438 13398.615|8436.311 13397.614|8438.346 13396.992|8440.464 13396.780|8446.462 13396.780|8550.536 13396.736
105 630 REDSTONE DR NE,8552.934 13396.725|8552.941 13399.727|8552.955 13431.696|8550.557 13431.684|8473.592 13431.484|8470.593 13431.484|8432.620 13431.384|8429.622 13431.373|8429.622 13407.622|8429.831 13405.509|8430.446 13403.474|8431.446 13401.606|8432.795 13399.961|8434.438 13398.615|8436.311 13397.614|8438.346 13396.992|8440.464 13396.780|8446.462 13396.780|8550.536 13396.736
