ADDRESS,POINTS
412 345 ROCKY VISTA PA NW,-11668.573 10101.863|-11667.259 10105.355|-11667.294 10179.333|-11667.294 10180.879|-11667.287 10184.014|-11691.705 10186.205|-11724.294 10197.024|-11724.546 10197.102|-11759.422 10199.837|-11759.415 10186.827|-11759.415 10185.627|-11759.415 10183.992|-11759.373 10120.522|-11759.331 10107.167|-11723.113 10099.962|-11684.833 10088.587|-11678.702 10086.607|-11672.663 10084.361|-11666.735 10081.859|-11660.919 10079.080|-11655.235 10076.055|-11649.692 10072.786|-11644.302 10069.261|-11639.066 10065.514|-11634.012 10061.533|-11629.133 10057.330|-11624.456 10052.915|-11619.968 10048.290|-11615.697 10043.475|-11611.650 10038.482|-11607.819 10033.312|-11604.226 10027.974|-11596.746 10032.022|-11593.663 10033.790|-11592.587 10034.413|-11585.918 10038.249|-11586.260 10038.783|-11587.665 10040.973|-11588.183 10041.718|-11592.223 10047.534|-11596.942 10053.694|-11601.423 10059.031|-11606.127 10064.168|-11609.574 10067.682|-11611.950 10069.984|-11616.907 10074.498|-11622.038 10078.813|-11628.231 10083.572|-11634.642 10088.031|-11640.304 10091.611|-11646.113 10094.969|-11653.425 10098.772|-11655.543 10099.784|-11659.059 10100.418|-11662.603 10100.985|-11664.540 10101.319|-11667.951 10101.830
128V 345 ROCKY VISTA PA NW,-11668.573 10101.863|-11667.259 10105.355|-11667.294 10179.333|-11667.294 10180.879|-11667.287 10184.014|-11691.705 10186.205|-11724.294 10197.024|-11724.546 10197.102|-11759.422 10199.837|-11759.415 10186.827|-11759.415 10185.627|-11759.415 10183.992|-11759.373 10120.522|-11759.331 10107.167|-11723.113 10099.962|-11684.833 10088.587|-11678.702 10086.607|-11672.663 10084.361|-11666.735 10081.859|-11660.919 10079.080|-11655.235 10076.055|-11649.692 10072.786|-11644.302 10069.261|-11639.066 10065.514|-11634.012 10061.533|-11629.133 10057.330|-11624.456 10052.915|-11619.968 10048.290|-11615.697 10043.475|-11611.650 10038.482|-11607.819 10033.312|-11604.226 10027.974|-11596.746 10032.022|-11593.663 10033.790|-11592.587 10034.413|-11585.918 10038.249|-11586.260 10038.783|-11587.665 10040.973|-11588.183 10041.718|-11592.223 10047.534|-11596.942 10053.694|-11601.423 10059.031|-11606.127 10064.168|-11609.574 10067.682|-11611.950 10069.984|-11616.907 10074.498|-11622.038 10078.813|-11628.231 10083.572|-11634.642 10088.031|-11640.304 10091.611|-11646.113 10094.969|-11653.425 10098.772|-11655.543 10099.784|-11659.059 10100.418|-11662.603 10100.985|-11664.540 10101.319|-11667.951 10101.830
103 345 ROCKY VISTA PA NW,-11668.573 10101.863|-11667.259 10105.355|-11667.294 10179.333|-11667.294 10180.879|-11667.287 10184.014|-11691.705 10186.205|-11724.294 10197.024|-11724.546 10197.102|-11759.422 10199.837|-11759.415 10186.827|-11759.415 10185.627|-11759.415 10183.992|-11759.373 10120.522|-11759.331 10107.167|-11723.113 10099.962|-11684.833 10088.587|-11678.702 10086.607|-11672.663 10084.361|-11666.735 10081.859|-11660.919 10079.080|-11655.235 10076.055|-11649.692 10072.786|-11644.302 10069.261|-11639.066 10065.514|-11634.012 10061.533|-11629.133 10057.330|-11624.456 10052.915|-11619.968 10048.290|-11615.697 10043.475|-11611.650 10038.482|-11607.819 10033.312|-11604.226 10027.974|-11596.746 10032.022|-11593.663 10033.790|-11592.587 10034.413|-11585.918 10038.249|-11586.260 10038.783|-11587.665 10040.973|-11588.183 10041.718|-11592.223 10047.534|-11596.942 10053.694|-11601.423 10059.031|-11606.127 10064.168|-11609.574 10067.682|-11611.950 10069.984|-11616.907 10074.498|-11622.038 10078.813|-11628.231 10083.572|-11634.642 10088.031|-11640.304 10091.611|-11646.113 10094.969|-11653.425 10098.772|-11655.543 10099.784|-11659.059 10100.418|-11662.603 10100.985|-11664.540 10101.319|-11667.951 10101.830
104 345 ROCKY VISTA PA NW,-11668.573 10101.863|-11667.259 10105.355|-11667.294 10179.333|-11667.294 10180.879|-11667.287 10184.014|-11691.705 10186.205|-11724.294 10197.024|-11724.546 10197.102|-11759.422 10199.837|-11759.415 10186.827|-11759.415 10185.627|-11759.415 10183.992|-11759.373 10120.522|-11759.331 10107.167|-11723.113 10099.962|-11684.833 10088.587|-11678.702 10086.607|-11672.663 10084.361|-11666.735 10081.859|-11660.919 10079.080|-11655.235 10076.055|-11649.692 10072.786|-11644.302 10069.261|-11639.066 10065.514|-11634.012 10061.533|-11629.133 10057.330|-11624.456 10052.915|-11619.968 10048.290|-11615.697 10043.475|-11611.650 10038.482|-11607.819 10033.312|-11604.226 10027.974|-11596.746 10032.022|-11593.663 10033.790|-11592.587 10034.413|-11585.918 10038.249|-11586.260 10038.783|-11587.665 10040.973|-11588.183 10041.718|-11592.223 10047.534|-11596.942 10053.694|-11601.423 10059.031|-11606.127 10064.168|-11609.574 10067.682|-11611.950 10069.984|-11616.907 10074.498|-11622.038 10078.813|-11628.231 10083.572|-11634.642 10088.031|-11640.304 10091.611|-11646.113 10094.969|-11653.425 10098.772|-11655.543 10099.784|-11659.059 10100.418|-11662.603 10100.985|-11664.540 10101.319|-11667.951 10101.830
105 345 ROCKY VISTA PA NW,-11668.573 10101.863|-11667.259 10105.355|-11667.294 10179.333|-11667.294 10180.879|-11667.287 10184.014|-11691.705 10186.205|-11724.294 10197.024|-11724.546 10197.102|-11759.422 10199.837|-11759.415 10186.827|-11759.415 10185.627|-11759.415 10183.992|-11759.373 10120.522|-11759.331 10107.167|-11723.113 10099.962|-11684.833 10088.587|-11678.702 10086.607|-11672.663 10084.361|-11666.735 10081.859|-11660.919 10079.080|-11655.235 10076.055|-11649.692 10072.786|-11644.302 10069.261|-11639.066 10065.514|-11634.012 10061.533|-11629.133 10057.330|-11624.456 10052.915|-11619.968 10048.290|-11615.697 10043.475|-11611.650 10038.482|-11607.819 10033.312|-11604.226 10027.974|-11596.746 10032.022|-11593.663 10033.790|-11592.587 10034.413|-11585.918 10038.249|-11586.260 10038.783|-11587.665 10040.973|-11588.183 10041.718|-11592.223 10047.534|-11596.942 10053.694|-11601.423 10059.031|-11606.127 10064.168|-11609.574 10067.682|-11611.950 10069.984|-11616.907 10074.498|-11622.038 10078.813|-11628.231 10083.572|-11634.642 10088.031|-11640.304 10091.611|-11646.113 10094.969|-11653.425 10098.772|-11655.543 10099.784|-11659.059 10100.418|-11662.603 10100.985|-11664.540 10101.319|-11667.951 10101.830
106 345 ROCKY VISTA PA NW,-11668.573 10101.863|-11667.259 10105.355|-11667.294 10179.333|-11667.294 10180.879|-11667.287 10184.014|-11691.705 10186.205|-11724.294 10197.024|-11724.546 10197.102|-11759.422 10199.837|-11759.415 10186.827|-11759.415 10185.627|-11759.415 10183.992|-11759.373 10120.522|-11759.331 10107.167|-11723.113 10099.962|-11684.833 10088.587|-11678.702 10086.607|-11672.663 10084.361|-11666.735 10081.859|-11660.919 10079.080|-11655.235 10076.055|-11649.692 10072.786|-11644.302 10069.261|-11639.066 10065.514|-11634.012 10061.533|-11629.133 10057.330|-11624.456 10052.915|-11619.968 10048.290|-11615.697 10043.475|-11611.650 10038.482|-11607.819 10033.312|-11604.226 10027.974|-11596.746 10032.022|-11593.663 10033.790|-11592.587 10034.413|-11585.918 10038.249|-11586.260 10038.783|-11587.665 10040.973|-11588.183 10041.718|-11592.223 10047.534|-11596.942 10053.694|-11601.423 10059.031|-11606.127 10064.168|-11609.574 10067.682|-11611.950 10069.984|-11616.907 10074.498|-11622.038 10078.813|-11628.231 10083.572|-11634.642 10088.031|-11640.304 10091.611|-11646.113 10094.969|-11653.425 10098.772|-11655.543 10099.784|-11659.059 10100.418|-11662.603 10100.985|-11664.540 10101.319|-11667.951 10101.830
107 345 ROCKY VISTA PA NW,-11668.573 10101.863|-11667.259 10105.355|-11667.294 10179.333|-11667.294 10180.879|-11667.287 10184.014|-11691.705 10186.205|-11724.294 10197.024|-11724.546 10197.102|-11759.422 10199.837|-11759.415 10186.827|-11759.415 10185.627|-11759.415 10183.992|-11759.373 10120.522|-11759.331 10107.167|-11723.113 10099.962|-11684.833 10088.587|-11678.702 10086.607|-11672.663 10084.361|-11666.735 10081.859|-11660.919 10079.080|-11655.235 10076.055|-11649.692 10072.786|-11644.302 10069.261|-11639.066 10065.514|-11634.012 10061.533|-11629.133 10057.330|-11624.456 10052.915|-11619.968 10048.290|-11615.697 10043.475|-11611.650 10038.482|-11607.819 10033.312|-11604.226 10027.974|-11596.746 10032.022|-11593.663 10033.790|-11592.587 10034.413|-11585.918 10038.249|-11586.260 10038.783|-11587.665 10040.973|-11588.183 10041.718|-11592.223 10047.534|-11596.942 10053.694|-11601.423 10059.031|-11606.127 10064.168|-11609.574 10067.682|-11611.950 10069.984|-11616.907 10074.498|-11622.038 10078.813|-11628.231 10083.572|-11634.642 10088.031|-11640.304 10091.611|-11646.113 10094.969|-11653.425 10098.772|-11655.543 10099.784|-11659.059 10100.418|-11662.603 10100.985|-11664.540 10101.319|-11667.951 10101.830
108 345 ROCKY VISTA PA NW,-11668.573 10101.863|-11667.259 10105.355|-11667.294 10179.333|-11667.294 10180.879|-11667.287 10184.014|-11691.705 10186.205|-11724.294 10197.024|-11724.546 10197.102|-11759.422 10199.837|-11759.415 10186.827|-11759.415 10185.627|-11759.415 10183.992|-11759.373 10120.522|-11759.331 10107.167|-11723.113 10099.962|-11684.833 10088.587|-11678.702 10086.607|-11672.663 10084.361|-11666.735 10081.859|-11660.919 10079.080|-11655.235 10076.055|-11649.692 10072.786|-11644.302 10069.261|-11639.066 10065.514|-11634.012 10061.533|-11629.133 10057.330|-11624.456 10052.915|-11619.968 10048.290|-11615.697 10043.475|-11611.650 10038.482|-11607.819 10033.312|-11604.226 10027.974|-11596.746 10032.022|-11593.663 10033.790|-11592.587 10034.413|-11585.918 10038.249|-11586.260 10038.783|-11587.665 10040.973|-11588.183 10041.718|-11592.223 10047.534|-11596.942 10053.694|-11601.423 10059.031|-11606.127 10064.168|-11609.574 10067.682|-11611.950 10069.984|-11616.907 10074.498|-11622.038 10078.813|-11628.231 10083.572|-11634.642 10088.031|-11640.304 10091.611|-11646.113 10094.969|-11653.425 10098.772|-11655.543 10099.784|-11659.059 10100.418|-11662.603 10100.985|-11664.540 10101.319|-11667.951 10101.830
109 345 ROCKY VISTA PA NW,-11668.573 10101.863|-11667.259 10105.355|-11667.294 10179.333|-11667.294 10180.879|-11667.287 10184.014|-11691.705 10186.205|-11724.294 10197.024|-11724.546 10197.102|-11759.422 10199.837|-11759.415 10186.827|-11759.415 10185.627|-11759.415 10183.992|-11759.373 10120.522|-11759.331 10107.167|-11723.113 10099.962|-11684.833 10088.587|-11678.702 10086.607|-11672.663 10084.361|-11666.735 10081.859|-11660.919 10079.080|-11655.235 10076.055|-11649.692 10072.786|-11644.302 10069.261|-11639.066 10065.514|-11634.012 10061.533|-11629.133 10057.330|-11624.456 10052.915|-11619.968 10048.290|-11615.697 10043.475|-11611.650 10038.482|-11607.819 10033.312|-11604.226 10027.974|-11596.746 10032.022|-11593.663 10033.790|-11592.587 10034.413|-11585.918 10038.249|-11586.260 10038.783|-11587.665 10040.973|-11588.183 10041.718|-11592.223 10047.534|-11596.942 10053.694|-11601.423 10059.031|-11606.127 10064.168|-11609.574 10067.682|-11611.950 10069.984|-11616.907 10074.498|-11622.038 10078.813|-11628.231 10083.572|-11634.642 10088.031|-11640.304 10091.611|-11646.113 10094.969|-11653.425 10098.772|-11655.543 10099.784|-11659.059 10100.418|-11662.603 10100.985|-11664.540 10101.319|-11667.951 10101.830
110 345 ROCKY VISTA PA NW,-11668.573 10101.863|-11667.259 10105.355|-11667.294 10179.333|-11667.294 10180.879|-11667.287 10184.014|-11691.705 10186.205|-11724.294 10197.024|-11724.546 10197.102|-11759.422 10199.837|-11759.415 10186.827|-11759.415 10185.627|-11759.415 10183.992|-11759.373 10120.522|-11759.331 10107.167|-11723.113 10099.962|-11684.833 10088.587|-11678.702 10086.607|-11672.663 10084.361|-11666.735 10081.859|-11660.919 10079.080|-11655.235 10076.055|-11649.692 10072.786|-11644.302 10069.261|-11639.066 10065.514|-11634.012 10061.533|-11629.133 10057.330|-11624.456 10052.915|-11619.968 10048.290|-11615.697 10043.475|-11611.650 10038.482|-11607.819 10033.312|-11604.226 10027.974|-11596.746 10032.022|-11593.663 10033.790|-11592.587 10034.413|-11585.918 10038.249|-11586.260 10038.783|-11587.665 10040.973|-11588.183 10041.718|-11592.223 10047.534|-11596.942 10053.694|-11601.423 10059.031|-11606.127 10064.168|-11609.574 10067.682|-11611.950 10069.984|-11616.907 10074.498|-11622.038 10078.813|-11628.231 10083.572|-11634.642 10088.031|-11640.304 10091.611|-11646.113 10094.969|-11653.425 10098.772|-11655.543 10099.784|-11659.059 10100.418|-11662.603 10100.985|-11664.540 10101.319|-11667.951 10101.830
