ADDRESS,POINTS
8541 SCURFIELD DR NW,-9841.878 8056.588|-9863.702 8056.588|-9863.688 8015.613|-9838.382 8015.624|-9831.749 8015.624|-9831.742 8018.104|-9831.749 8056.600
8555 SCURFIELD DR NW,-9827.498 8056.600|-9831.749 8056.600|-9831.742 8018.104|-9788.317 8018.115|-9771.840 8018.115|-9771.840 8040.354|-9771.840 8056.611
