ADDRESS,POINTS
4651 128 AV NE,7921.728 12979.677|7935.479 12979.666|7935.479 12973.806|8022.503 12973.773|8041.671 12973.773|8041.678 12992.654|8041.685 13025.311|7962.511 13025.334|7960.665 13025.089|7958.939 13024.400|7957.429 13023.310|7956.247 13021.876|7955.723 13020.941|7955.339 13019.952|7955.101 13018.907|7955.017 13017.839|7951.571 13017.839|7932.592 13017.839|7928.034 13017.839|7924.238 13017.839|7923.175 13018.740|7922.036 13019.540|7922.036 13015.348|7922.029 13012.346|7922.029 13010.856|7922.015 12984.025
2110 151 SKYVIEW BA NE,8074.967 12163.695|8095.085 12163.684|8095.113 12209.196|8016.428 12209.252|8016.414 12189.126|8020.546 12189.126|8023.545 12189.126|8074.981 12189.092
2120 151 SKYVIEW BA NE,8074.967 12163.695|8095.085 12163.684|8095.113 12209.196|8016.428 12209.252|8016.414 12189.126|8020.546 12189.126|8023.545 12189.126|8074.981 12189.092
2140 151 SKYVIEW BA NE,8074.967 12163.695|8095.085 12163.684|8095.113 12209.196|8016.428 12209.252|8016.414 12189.126|8020.546 12189.126|8023.545 12189.126|8074.981 12189.092
2145 151 SKYVIEW BA NE,8074.967 12163.695|8095.085 12163.684|8095.113 12209.196|8016.428 12209.252|8016.414 12189.126|8020.546 12189.126|8023.545 12189.126|8074.981 12189.092
2150 151 SKYVIEW BA NE,8074.967 12163.695|8095.085 12163.684|8095.113 12209.196|8016.428 12209.252|8016.414 12189.126|8020.546 12189.126|8023.545 12189.126|8074.981 12189.092
2160 151 SKYVIEW BA NE,8074.967 12163.695|8095.085 12163.684|8095.113 12209.196|8016.428 12209.252|8016.414 12189.126|8020.546 12189.126|8023.545 12189.126|8074.981 12189.092
2170 151 SKYVIEW BA NE,8074.967 12163.695|8095.085 12163.684|8095.113 12209.196|8016.428 12209.252|8016.414 12189.126|8020.546 12189.126|8023.545 12189.126|8074.981 12189.092
2180 151 SKYVIEW BA NE,8074.967 12163.695|8095.085 12163.684|8095.113 12209.196|8016.428 12209.252|8016.414 12189.126|8020.546 12189.126|8023.545 12189.126|8074.981 12189.092
2185 151 SKYVIEW BA NE,8074.967 12163.695|8095.085 12163.684|8095.113 12209.196|8016.428 12209.252|8016.414 12189.126|8020.546 12189.126|8023.545 12189.126|8074.981 12189.092
2190 151 SKYVIEW BA NE,8074.967 12163.695|8095.085 12163.684|8095.113 12209.196|8016.428 12209.252|8016.414 12189.126|8020.546 12189.126|8023.545 12189.126|8074.981 12189.092
2130 151 SKYVIEW BA NE,8074.967 12163.695|8095.085 12163.684|8095.113 12209.196|8016.428 12209.252|8016.414 12189.126|8020.546 12189.126|8023.545 12189.126|8074.981 12189.092
