ADDRESS,POINTS
105 1803 60 ST SE,8608.955 -1278.604|8608.955 -1279.571|8692.373 -1279.493|8692.387 -1184.722|8692.380 -1161.004|8687.249 -1161.015|8686.354 -1159.670|8685.319 -1158.424|8684.159 -1157.301|8682.887 -1156.312|8681.509 -1155.466|8680.055 -1154.777|8678.531 -1154.243|8676.959 -1153.876|8650.891 -1149.295|8608.829 -1149.340|8608.829 -1153.209|8608.843 -1156.434|8608.857 -1161.071
113 1803 60 ST SE,8608.955 -1278.604|8608.955 -1279.571|8692.373 -1279.493|8692.387 -1184.722|8692.380 -1161.004|8687.249 -1161.015|8686.354 -1159.670|8685.319 -1158.424|8684.159 -1157.301|8682.887 -1156.312|8681.509 -1155.466|8680.055 -1154.777|8678.531 -1154.243|8676.959 -1153.876|8650.891 -1149.295|8608.829 -1149.340|8608.829 -1153.209|8608.843 -1156.434|8608.857 -1161.071
117 1803 60 ST SE,8608.955 -1278.604|8608.955 -1279.571|8692.373 -1279.493|8692.387 -1184.722|8692.380 -1161.004|8687.249 -1161.015|8686.354 -1159.670|8685.319 -1158.424|8684.159 -1157.301|8682.887 -1156.312|8681.509 -1155.466|8680.055 -1154.777|8678.531 -1154.243|8676.959 -1153.876|8650.891 -1149.295|8608.829 -1149.340|8608.829 -1153.209|8608.843 -1156.434|8608.857 -1161.071
121 1803 60 ST SE,8608.955 -1278.604|8608.955 -1279.571|8692.373 -1279.493|8692.387 -1184.722|8692.380 -1161.004|8687.249 -1161.015|8686.354 -1159.670|8685.319 -1158.424|8684.159 -1157.301|8682.887 -1156.312|8681.509 -1155.466|8680.055 -1154.777|8678.531 -1154.243|8676.959 -1153.876|8650.891 -1149.295|8608.829 -1149.340|8608.829 -1153.209|8608.843 -1156.434|8608.857 -1161.071
125 1803 60 ST SE,8608.955 -1278.604|8608.955 -1279.571|8692.373 -1279.493|8692.387 -1184.722|8692.380 -1161.004|8687.249 -1161.015|8686.354 -1159.670|8685.319 -1158.424|8684.159 -1157.301|8682.887 -1156.312|8681.509 -1155.466|8680.055 -1154.777|8678.531 -1154.243|8676.959 -1153.876|8650.891 -1149.295|8608.829 -1149.340|8608.829 -1153.209|8608.843 -1156.434|8608.857 -1161.071
129 1803 60 ST SE,8608.955 -1278.604|8608.955 -1279.571|8692.373 -1279.493|8692.387 -1184.722|8692.380 -1161.004|8687.249 -1161.015|8686.354 -1159.670|8685.319 -1158.424|8684.159 -1157.301|8682.887 -1156.312|8681.509 -1155.466|8680.055 -1154.777|8678.531 -1154.243|8676.959 -1153.876|8650.891 -1149.295|8608.829 -1149.340|8608.829 -1153.209|8608.843 -1156.434|8608.857 -1161.071
201 1803 60 ST SE,8608.955 -1278.604|8608.955 -1279.571|8692.373 -1279.493|8692.387 -1184.722|8692.380 -1161.004|8687.249 -1161.015|8686.354 -1159.670|8685.319 -1158.424|8684.159 -1157.301|8682.887 -1156.312|8681.509 -1155.466|8680.055 -1154.777|8678.531 -1154.243|8676.959 -1153.876|8650.891 -1149.295|8608.829 -1149.340|8608.829 -1153.209|8608.843 -1156.434|8608.857 -1161.071
205 1803 60 ST SE,8608.955 -1278.604|8608.955 -1279.571|8692.373 -1279.493|8692.387 -1184.722|8692.380 -1161.004|8687.249 -1161.015|8686.354 -1159.670|8685.319 -1158.424|8684.159 -1157.301|8682.887 -1156.312|8681.509 -1155.466|8680.055 -1154.777|8678.531 -1154.243|8676.959 -1153.876|8650.891 -1149.295|8608.829 -1149.340|8608.829 -1153.209|8608.843 -1156.434|8608.857 -1161.071
209 1803 60 ST SE,8608.955 -1278.604|8608.955 -1279.571|8692.373 -1279.493|8692.387 -1184.722|8692.380 -1161.004|8687.249 -1161.015|8686.354 -1159.670|8685.319 -1158.424|8684.159 -1157.301|8682.887 -1156.312|8681.509 -1155.466|8680.055 -1154.777|8678.531 -1154.243|8676.959 -1153.876|8650.891 -1149.295|8608.829 -1149.340|8608.829 -1153.209|8608.843 -1156.434|8608.857 -1161.071
213 1803 60 ST SE,8608.955 -1278.604|8608.955 -1279.571|8692.373 -1279.493|8692.387 -1184.722|8692.380 -1161.004|8687.249 -1161.015|8686.354 -1159.670|8685.319 -1158.424|8684.159 -1157.301|8682.887 -1156.312|8681.509 -1155.466|8680.055 -1154.777|8678.531 -1154.243|8676.959 -1153.876|8650.891 -1149.295|8608.829 -1149.340|8608.829 -1153.209|8608.843 -1156.434|8608.857 -1161.071
