ADDRESS,POINTS
111 1702 17 AV SW,-2009.041 -1090.873|-2016.332 -1084.580|-2023.917 -1078.642|-2028.034 -1075.662|-2032.236 -1072.782|-2036.500 -1070.024|-2040.834 -1067.367|-2045.238 -1064.820|-2049.705 -1062.396|-2054.235 -1060.083|-2058.820 -1057.893|-2062.057 -1056.425|-2063.902 -1055.625|-2062.211 -1084.902|-2077.436 -1086.926|-2077.436 -1088.750|-2077.436 -1089.583|-2077.436 -1090.573|-2077.429 -1117.071|-2077.429 -1122.364|-2073.137 -1122.364|-2062.190 -1122.364|-2024.224 -1122.353|-2009.034 -1122.342
107 1702 17 AV SW,-2009.041 -1090.873|-2016.332 -1084.580|-2023.917 -1078.642|-2028.034 -1075.662|-2032.236 -1072.782|-2036.500 -1070.024|-2040.834 -1067.367|-2045.238 -1064.820|-2049.705 -1062.396|-2054.235 -1060.083|-2058.820 -1057.893|-2062.057 -1056.425|-2063.902 -1055.625|-2062.211 -1084.902|-2077.436 -1086.926|-2077.436 -1088.750|-2077.436 -1089.583|-2077.436 -1090.573|-2077.429 -1117.071|-2077.429 -1122.364|-2073.137 -1122.364|-2062.190 -1122.364|-2024.224 -1122.353|-2009.034 -1122.342
105 1702 17 AV SW,-2009.041 -1090.873|-2016.332 -1084.580|-2023.917 -1078.642|-2028.034 -1075.662|-2032.236 -1072.782|-2036.500 -1070.024|-2040.834 -1067.367|-2045.238 -1064.820|-2049.705 -1062.396|-2054.235 -1060.083|-2058.820 -1057.893|-2062.057 -1056.425|-2063.902 -1055.625|-2062.211 -1084.902|-2077.436 -1086.926|-2077.436 -1088.750|-2077.436 -1089.583|-2077.436 -1090.573|-2077.429 -1117.071|-2077.429 -1122.364|-2073.137 -1122.364|-2062.190 -1122.364|-2024.224 -1122.353|-2009.034 -1122.342
103 1702 17 AV SW,-2009.041 -1090.873|-2016.332 -1084.580|-2023.917 -1078.642|-2028.034 -1075.662|-2032.236 -1072.782|-2036.500 -1070.024|-2040.834 -1067.367|-2045.238 -1064.820|-2049.705 -1062.396|-2054.235 -1060.083|-2058.820 -1057.893|-2062.057 -1056.425|-2063.902 -1055.625|-2062.211 -1084.902|-2077.436 -1086.926|-2077.436 -1088.750|-2077.436 -1089.583|-2077.436 -1090.573|-2077.429 -1117.071|-2077.429 -1122.364|-2073.137 -1122.364|-2062.190 -1122.364|-2024.224 -1122.353|-2009.034 -1122.342
102 1702 17 AV SW,-2009.041 -1090.873|-2016.332 -1084.580|-2023.917 -1078.642|-2028.034 -1075.662|-2032.236 -1072.782|-2036.500 -1070.024|-2040.834 -1067.367|-2045.238 -1064.820|-2049.705 -1062.396|-2054.235 -1060.083|-2058.820 -1057.893|-2062.057 -1056.425|-2063.902 -1055.625|-2062.211 -1084.902|-2077.436 -1086.926|-2077.436 -1088.750|-2077.436 -1089.583|-2077.436 -1090.573|-2077.429 -1117.071|-2077.429 -1122.364|-2073.137 -1122.364|-2062.190 -1122.364|-2024.224 -1122.353|-2009.034 -1122.342
101 1702 17 AV SW,-2009.041 -1090.873|-2016.332 -1084.580|-2023.917 -1078.642|-2028.034 -1075.662|-2032.236 -1072.782|-2036.500 -1070.024|-2040.834 -1067.367|-2045.238 -1064.820|-2049.705 -1062.396|-2054.235 -1060.083|-2058.820 -1057.893|-2062.057 -1056.425|-2063.902 -1055.625|-2062.211 -1084.902|-2077.436 -1086.926|-2077.436 -1088.750|-2077.436 -1089.583|-2077.436 -1090.573|-2077.429 -1117.071|-2077.429 -1122.364|-2073.137 -1122.364|-2062.190 -1122.364|-2024.224 -1122.353|-2009.034 -1122.342
104 1702 17 AV SW,-2009.041 -1090.873|-2016.332 -1084.580|-2023.917 -1078.642|-2028.034 -1075.662|-2032.236 -1072.782|-2036.500 -1070.024|-2040.834 -1067.367|-2045.238 -1064.820|-2049.705 -1062.396|-2054.235 -1060.083|-2058.820 -1057.893|-2062.057 -1056.425|-2063.902 -1055.625|-2062.211 -1084.902|-2077.436 -1086.926|-2077.436 -1088.750|-2077.436 -1089.583|-2077.436 -1090.573|-2077.429 -1117.071|-2077.429 -1122.364|-2073.137 -1122.364|-2062.190 -1122.364|-2024.224 -1122.353|-2009.034 -1122.342
106 1702 17 AV SW,-2009.041 -1090.873|-2016.332 -1084.580|-2023.917 -1078.642|-2028.034 -1075.662|-2032.236 -1072.782|-2036.500 -1070.024|-2040.834 -1067.367|-2045.238 -1064.820|-2049.705 -1062.396|-2054.235 -1060.083|-2058.820 -1057.893|-2062.057 -1056.425|-2063.902 -1055.625|-2062.211 -1084.902|-2077.436 -1086.926|-2077.436 -1088.750|-2077.436 -1089.583|-2077.436 -1090.573|-2077.429 -1117.071|-2077.429 -1122.364|-2073.137 -1122.364|-2062.190 -1122.364|-2024.224 -1122.353|-2009.034 -1122.342
108 1702 17 AV SW,-2009.041 -1090.873|-2016.332 -1084.580|-2023.917 -1078.642|-2028.034 -1075.662|-2032.236 -1072.782|-2036.500 -1070.024|-2040.834 -1067.367|-2045.238 -1064.820|-2049.705 -1062.396|-2054.235 -1060.083|-2058.820 -1057.893|-2062.057 -1056.425|-2063.902 -1055.625|-2062.211 -1084.902|-2077.436 -1086.926|-2077.436 -1088.750|-2077.436 -1089.583|-2077.436 -1090.573|-2077.429 -1117.071|-2077.429 -1122.364|-2073.137 -1122.364|-2062.190 -1122.364|-2024.224 -1122.353|-2009.034 -1122.342
110 1702 17 AV SW,-2009.041 -1090.873|-2016.332 -1084.580|-2023.917 -1078.642|-2028.034 -1075.662|-2032.236 -1072.782|-2036.500 -1070.024|-2040.834 -1067.367|-2045.238 -1064.820|-2049.705 -1062.396|-2054.235 -1060.083|-2058.820 -1057.893|-2062.057 -1056.425|-2063.902 -1055.625|-2062.211 -1084.902|-2077.436 -1086.926|-2077.436 -1088.750|-2077.436 -1089.583|-2077.436 -1090.573|-2077.429 -1117.071|-2077.429 -1122.364|-2073.137 -1122.364|-2062.190 -1122.364|-2024.224 -1122.353|-2009.034 -1122.342
