ADDRESS,POINTS
1833 13 AV NW,-2298.880 1797.070|-2314.085 1797.048|-2329.282 1797.037|-2329.324 1760.498|-2314.127 1760.509|-2298.929 1760.532
105 1726 14 AV NW,-2104.098 1958.547|-2110.228 1958.536|-2110.221 1957.091|-2115.457 1957.080|-2115.457 1956.290|-2115.450 1952.543|-2115.443 1944.693|-2113.647 1944.693|-2110.655 1944.704|-2109.557 1944.704|-2109.557 1943.859|-2104.077 1943.870|-2104.077 1944.704|-2104.084 1952.554
317V 1726 14 AV NW,-2104.098 1958.547|-2110.228 1958.536|-2110.221 1957.091|-2115.457 1957.080|-2115.457 1956.290|-2115.450 1952.543|-2115.443 1944.693|-2113.647 1944.693|-2110.655 1944.704|-2109.557 1944.704|-2109.557 1943.859|-2104.077 1943.870|-2104.077 1944.704|-2104.084 1952.554
316V 1726 14 AV NW,-2104.098 1958.547|-2110.228 1958.536|-2110.221 1957.091|-2115.457 1957.080|-2115.457 1956.290|-2115.450 1952.543|-2115.443 1944.693|-2113.647 1944.693|-2110.655 1944.704|-2109.557 1944.704|-2109.557 1943.859|-2104.077 1943.870|-2104.077 1944.704|-2104.084 1952.554
315V 1726 14 AV NW,-2104.098 1958.547|-2110.228 1958.536|-2110.221 1957.091|-2115.457 1957.080|-2115.457 1956.290|-2115.450 1952.543|-2115.443 1944.693|-2113.647 1944.693|-2110.655 1944.704|-2109.557 1944.704|-2109.557 1943.859|-2104.077 1943.870|-2104.077 1944.704|-2104.084 1952.554
314V 1726 14 AV NW,-2104.098 1958.547|-2110.228 1958.536|-2110.221 1957.091|-2115.457 1957.080|-2115.457 1956.290|-2115.450 1952.543|-2115.443 1944.693|-2113.647 1944.693|-2110.655 1944.704|-2109.557 1944.704|-2109.557 1943.859|-2104.077 1943.870|-2104.077 1944.704|-2104.084 1952.554
313V 1726 14 AV NW,-2104.098 1958.547|-2110.228 1958.536|-2110.221 1957.091|-2115.457 1957.080|-2115.457 1956.290|-2115.450 1952.543|-2115.443 1944.693|-2113.647 1944.693|-2110.655 1944.704|-2109.557 1944.704|-2109.557 1943.859|-2104.077 1943.870|-2104.077 1944.704|-2104.084 1952.554
1004 1726 14 AV NW,-2104.098 1958.547|-2110.228 1958.536|-2110.221 1957.091|-2115.457 1957.080|-2115.457 1956.290|-2115.450 1952.543|-2115.443 1944.693|-2113.647 1944.693|-2110.655 1944.704|-2109.557 1944.704|-2109.557 1943.859|-2104.077 1943.870|-2104.077 1944.704|-2104.084 1952.554
1003 1726 14 AV NW,-2104.098 1958.547|-2110.228 1958.536|-2110.221 1957.091|-2115.457 1957.080|-2115.457 1956.290|-2115.450 1952.543|-2115.443 1944.693|-2113.647 1944.693|-2110.655 1944.704|-2109.557 1944.704|-2109.557 1943.859|-2104.077 1943.870|-2104.077 1944.704|-2104.084 1952.554
1002 1726 14 AV NW,-2104.098 1958.547|-2110.228 1958.536|-2110.221 1957.091|-2115.457 1957.080|-2115.457 1956.290|-2115.450 1952.543|-2115.443 1944.693|-2113.647 1944.693|-2110.655 1944.704|-2109.557 1944.704|-2109.557 1943.859|-2104.077 1943.870|-2104.077 1944.704|-2104.084 1952.554
1001 1726 14 AV NW,-2104.098 1958.547|-2110.228 1958.536|-2110.221 1957.091|-2115.457 1957.080|-2115.457 1956.290|-2115.450 1952.543|-2115.443 1944.693|-2113.647 1944.693|-2110.655 1944.704|-2109.557 1944.704|-2109.557 1943.859|-2104.077 1943.870|-2104.077 1944.704|-2104.084 1952.554
