ADDRESS,POINTS
1311 4 ST SW,-82.382 -859.677|-89.973 -859.343|-95.195 -859.110|-95.454 -865.203|-97.824 -865.092|-99.599 -904.822|-23.697 -908.247|-19.174 -903.999|-19.174 -868.561|-18.873 -862.479|-29.261 -862.023|-36.846 -861.689|-44.437 -861.345|-52.029 -861.011|-59.614 -860.678|-67.205 -860.344|-74.790 -860.010
1 1508 8 ST SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
55V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
56V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
57V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
58V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
59V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
60V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
61V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
62V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
63V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
64V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
65V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
66V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
67V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
68V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
69V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
70V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
71V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
72V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
73V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
74V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
75V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
76V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
77V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
78V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
79V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
80V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
81V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
82V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
83V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
84V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
85V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
86V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
87V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
88V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
89V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
90V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
91V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
92V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
93V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
94V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
95V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
96V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
97V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
98V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
99V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
100V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
101V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
102V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
103V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
104V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
105V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
106V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
107V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
108V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
109V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
110V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
111V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
112V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
113V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
114V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
115V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
116V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
117V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
118V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
119V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
120V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
121V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
122V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
123V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
124V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
125V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
126V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
127V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
128V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
129V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
130V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
131V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
132V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
133V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
134V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
135V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
136V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
137V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
138V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
139V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
140V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
141V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
142V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
143V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
144V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
145V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
146V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
147V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
148V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
149V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
150V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
151V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
152V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
153V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
154V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
155V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
156V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
157V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
158V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
159V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
160V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
161V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
162V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
163V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
164V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
165V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
166V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
167V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
168V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
169V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
170V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
171V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
172V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
173V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
174V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
175V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
176V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
177V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
178V 881 15 AV SW,-636.049 -1006.265|-705.450 -1003.163|-710.141 -1007.444|-711.693 -1042.548|-637.803 -1045.862
