ADDRESS,POINTS
5540 2 ST SW,243.976 -4863.061|206.003 -4863.017|205.996 -4870.634|205.982 -4878.250|243.962 -4878.295|243.969 -4870.678
5336 2 ST SW,244.213 -4675.353|206.297 -4675.320|206.283 -4682.948|206.276 -4690.576|244.185 -4690.609|244.199 -4682.981
