ADDRESS,POINTS
5330 72 AV SE,8015.030 -6445.309|8015.107 -6320.949|7984.748 -6339.307|7976.757 -6343.911|7968.579 -6348.181|7960.232 -6352.106|7951.725 -6355.675|7943.077 -6358.878|7934.304 -6361.724|7925.419 -6364.193|7916.437 -6366.283|7916.451 -6445.254
5329 72 AV SE,8025.998 -6567.969|8016.960 -6567.969|8011.864 -6567.957|7939.226 -6567.913|7931.487 -6567.913|7916.486 -6567.902|7916.535 -6781.107|7916.514 -6791.070|7924.091 -6791.059|7939.261 -6791.048|8025.866 -6790.959|8025.873 -6780.951
