ADDRESS,POINTS
2736 19 AV SE,5406.030 -1317.533|5469.819 -1317.444|5469.868 -1213.855|5406.086 -1213.955
2730 19 AV SE,5319.446 -1200.234|5319.439 -1216.112|5319.258 -1223.229|5318.684 -1230.323|5317.741 -1237.384|5316.413 -1244.378|5314.714 -1251.283|5312.645 -1258.099|5310.212 -1264.782|5307.423 -1271.332|5298.028 -1291.836|5295.497 -1297.874|5293.358 -1304.067|5291.617 -1310.372|5290.289 -1316.788|5293.344 -1317.466|5296.462 -1317.689|5406.030 -1317.533|5406.086 -1213.955|5469.868 -1213.855|5469.868 -1204.737|5469.875 -1201.701|5469.875 -1195.597|5475.991 -1195.597|5476.012 -1175.504|5476.012 -1168.810|5463.821 -1169.610|5463.814 -1170.100|5463.814 -1173.402|5461.717 -1172.668|5459.536 -1172.268|5457.320 -1172.190|5455.118 -1172.435|5404.786 -1181.486|5400.019 -1182.587|5395.384 -1184.155|5390.931 -1186.167|5386.688 -1188.603|5382.633 -1184.355|5377.803 -1185.333|5375.070 -1185.967|5372.378 -1186.757|5369.743 -1187.702|5367.163 -1188.803|5364.913 -1189.770|5362.613 -1190.604|5360.264 -1191.305|5357.880 -1191.872|5321.970 -1199.333|5320.677 -1199.689
2730 19 AV SE,5319.446 -1200.234|5319.439 -1216.112|5319.258 -1223.229|5318.684 -1230.323|5317.741 -1237.384|5316.413 -1244.378|5314.714 -1251.283|5312.645 -1258.099|5310.212 -1264.782|5307.423 -1271.332|5298.028 -1291.836|5295.497 -1297.874|5293.358 -1304.067|5291.617 -1310.372|5290.289 -1316.788|5293.344 -1317.466|5296.462 -1317.689|5406.030 -1317.533|5406.086 -1213.955|5469.868 -1213.855|5469.868 -1204.737|5469.875 -1201.701|5469.875 -1195.597|5475.991 -1195.597|5476.012 -1175.504|5476.012 -1168.810|5463.821 -1169.610|5463.814 -1170.100|5463.814 -1173.402|5461.717 -1172.668|5459.536 -1172.268|5457.320 -1172.190|5455.118 -1172.435|5404.786 -1181.486|5400.019 -1182.587|5395.384 -1184.155|5390.931 -1186.167|5386.688 -1188.603|5382.633 -1184.355|5377.803 -1185.333|5375.070 -1185.967|5372.378 -1186.757|5369.743 -1187.702|5367.163 -1188.803|5364.913 -1189.770|5362.613 -1190.604|5360.264 -1191.305|5357.880 -1191.872|5321.970 -1199.333|5320.677 -1199.689
