ADDRESS,POINTS
114 8531 8A AV SW,-9623.831 1405.620|-9581.098 1405.764|-9560.686 1405.786|-9560.651 1463.830|-9588.808 1500.080|-9628.053 1500.013|-9632.010 1500.002|-9632.786 1498.356|-9633.778 1496.833|-9634.967 1495.454|-9636.337 1494.253|-9637.847 1493.241|-9639.489 1492.452|-9641.216 1491.885|-9643.006 1491.562|-9632.974 1491.573|-9631.311 1491.418|-9629.703 1490.962|-9628.207 1490.206|-9626.879 1489.183|-9625.851 1488.071|-9625.033 1486.803|-9624.579 1485.802|-9624.250 1484.757|-9624.054 1483.689|-9623.985 1482.600|-9623.943 1461.806|-9623.922 1451.788|-9623.859 1419.841|-9623.852 1415.505|-9623.838 1409.133|-9623.838 1407.799
112 8531 8A AV SW,-9623.831 1405.620|-9581.098 1405.764|-9560.686 1405.786|-9560.651 1463.830|-9588.808 1500.080|-9628.053 1500.013|-9632.010 1500.002|-9632.786 1498.356|-9633.778 1496.833|-9634.967 1495.454|-9636.337 1494.253|-9637.847 1493.241|-9639.489 1492.452|-9641.216 1491.885|-9643.006 1491.562|-9632.974 1491.573|-9631.311 1491.418|-9629.703 1490.962|-9628.207 1490.206|-9626.879 1489.183|-9625.851 1488.071|-9625.033 1486.803|-9624.579 1485.802|-9624.250 1484.757|-9624.054 1483.689|-9623.985 1482.600|-9623.943 1461.806|-9623.922 1451.788|-9623.859 1419.841|-9623.852 1415.505|-9623.838 1409.133|-9623.838 1407.799
110 8531 8A AV SW,-9623.831 1405.620|-9581.098 1405.764|-9560.686 1405.786|-9560.651 1463.830|-9588.808 1500.080|-9628.053 1500.013|-9632.010 1500.002|-9632.786 1498.356|-9633.778 1496.833|-9634.967 1495.454|-9636.337 1494.253|-9637.847 1493.241|-9639.489 1492.452|-9641.216 1491.885|-9643.006 1491.562|-9632.974 1491.573|-9631.311 1491.418|-9629.703 1490.962|-9628.207 1490.206|-9626.879 1489.183|-9625.851 1488.071|-9625.033 1486.803|-9624.579 1485.802|-9624.250 1484.757|-9624.054 1483.689|-9623.985 1482.600|-9623.943 1461.806|-9623.922 1451.788|-9623.859 1419.841|-9623.852 1415.505|-9623.838 1409.133|-9623.838 1407.799
108 8531 8A AV SW,-9623.831 1405.620|-9581.098 1405.764|-9560.686 1405.786|-9560.651 1463.830|-9588.808 1500.080|-9628.053 1500.013|-9632.010 1500.002|-9632.786 1498.356|-9633.778 1496.833|-9634.967 1495.454|-9636.337 1494.253|-9637.847 1493.241|-9639.489 1492.452|-9641.216 1491.885|-9643.006 1491.562|-9632.974 1491.573|-9631.311 1491.418|-9629.703 1490.962|-9628.207 1490.206|-9626.879 1489.183|-9625.851 1488.071|-9625.033 1486.803|-9624.579 1485.802|-9624.250 1484.757|-9624.054 1483.689|-9623.985 1482.600|-9623.943 1461.806|-9623.922 1451.788|-9623.859 1419.841|-9623.852 1415.505|-9623.838 1409.133|-9623.838 1407.799
106 8531 8A AV SW,-9623.831 1405.620|-9581.098 1405.764|-9560.686 1405.786|-9560.651 1463.830|-9588.808 1500.080|-9628.053 1500.013|-9632.010 1500.002|-9632.786 1498.356|-9633.778 1496.833|-9634.967 1495.454|-9636.337 1494.253|-9637.847 1493.241|-9639.489 1492.452|-9641.216 1491.885|-9643.006 1491.562|-9632.974 1491.573|-9631.311 1491.418|-9629.703 1490.962|-9628.207 1490.206|-9626.879 1489.183|-9625.851 1488.071|-9625.033 1486.803|-9624.579 1485.802|-9624.250 1484.757|-9624.054 1483.689|-9623.985 1482.600|-9623.943 1461.806|-9623.922 1451.788|-9623.859 1419.841|-9623.852 1415.505|-9623.838 1409.133|-9623.838 1407.799
104 8531 8A AV SW,-9623.831 1405.620|-9581.098 1405.764|-9560.686 1405.786|-9560.651 1463.830|-9588.808 1500.080|-9628.053 1500.013|-9632.010 1500.002|-9632.786 1498.356|-9633.778 1496.833|-9634.967 1495.454|-9636.337 1494.253|-9637.847 1493.241|-9639.489 1492.452|-9641.216 1491.885|-9643.006 1491.562|-9632.974 1491.573|-9631.311 1491.418|-9629.703 1490.962|-9628.207 1490.206|-9626.879 1489.183|-9625.851 1488.071|-9625.033 1486.803|-9624.579 1485.802|-9624.250 1484.757|-9624.054 1483.689|-9623.985 1482.600|-9623.943 1461.806|-9623.922 1451.788|-9623.859 1419.841|-9623.852 1415.505|-9623.838 1409.133|-9623.838 1407.799
102 8531 8A AV SW,-9623.831 1405.620|-9581.098 1405.764|-9560.686 1405.786|-9560.651 1463.830|-9588.808 1500.080|-9628.053 1500.013|-9632.010 1500.002|-9632.786 1498.356|-9633.778 1496.833|-9634.967 1495.454|-9636.337 1494.253|-9637.847 1493.241|-9639.489 1492.452|-9641.216 1491.885|-9643.006 1491.562|-9632.974 1491.573|-9631.311 1491.418|-9629.703 1490.962|-9628.207 1490.206|-9626.879 1489.183|-9625.851 1488.071|-9625.033 1486.803|-9624.579 1485.802|-9624.250 1484.757|-9624.054 1483.689|-9623.985 1482.600|-9623.943 1461.806|-9623.922 1451.788|-9623.859 1419.841|-9623.852 1415.505|-9623.838 1409.133|-9623.838 1407.799
101 8531 8A AV SW,-9623.831 1405.620|-9581.098 1405.764|-9560.686 1405.786|-9560.651 1463.830|-9588.808 1500.080|-9628.053 1500.013|-9632.010 1500.002|-9632.786 1498.356|-9633.778 1496.833|-9634.967 1495.454|-9636.337 1494.253|-9637.847 1493.241|-9639.489 1492.452|-9641.216 1491.885|-9643.006 1491.562|-9632.974 1491.573|-9631.311 1491.418|-9629.703 1490.962|-9628.207 1490.206|-9626.879 1489.183|-9625.851 1488.071|-9625.033 1486.803|-9624.579 1485.802|-9624.250 1484.757|-9624.054 1483.689|-9623.985 1482.600|-9623.943 1461.806|-9623.922 1451.788|-9623.859 1419.841|-9623.852 1415.505|-9623.838 1409.133|-9623.838 1407.799
103 8531 8A AV SW,-9623.831 1405.620|-9581.098 1405.764|-9560.686 1405.786|-9560.651 1463.830|-9588.808 1500.080|-9628.053 1500.013|-9632.010 1500.002|-9632.786 1498.356|-9633.778 1496.833|-9634.967 1495.454|-9636.337 1494.253|-9637.847 1493.241|-9639.489 1492.452|-9641.216 1491.885|-9643.006 1491.562|-9632.974 1491.573|-9631.311 1491.418|-9629.703 1490.962|-9628.207 1490.206|-9626.879 1489.183|-9625.851 1488.071|-9625.033 1486.803|-9624.579 1485.802|-9624.250 1484.757|-9624.054 1483.689|-9623.985 1482.600|-9623.943 1461.806|-9623.922 1451.788|-9623.859 1419.841|-9623.852 1415.505|-9623.838 1409.133|-9623.838 1407.799
105 8531 8A AV SW,-9623.831 1405.620|-9581.098 1405.764|-9560.686 1405.786|-9560.651 1463.830|-9588.808 1500.080|-9628.053 1500.013|-9632.010 1500.002|-9632.786 1498.356|-9633.778 1496.833|-9634.967 1495.454|-9636.337 1494.253|-9637.847 1493.241|-9639.489 1492.452|-9641.216 1491.885|-9643.006 1491.562|-9632.974 1491.573|-9631.311 1491.418|-9629.703 1490.962|-9628.207 1490.206|-9626.879 1489.183|-9625.851 1488.071|-9625.033 1486.803|-9624.579 1485.802|-9624.250 1484.757|-9624.054 1483.689|-9623.985 1482.600|-9623.943 1461.806|-9623.922 1451.788|-9623.859 1419.841|-9623.852 1415.505|-9623.838 1409.133|-9623.838 1407.799
