ADDRESS,POINTS
7370 SIERRA MORENA BV SW,-7329.878 -3535.983|-7375.714 -3535.927|-7395.441 -3569.753|-7391.841 -3580.706|-7390.604 -3584.475|-7365.187 -3584.453|-7329.843 -3584.431|-7329.864 -3556.087
7337 SIERRA MORENA BV SW,-7266.125 -3684.428|-7264.538 -3684.350|-7262.958 -3684.139|-7261.399 -3683.783|-7259.882 -3683.294|-7258.421 -3682.671|-7257.016 -3681.926|-7255.681 -3681.048|-7254.430 -3680.058|-7252.591 -3678.702|-7250.571 -3677.634|-7248.411 -3676.889|-7246.160 -3676.489|-7244.671 -3676.411|-7244.692 -3637.860|-7244.734 -3563.059|-7256.827 -3563.671|-7268.942 -3563.893|-7285.076 -3563.937|-7286.537 -3564.015|-7287.984 -3564.238|-7289.403 -3564.594|-7290.787 -3565.094|-7292.108 -3565.728|-7293.366 -3566.484|-7294.541 -3567.362|-7295.624 -3568.352|-7296.603 -3569.442|-7297.477 -3570.620|-7298.225 -3571.877|-7298.854 -3573.200|-7299.343 -3574.590|-7299.700 -3576.013|-7299.910 -3577.459|-7299.986 -3578.927|-7299.938 -3637.882|-7299.910 -3676.956|-7299.770 -3678.413|-7299.343 -3679.825|-7298.651 -3681.115|-7297.722 -3682.249|-7296.589 -3683.183|-7295.296 -3683.872|-7293.898 -3684.306|-7292.437 -3684.451
100 2107 SIROCCO DR SW,-6926.122 -1773.443|-6926.143 -1735.370|-6930.631 -1730.878|-6950.435 -1730.889|-6957.845 -1731.056|-6965.240 -1731.556|-6972.608 -1732.379|-6979.934 -1733.547|-6987.198 -1735.026|-6994.384 -1736.838|-7001.493 -1738.962|-7008.491 -1741.397|-6994.139 -1780.015|-6976.754 -1777.224|-6959.998 -1774.533
200 2107 SIROCCO DR SW,-6926.122 -1773.443|-6926.143 -1735.370|-6930.631 -1730.878|-6950.435 -1730.889|-6957.845 -1731.056|-6965.240 -1731.556|-6972.608 -1732.379|-6979.934 -1733.547|-6987.198 -1735.026|-6994.384 -1736.838|-7001.493 -1738.962|-7008.491 -1741.397|-6994.139 -1780.015|-6976.754 -1777.224|-6959.998 -1774.533
200V 2107 SIROCCO DR SW,-6926.122 -1773.443|-6926.143 -1735.370|-6930.631 -1730.878|-6950.435 -1730.889|-6957.845 -1731.056|-6965.240 -1731.556|-6972.608 -1732.379|-6979.934 -1733.547|-6987.198 -1735.026|-6994.384 -1736.838|-7001.493 -1738.962|-7008.491 -1741.397|-6994.139 -1780.015|-6976.754 -1777.224|-6959.998 -1774.533
100V 2107 SIROCCO DR SW,-6926.122 -1773.443|-6926.143 -1735.370|-6930.631 -1730.878|-6950.435 -1730.889|-6957.845 -1731.056|-6965.240 -1731.556|-6972.608 -1732.379|-6979.934 -1733.547|-6987.198 -1735.026|-6994.384 -1736.838|-7001.493 -1738.962|-7008.491 -1741.397|-6994.139 -1780.015|-6976.754 -1777.224|-6959.998 -1774.533
100 2115 SIROCCO DR SW,-6926.122 -1773.443|-6926.143 -1735.370|-6930.631 -1730.878|-6950.435 -1730.889|-6957.845 -1731.056|-6965.240 -1731.556|-6972.608 -1732.379|-6979.934 -1733.547|-6987.198 -1735.026|-6994.384 -1736.838|-7001.493 -1738.962|-7008.491 -1741.397|-6994.139 -1780.015|-6976.754 -1777.224|-6959.998 -1774.533
200 2115 SIROCCO DR SW,-6926.122 -1773.443|-6926.143 -1735.370|-6930.631 -1730.878|-6950.435 -1730.889|-6957.845 -1731.056|-6965.240 -1731.556|-6972.608 -1732.379|-6979.934 -1733.547|-6987.198 -1735.026|-6994.384 -1736.838|-7001.493 -1738.962|-7008.491 -1741.397|-6994.139 -1780.015|-6976.754 -1777.224|-6959.998 -1774.533
