ADDRESS,POINTS
4135 UNIVERSITY AV NW,-5272.420 3305.151|-5264.989 3292.531|-5262.255 3294.143|-5259.578 3289.595|-5255.810 3291.808|-5255.475 3291.241|-5246.219 3296.701|-5256.663 3314.447
202 4138 UNIVERSITY AV NW,-5294.579 3359.036|-5268.819 3374.259|-5272.944 3381.264|-5273.377 3381.009|-5273.909 3381.898|-5274.181 3382.632|-5274.153 3383.421|-5273.825 3384.144|-5273.244 3384.667|-5321.660 3356.056|-5300.997 3320.874|-5290.133 3327.279|-5297.844 3340.378|-5294.586 3342.302|-5295.915 3344.559|-5289.518 3348.328|-5294.691 3357.124|-5293.775 3357.669
204 4138 UNIVERSITY AV NW,-5294.579 3359.036|-5268.819 3374.259|-5272.944 3381.264|-5273.377 3381.009|-5273.909 3381.898|-5274.181 3382.632|-5274.153 3383.421|-5273.825 3384.144|-5273.244 3384.667|-5321.660 3356.056|-5300.997 3320.874|-5290.133 3327.279|-5297.844 3340.378|-5294.586 3342.302|-5295.915 3344.559|-5289.518 3348.328|-5294.691 3357.124|-5293.775 3357.669
206 4138 UNIVERSITY AV NW,-5294.579 3359.036|-5268.819 3374.259|-5272.944 3381.264|-5273.377 3381.009|-5273.909 3381.898|-5274.181 3382.632|-5274.153 3383.421|-5273.825 3384.144|-5273.244 3384.667|-5321.660 3356.056|-5300.997 3320.874|-5290.133 3327.279|-5297.844 3340.378|-5294.586 3342.302|-5295.915 3344.559|-5289.518 3348.328|-5294.691 3357.124|-5293.775 3357.669
210 4138 UNIVERSITY AV NW,-5294.579 3359.036|-5268.819 3374.259|-5272.944 3381.264|-5273.377 3381.009|-5273.909 3381.898|-5274.181 3382.632|-5274.153 3383.421|-5273.825 3384.144|-5273.244 3384.667|-5321.660 3356.056|-5300.997 3320.874|-5290.133 3327.279|-5297.844 3340.378|-5294.586 3342.302|-5295.915 3344.559|-5289.518 3348.328|-5294.691 3357.124|-5293.775 3357.669
212 4138 UNIVERSITY AV NW,-5294.579 3359.036|-5268.819 3374.259|-5272.944 3381.264|-5273.377 3381.009|-5273.909 3381.898|-5274.181 3382.632|-5274.153 3383.421|-5273.825 3384.144|-5273.244 3384.667|-5321.660 3356.056|-5300.997 3320.874|-5290.133 3327.279|-5297.844 3340.378|-5294.586 3342.302|-5295.915 3344.559|-5289.518 3348.328|-5294.691 3357.124|-5293.775 3357.669
214 4138 UNIVERSITY AV NW,-5294.579 3359.036|-5268.819 3374.259|-5272.944 3381.264|-5273.377 3381.009|-5273.909 3381.898|-5274.181 3382.632|-5274.153 3383.421|-5273.825 3384.144|-5273.244 3384.667|-5321.660 3356.056|-5300.997 3320.874|-5290.133 3327.279|-5297.844 3340.378|-5294.586 3342.302|-5295.915 3344.559|-5289.518 3348.328|-5294.691 3357.124|-5293.775 3357.669
216 4138 UNIVERSITY AV NW,-5294.579 3359.036|-5268.819 3374.259|-5272.944 3381.264|-5273.377 3381.009|-5273.909 3381.898|-5274.181 3382.632|-5274.153 3383.421|-5273.825 3384.144|-5273.244 3384.667|-5321.660 3356.056|-5300.997 3320.874|-5290.133 3327.279|-5297.844 3340.378|-5294.586 3342.302|-5295.915 3344.559|-5289.518 3348.328|-5294.691 3357.124|-5293.775 3357.669
218 4138 UNIVERSITY AV NW,-5294.579 3359.036|-5268.819 3374.259|-5272.944 3381.264|-5273.377 3381.009|-5273.909 3381.898|-5274.181 3382.632|-5274.153 3383.421|-5273.825 3384.144|-5273.244 3384.667|-5321.660 3356.056|-5300.997 3320.874|-5290.133 3327.279|-5297.844 3340.378|-5294.586 3342.302|-5295.915 3344.559|-5289.518 3348.328|-5294.691 3357.124|-5293.775 3357.669
220 4138 UNIVERSITY AV NW,-5294.579 3359.036|-5268.819 3374.259|-5272.944 3381.264|-5273.377 3381.009|-5273.909 3381.898|-5274.181 3382.632|-5274.153 3383.421|-5273.825 3384.144|-5273.244 3384.667|-5321.660 3356.056|-5300.997 3320.874|-5290.133 3327.279|-5297.844 3340.378|-5294.586 3342.302|-5295.915 3344.559|-5289.518 3348.328|-5294.691 3357.124|-5293.775 3357.669
229 4138 UNIVERSITY AV NW,-5294.579 3359.036|-5268.819 3374.259|-5272.944 3381.264|-5273.377 3381.009|-5273.909 3381.898|-5274.181 3382.632|-5274.153 3383.421|-5273.825 3384.144|-5273.244 3384.667|-5321.660 3356.056|-5300.997 3320.874|-5290.133 3327.279|-5297.844 3340.378|-5294.586 3342.302|-5295.915 3344.559|-5289.518 3348.328|-5294.691 3357.124|-5293.775 3357.669
227 4138 UNIVERSITY AV NW,-5294.579 3359.036|-5268.819 3374.259|-5272.944 3381.264|-5273.377 3381.009|-5273.909 3381.898|-5274.181 3382.632|-5274.153 3383.421|-5273.825 3384.144|-5273.244 3384.667|-5321.660 3356.056|-5300.997 3320.874|-5290.133 3327.279|-5297.844 3340.378|-5294.586 3342.302|-5295.915 3344.559|-5289.518 3348.328|-5294.691 3357.124|-5293.775 3357.669
225 4138 UNIVERSITY AV NW,-5294.579 3359.036|-5268.819 3374.259|-5272.944 3381.264|-5273.377 3381.009|-5273.909 3381.898|-5274.181 3382.632|-5274.153 3383.421|-5273.825 3384.144|-5273.244 3384.667|-5321.660 3356.056|-5300.997 3320.874|-5290.133 3327.279|-5297.844 3340.378|-5294.586 3342.302|-5295.915 3344.559|-5289.518 3348.328|-5294.691 3357.124|-5293.775 3357.669
223 4138 UNIVERSITY AV NW,-5294.579 3359.036|-5268.819 3374.259|-5272.944 3381.264|-5273.377 3381.009|-5273.909 3381.898|-5274.181 3382.632|-5274.153 3383.421|-5273.825 3384.144|-5273.244 3384.667|-5321.660 3356.056|-5300.997 3320.874|-5290.133 3327.279|-5297.844 3340.378|-5294.586 3342.302|-5295.915 3344.559|-5289.518 3348.328|-5294.691 3357.124|-5293.775 3357.669
221 4138 UNIVERSITY AV NW,-5294.579 3359.036|-5268.819 3374.259|-5272.944 3381.264|-5273.377 3381.009|-5273.909 3381.898|-5274.181 3382.632|-5274.153 3383.421|-5273.825 3384.144|-5273.244 3384.667|-5321.660 3356.056|-5300.997 3320.874|-5290.133 3327.279|-5297.844 3340.378|-5294.586 3342.302|-5295.915 3344.559|-5289.518 3348.328|-5294.691 3357.124|-5293.775 3357.669
219 4138 UNIVERSITY AV NW,-5294.579 3359.036|-5268.819 3374.259|-5272.944 3381.264|-5273.377 3381.009|-5273.909 3381.898|-5274.181 3382.632|-5274.153 3383.421|-5273.825 3384.144|-5273.244 3384.667|-5321.660 3356.056|-5300.997 3320.874|-5290.133 3327.279|-5297.844 3340.378|-5294.586 3342.302|-5295.915 3344.559|-5289.518 3348.328|-5294.691 3357.124|-5293.775 3357.669
