ADDRESS,POINTS
4111 CENTRE ST NW,614.611 4586.084|575.108 4586.072|575.101 4570.861|614.597 4570.861
4107 CENTRE ST NW,614.597 4570.861|575.101 4570.861|575.087 4555.638|614.590 4555.649
