ADDRESS,POINTS
3 3726 CENTRE ST NE,672.918 4218.295|638.567 4218.362|638.595 4210.701|638.595 4203.084|638.595 4195.467|638.560 4187.895|672.911 4187.828
2 3726 CENTRE ST NE,672.918 4218.295|638.567 4218.362|638.595 4210.701|638.595 4203.084|638.595 4195.467|638.560 4187.895|672.911 4187.828
1 3726 CENTRE ST NE,672.918 4218.295|638.567 4218.362|638.595 4210.701|638.595 4203.084|638.595 4195.467|638.560 4187.895|672.911 4187.828
14 3726 CENTRE ST NE,672.918 4218.295|638.567 4218.362|638.595 4210.701|638.595 4203.084|638.595 4195.467|638.560 4187.895|672.911 4187.828
13 3726 CENTRE ST NE,672.918 4218.295|638.567 4218.362|638.595 4210.701|638.595 4203.084|638.595 4195.467|638.560 4187.895|672.911 4187.828
12 3726 CENTRE ST NE,672.918 4218.295|638.567 4218.362|638.595 4210.701|638.595 4203.084|638.595 4195.467|638.560 4187.895|672.911 4187.828
11 3726 CENTRE ST NE,672.918 4218.295|638.567 4218.362|638.595 4210.701|638.595 4203.084|638.595 4195.467|638.560 4187.895|672.911 4187.828
10 3726 CENTRE ST NE,672.918 4218.295|638.567 4218.362|638.595 4210.701|638.595 4203.084|638.595 4195.467|638.560 4187.895|672.911 4187.828
9 3726 CENTRE ST NE,672.918 4218.295|638.567 4218.362|638.595 4210.701|638.595 4203.084|638.595 4195.467|638.560 4187.895|672.911 4187.828
8 3726 CENTRE ST NE,672.918 4218.295|638.567 4218.362|638.595 4210.701|638.595 4203.084|638.595 4195.467|638.560 4187.895|672.911 4187.828
7 3726 CENTRE ST NE,672.918 4218.295|638.567 4218.362|638.595 4210.701|638.595 4203.084|638.595 4195.467|638.560 4187.895|672.911 4187.828
6 3726 CENTRE ST NE,672.918 4218.295|638.567 4218.362|638.595 4210.701|638.595 4203.084|638.595 4195.467|638.560 4187.895|672.911 4187.828
5 3726 CENTRE ST NE,672.918 4218.295|638.567 4218.362|638.595 4210.701|638.595 4203.084|638.595 4195.467|638.560 4187.895|672.911 4187.828
4 3726 CENTRE ST NE,672.918 4218.295|638.567 4218.362|638.595 4210.701|638.595 4203.084|638.595 4195.467|638.560 4187.895|672.911 4187.828
16 3726 CENTRE ST NE,672.918 4218.295|638.567 4218.362|638.595 4210.701|638.595 4203.084|638.595 4195.467|638.560 4187.895|672.911 4187.828
15 3726 CENTRE ST NE,672.918 4218.295|638.567 4218.362|638.595 4210.701|638.595 4203.084|638.595 4195.467|638.560 4187.895|672.911 4187.828
