ADDRESS,POINTS
780 78 ST SW,-9038.525 1708.437|-9004.565 1708.537|-9004.838 1809.246|-9039.839 1809.157|-9041.209 1809.012|-9042.531 1808.601|-9043.740 1807.945|-9044.796 1807.055|-9045.662 1805.977|-9046.299 1804.754|-9046.683 1803.431|-9046.795 1802.052|-9045.523 1715.331|-9045.376 1713.985|-9044.963 1712.684|-9044.313 1711.495|-9043.439 1710.449|-9042.384 1709.593|-9041.181 1708.959|-9039.881 1708.570
750 78 ST SW,-9036.980 1835.866|-9008.445 1835.944|-9007.641 1835.944|-9003.657 1835.955|-9004.132 2006.828|-9008.117 2006.817|-9008.913 2006.817|-9039.280 2006.728|-9039.259 1998.922|-9039.238 1991.728|-9039.217 1983.933|-9040.559 1983.755|-9041.839 1983.322|-9043.013 1982.654|-9044.034 1981.765|-9044.865 1980.697|-9045.481 1979.485|-9045.844 1978.184|-9045.956 1976.839|-9043.985 1842.760|-9043.831 1841.404|-9043.425 1840.114|-9042.775 1838.913|-9041.902 1837.868|-9040.846 1837.011|-9039.644 1836.378|-9038.336 1835.988
8450 BROADCAST AV SW,-9586.669 1960.382|-9586.634 2001.558|-9587.131 2001.558|-9633.617 2001.513|-9633.617 2001.469|-9633.603 1996.710|-9633.596 1992.984|-9626.417 1992.996|-9626.326 1954.489|-9626.333 1954.489|-9629.982 1954.478|-9629.982 1954.422|-9629.968 1948.974|-9629.954 1944.137|-9629.954 1943.214|-9629.857 1902.249|-9629.780 1869.992|-9629.745 1869.992|-9622.796 1870.003|-9564.468 1870.114|-9558.505 1870.125|-9558.477 1902.305|-9558.470 1908.165|-9558.470 1908.198|-9586.697 1908.176|-9586.725 1908.176|-9586.690 1944.259
