ADDRESS,POINTS
4524 GROVE HILL RD SW,-5645.571 -1486.294|-5678.699 -1480.111|-5678.713 -1510.556|-5661.405 -1513.792
4939 17 AV SW,-6124.027 -1150.340|-6142.252 -1150.329|-6142.287 -1186.868|-6124.062 -1186.890
