ADDRESS,POINTS
1918 8 AV SE,3756.229 -1326.128|3750.112 -1321.625|3743.989 -1317.122|3720.626 -1349.046|3726.743 -1353.549|3732.867 -1358.053
1401 11 AV SE,2693.648 -1064.309|2685.085 -1059.016|2676.529 -1053.712|2656.941 -1085.703|2665.498 -1091.007|2674.054 -1096.322
1320 8 AV SE,2755.284 -680.208|2719.485 -658.103|2699.849 -689.982|2751.138 -721.651|2770.705 -689.738|2762.162 -684.456
