ADDRESS,POINTS
1218 10 AV SE,2520.390 -771.355|2511.763 -766.017|2492.134 -797.941|2500.697 -803.234
1205 10 AV SE,2464.095 -804.268|2455.476 -798.953|2435.840 -830.866|2444.459 -836.181
1211 10 AV SE,2489.939 -820.214|2481.320 -814.899|2461.683 -846.823|2470.303 -852.149
