ADDRESS,POINTS
2403 33 AV SW,-3035.264 -2683.629|-3042.849 -2683.641|-3042.877 -2717.600|-3027.687 -2717.577|-3027.687 -2717.733|-3027.687 -2717.777|-3012.503 -2717.700|-3012.496 -2683.596|-3020.088 -2683.607|-3027.673 -2683.618
301 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
402 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
404 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
406 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
408 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
410 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
412 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
414 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
415 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
413 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
411 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
409 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
407 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
401 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
502 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
504 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
506 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
508 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
510 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
512 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
514 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
515 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
513 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
511 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
509 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
507 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
501 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
602 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
604 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
606 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
608 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
610 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
612 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
614 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
615 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
613 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
611 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
609 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
607 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
601 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
53V 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
54V 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
55V 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
56V 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
57V 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
58V 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
59V 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
60V 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
61V 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
62V 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
63V 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
64V 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
65V 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
66V 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
67V 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
68V 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
69V 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
70V 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
71V 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
72V 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
73V 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
74V 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
75V 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
76V 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
77V 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
78V 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
