ADDRESS,POINTS
106 929 18 AV SW,-824.798 -1243.266|-860.030 -1243.288|-860.009 -1279.838|-824.777 -1279.816
105 929 18 AV SW,-824.798 -1243.266|-860.030 -1243.288|-860.009 -1279.838|-824.777 -1279.816
104 929 18 AV SW,-824.798 -1243.266|-860.030 -1243.288|-860.009 -1279.838|-824.777 -1279.816
103 929 18 AV SW,-824.798 -1243.266|-860.030 -1243.288|-860.009 -1279.838|-824.777 -1279.816
102 929 18 AV SW,-824.798 -1243.266|-860.030 -1243.288|-860.009 -1279.838|-824.777 -1279.816
101 929 18 AV SW,-824.798 -1243.266|-860.030 -1243.288|-860.009 -1279.838|-824.777 -1279.816
204 929 18 AV SW,-824.798 -1243.266|-860.030 -1243.288|-860.009 -1279.838|-824.777 -1279.816
203 929 18 AV SW,-824.798 -1243.266|-860.030 -1243.288|-860.009 -1279.838|-824.777 -1279.816
202 929 18 AV SW,-824.798 -1243.266|-860.030 -1243.288|-860.009 -1279.838|-824.777 -1279.816
201 929 18 AV SW,-824.798 -1243.266|-860.030 -1243.288|-860.009 -1279.838|-824.777 -1279.816
206 929 18 AV SW,-824.798 -1243.266|-860.030 -1243.288|-860.009 -1279.838|-824.777 -1279.816
205 929 18 AV SW,-824.798 -1243.266|-860.030 -1243.288|-860.009 -1279.838|-824.777 -1279.816
304 929 18 AV SW,-824.798 -1243.266|-860.030 -1243.288|-860.009 -1279.838|-824.777 -1279.816
303 929 18 AV SW,-824.798 -1243.266|-860.030 -1243.288|-860.009 -1279.838|-824.777 -1279.816
302 929 18 AV SW,-824.798 -1243.266|-860.030 -1243.288|-860.009 -1279.838|-824.777 -1279.816
301 929 18 AV SW,-824.798 -1243.266|-860.030 -1243.288|-860.009 -1279.838|-824.777 -1279.816
306 929 18 AV SW,-824.798 -1243.266|-860.030 -1243.288|-860.009 -1279.838|-824.777 -1279.816
305 929 18 AV SW,-824.798 -1243.266|-860.030 -1243.288|-860.009 -1279.838|-824.777 -1279.816
405 929 18 AV SW,-824.798 -1243.266|-860.030 -1243.288|-860.009 -1279.838|-824.777 -1279.816
404 929 18 AV SW,-824.798 -1243.266|-860.030 -1243.288|-860.009 -1279.838|-824.777 -1279.816
403 929 18 AV SW,-824.798 -1243.266|-860.030 -1243.288|-860.009 -1279.838|-824.777 -1279.816
402 929 18 AV SW,-824.798 -1243.266|-860.030 -1243.288|-860.009 -1279.838|-824.777 -1279.816
401 929 18 AV SW,-824.798 -1243.266|-860.030 -1243.288|-860.009 -1279.838|-824.777 -1279.816
407 929 18 AV SW,-824.798 -1243.266|-860.030 -1243.288|-860.009 -1279.838|-824.777 -1279.816
406 929 18 AV SW,-824.798 -1243.266|-860.030 -1243.288|-860.009 -1279.838|-824.777 -1279.816
26V 929 18 AV SW,-824.798 -1243.266|-860.030 -1243.288|-860.009 -1279.838|-824.777 -1279.816
27V 929 18 AV SW,-824.798 -1243.266|-860.030 -1243.288|-860.009 -1279.838|-824.777 -1279.816
28V 929 18 AV SW,-824.798 -1243.266|-860.030 -1243.288|-860.009 -1279.838|-824.777 -1279.816
29V 929 18 AV SW,-824.798 -1243.266|-860.030 -1243.288|-860.009 -1279.838|-824.777 -1279.816
30V 929 18 AV SW,-824.798 -1243.266|-860.030 -1243.288|-860.009 -1279.838|-824.777 -1279.816
31V 929 18 AV SW,-824.798 -1243.266|-860.030 -1243.288|-860.009 -1279.838|-824.777 -1279.816
32V 929 18 AV SW,-824.798 -1243.266|-860.030 -1243.288|-860.009 -1279.838|-824.777 -1279.816
33V 929 18 AV SW,-824.798 -1243.266|-860.030 -1243.288|-860.009 -1279.838|-824.777 -1279.816
34V 929 18 AV SW,-824.798 -1243.266|-860.030 -1243.288|-860.009 -1279.838|-824.777 -1279.816
35V 929 18 AV SW,-824.798 -1243.266|-860.030 -1243.288|-860.009 -1279.838|-824.777 -1279.816
36V 929 18 AV SW,-824.798 -1243.266|-860.030 -1243.288|-860.009 -1279.838|-824.777 -1279.816
37V 929 18 AV SW,-824.798 -1243.266|-860.030 -1243.288|-860.009 -1279.838|-824.777 -1279.816
38V 929 18 AV SW,-824.798 -1243.266|-860.030 -1243.288|-860.009 -1279.838|-824.777 -1279.816
39V 929 18 AV SW,-824.798 -1243.266|-860.030 -1243.288|-860.009 -1279.838|-824.777 -1279.816
40V 929 18 AV SW,-824.798 -1243.266|-860.030 -1243.288|-860.009 -1279.838|-824.777 -1279.816
41V 929 18 AV SW,-824.798 -1243.266|-860.030 -1243.288|-860.009 -1279.838|-824.777 -1279.816
42V 929 18 AV SW,-824.798 -1243.266|-860.030 -1243.288|-860.009 -1279.838|-824.777 -1279.816
43V 929 18 AV SW,-824.798 -1243.266|-860.030 -1243.288|-860.009 -1279.838|-824.777 -1279.816
44V 929 18 AV SW,-824.798 -1243.266|-860.030 -1243.288|-860.009 -1279.838|-824.777 -1279.816
45V 929 18 AV SW,-824.798 -1243.266|-860.030 -1243.288|-860.009 -1279.838|-824.777 -1279.816
46V 929 18 AV SW,-824.798 -1243.266|-860.030 -1243.288|-860.009 -1279.838|-824.777 -1279.816
47V 929 18 AV SW,-824.798 -1243.266|-860.030 -1243.288|-860.009 -1279.838|-824.777 -1279.816
