ADDRESS,POINTS
103 1407 KENSINGTON CL NW,-1540.840 321.491|-1552.200 356.229|-1579.197 347.377|-1567.865 312.629
102 1407 KENSINGTON CL NW,-1540.840 321.491|-1552.200 356.229|-1579.197 347.377|-1567.865 312.629
101 1407 KENSINGTON CL NW,-1540.840 321.491|-1552.200 356.229|-1579.197 347.377|-1567.865 312.629
14V 1407 KENSINGTON CL NW,-1540.840 321.491|-1552.200 356.229|-1579.197 347.377|-1567.865 312.629
13V 1407 KENSINGTON CL NW,-1540.840 321.491|-1552.200 356.229|-1579.197 347.377|-1567.865 312.629
303 1407 KENSINGTON CL NW,-1540.840 321.491|-1552.200 356.229|-1579.197 347.377|-1567.865 312.629
16V 1407 KENSINGTON CL NW,-1540.840 321.491|-1552.200 356.229|-1579.197 347.377|-1567.865 312.629
15V 1407 KENSINGTON CL NW,-1540.840 321.491|-1552.200 356.229|-1579.197 347.377|-1567.865 312.629
304 1407 KENSINGTON CL NW,-1540.840 321.491|-1552.200 356.229|-1579.197 347.377|-1567.865 312.629
301 1407 KENSINGTON CL NW,-1540.840 321.491|-1552.200 356.229|-1579.197 347.377|-1567.865 312.629
204 1407 KENSINGTON CL NW,-1540.840 321.491|-1552.200 356.229|-1579.197 347.377|-1567.865 312.629
203 1407 KENSINGTON CL NW,-1540.840 321.491|-1552.200 356.229|-1579.197 347.377|-1567.865 312.629
202 1407 KENSINGTON CL NW,-1540.840 321.491|-1552.200 356.229|-1579.197 347.377|-1567.865 312.629
201 1407 KENSINGTON CL NW,-1540.840 321.491|-1552.200 356.229|-1579.197 347.377|-1567.865 312.629
104 1407 KENSINGTON CL NW,-1540.840 321.491|-1552.200 356.229|-1579.197 347.377|-1567.865 312.629
302 1407 KENSINGTON CL NW,-1540.840 321.491|-1552.200 356.229|-1579.197 347.377|-1567.865 312.629
