ADDRESS,POINTS
1 1726 8 AV NW,-1943.610 1303.509|-1943.638 1359.974|-1974.026 1359.874|-1974.005 1303.454
2 1726 8 AV NW,-1943.610 1303.509|-1943.638 1359.974|-1974.026 1359.874|-1974.005 1303.454
3 1726 8 AV NW,-1943.610 1303.509|-1943.638 1359.974|-1974.026 1359.874|-1974.005 1303.454
4 1726 8 AV NW,-1943.610 1303.509|-1943.638 1359.974|-1974.026 1359.874|-1974.005 1303.454
5 1726 8 AV NW,-1943.610 1303.509|-1943.638 1359.974|-1974.026 1359.874|-1974.005 1303.454
6 1726 8 AV NW,-1943.610 1303.509|-1943.638 1359.974|-1974.026 1359.874|-1974.005 1303.454
7 1726 8 AV NW,-1943.610 1303.509|-1943.638 1359.974|-1974.026 1359.874|-1974.005 1303.454
8 1726 8 AV NW,-1943.610 1303.509|-1943.638 1359.974|-1974.026 1359.874|-1974.005 1303.454
906 17 ST NW,-2004.406 1303.387|-2004.462 1359.774|-2034.878 1359.674|-2034.801 1303.331
910 17 ST NW,-2004.406 1303.387|-2004.462 1359.774|-2034.878 1359.674|-2034.801 1303.331
914 17 ST NW,-2004.406 1303.387|-2004.462 1359.774|-2034.878 1359.674|-2034.801 1303.331
918 17 ST NW,-2004.406 1303.387|-2004.462 1359.774|-2034.878 1359.674|-2034.801 1303.331
922 17 ST NW,-2004.406 1303.387|-2004.462 1359.774|-2034.878 1359.674|-2034.801 1303.331
926 17 ST NW,-2004.406 1303.387|-2004.462 1359.774|-2034.878 1359.674|-2034.801 1303.331
5 1760 8 AV NW,-2004.406 1303.387|-2004.462 1359.774|-2034.878 1359.674|-2034.801 1303.331
4 1760 8 AV NW,-2004.406 1303.387|-2004.462 1359.774|-2034.878 1359.674|-2034.801 1303.331
3 1760 8 AV NW,-2004.406 1303.387|-2004.462 1359.774|-2034.878 1359.674|-2034.801 1303.331
2 1760 8 AV NW,-2004.406 1303.387|-2004.462 1359.774|-2034.878 1359.674|-2034.801 1303.331
1 1760 8 AV NW,-2004.406 1303.387|-2004.462 1359.774|-2034.878 1359.674|-2034.801 1303.331
1 1754 8 AV NW,-1974.005 1303.454|-1974.026 1359.874|-2004.462 1359.774|-2004.406 1303.387
2 1754 8 AV NW,-1974.005 1303.454|-1974.026 1359.874|-2004.462 1359.774|-2004.406 1303.387
3 1754 8 AV NW,-1974.005 1303.454|-1974.026 1359.874|-2004.462 1359.774|-2004.406 1303.387
4 1754 8 AV NW,-1974.005 1303.454|-1974.026 1359.874|-2004.462 1359.774|-2004.406 1303.387
5 1754 8 AV NW,-1974.005 1303.454|-1974.026 1359.874|-2004.462 1359.774|-2004.406 1303.387
6 1754 8 AV NW,-1974.005 1303.454|-1974.026 1359.874|-2004.462 1359.774|-2004.406 1303.387
7 1754 8 AV NW,-1974.005 1303.454|-1974.026 1359.874|-2004.462 1359.774|-2004.406 1303.387
8 1754 8 AV NW,-1974.005 1303.454|-1974.026 1359.874|-2004.462 1359.774|-2004.406 1303.387
