ADDRESS,POINTS
3226 24 AV NW,-4235.760 2944.368|-4235.781 2954.921|-4202.136 2988.746|-4228.755 3015.333|-4237.822 3006.215|-4261.492 2982.408|-4287.685 2989.391|-4308.887 2968.075|-4323.106 2982.275|-4323.155 3007.694|-4409.921 3007.538|-4415.981 2996.897|-4430.186 3005.014|-4471.912 3004.936|-4471.814 2943.968
3226 24 AV NW,-4235.760 2944.368|-4235.781 2954.921|-4202.136 2988.746|-4228.755 3015.333|-4237.822 3006.215|-4261.492 2982.408|-4287.685 2989.391|-4308.887 2968.075|-4323.106 2982.275|-4323.155 3007.694|-4409.921 3007.538|-4415.981 2996.897|-4430.186 3005.014|-4471.912 3004.936|-4471.814 2943.968
