ADDRESS,POINTS
126 10 ST NW,-999.980 553.555|-1002.112 553.566|-1002.042 545.949|-965.580 545.883|-965.650 553.499
122 10 ST NW,-965.580 545.883|-1002.042 545.949|-1001.972 538.332|-965.517 538.277
122 10 ST NW,-965.517 538.277|-1001.972 538.332|-1001.902 530.727|-965.447 530.660
