ADDRESS,POINTS
128 20 ROYAL OAK PZ NW,-10127.348 11384.619|-10112.591 11396.539|-10134.562 11426.862|-10150.976 11449.524|-10152.583 11448.523|-10155.156 11446.933|-10206.193 11415.342|-10229.723 11394.960|-10225.270 11389.701|-10184.914 11339.341|-10158.148 11360.979|-10164.062 11368.296|-10145.502 11383.307|-10143.237 11380.505|-10140.721 11382.540|-10136.449 11377.258
134 20 ROYAL OAK PZ NW,-10127.348 11384.619|-10112.591 11396.539|-10134.562 11426.862|-10150.976 11449.524|-10152.583 11448.523|-10155.156 11446.933|-10206.193 11415.342|-10229.723 11394.960|-10225.270 11389.701|-10184.914 11339.341|-10158.148 11360.979|-10164.062 11368.296|-10145.502 11383.307|-10143.237 11380.505|-10140.721 11382.540|-10136.449 11377.258
136 20 ROYAL OAK PZ NW,-10127.348 11384.619|-10112.591 11396.539|-10134.562 11426.862|-10150.976 11449.524|-10152.583 11448.523|-10155.156 11446.933|-10206.193 11415.342|-10229.723 11394.960|-10225.270 11389.701|-10184.914 11339.341|-10158.148 11360.979|-10164.062 11368.296|-10145.502 11383.307|-10143.237 11380.505|-10140.721 11382.540|-10136.449 11377.258
138 20 ROYAL OAK PZ NW,-10127.348 11384.619|-10112.591 11396.539|-10134.562 11426.862|-10150.976 11449.524|-10152.583 11448.523|-10155.156 11446.933|-10206.193 11415.342|-10229.723 11394.960|-10225.270 11389.701|-10184.914 11339.341|-10158.148 11360.979|-10164.062 11368.296|-10145.502 11383.307|-10143.237 11380.505|-10140.721 11382.540|-10136.449 11377.258
140 20 ROYAL OAK PZ NW,-10127.348 11384.619|-10112.591 11396.539|-10134.562 11426.862|-10150.976 11449.524|-10152.583 11448.523|-10155.156 11446.933|-10206.193 11415.342|-10229.723 11394.960|-10225.270 11389.701|-10184.914 11339.341|-10158.148 11360.979|-10164.062 11368.296|-10145.502 11383.307|-10143.237 11380.505|-10140.721 11382.540|-10136.449 11377.258
142 20 ROYAL OAK PZ NW,-10127.348 11384.619|-10112.591 11396.539|-10134.562 11426.862|-10150.976 11449.524|-10152.583 11448.523|-10155.156 11446.933|-10206.193 11415.342|-10229.723 11394.960|-10225.270 11389.701|-10184.914 11339.341|-10158.148 11360.979|-10164.062 11368.296|-10145.502 11383.307|-10143.237 11380.505|-10140.721 11382.540|-10136.449 11377.258
144 20 ROYAL OAK PZ NW,-10127.348 11384.619|-10112.591 11396.539|-10134.562 11426.862|-10150.976 11449.524|-10152.583 11448.523|-10155.156 11446.933|-10206.193 11415.342|-10229.723 11394.960|-10225.270 11389.701|-10184.914 11339.341|-10158.148 11360.979|-10164.062 11368.296|-10145.502 11383.307|-10143.237 11380.505|-10140.721 11382.540|-10136.449 11377.258
143 20 ROYAL OAK PZ NW,-10127.348 11384.619|-10112.591 11396.539|-10134.562 11426.862|-10150.976 11449.524|-10152.583 11448.523|-10155.156 11446.933|-10206.193 11415.342|-10229.723 11394.960|-10225.270 11389.701|-10184.914 11339.341|-10158.148 11360.979|-10164.062 11368.296|-10145.502 11383.307|-10143.237 11380.505|-10140.721 11382.540|-10136.449 11377.258
139 20 ROYAL OAK PZ NW,-10127.348 11384.619|-10112.591 11396.539|-10134.562 11426.862|-10150.976 11449.524|-10152.583 11448.523|-10155.156 11446.933|-10206.193 11415.342|-10229.723 11394.960|-10225.270 11389.701|-10184.914 11339.341|-10158.148 11360.979|-10164.062 11368.296|-10145.502 11383.307|-10143.237 11380.505|-10140.721 11382.540|-10136.449 11377.258
137 20 ROYAL OAK PZ NW,-10127.348 11384.619|-10112.591 11396.539|-10134.562 11426.862|-10150.976 11449.524|-10152.583 11448.523|-10155.156 11446.933|-10206.193 11415.342|-10229.723 11394.960|-10225.270 11389.701|-10184.914 11339.341|-10158.148 11360.979|-10164.062 11368.296|-10145.502 11383.307|-10143.237 11380.505|-10140.721 11382.540|-10136.449 11377.258
135 20 ROYAL OAK PZ NW,-10127.348 11384.619|-10112.591 11396.539|-10134.562 11426.862|-10150.976 11449.524|-10152.583 11448.523|-10155.156 11446.933|-10206.193 11415.342|-10229.723 11394.960|-10225.270 11389.701|-10184.914 11339.341|-10158.148 11360.979|-10164.062 11368.296|-10145.502 11383.307|-10143.237 11380.505|-10140.721 11382.540|-10136.449 11377.258
133 20 ROYAL OAK PZ NW,-10127.348 11384.619|-10112.591 11396.539|-10134.562 11426.862|-10150.976 11449.524|-10152.583 11448.523|-10155.156 11446.933|-10206.193 11415.342|-10229.723 11394.960|-10225.270 11389.701|-10184.914 11339.341|-10158.148 11360.979|-10164.062 11368.296|-10145.502 11383.307|-10143.237 11380.505|-10140.721 11382.540|-10136.449 11377.258
127 20 ROYAL OAK PZ NW,-10127.348 11384.619|-10112.591 11396.539|-10134.562 11426.862|-10150.976 11449.524|-10152.583 11448.523|-10155.156 11446.933|-10206.193 11415.342|-10229.723 11394.960|-10225.270 11389.701|-10184.914 11339.341|-10158.148 11360.979|-10164.062 11368.296|-10145.502 11383.307|-10143.237 11380.505|-10140.721 11382.540|-10136.449 11377.258
125 20 ROYAL OAK PZ NW,-10127.348 11384.619|-10112.591 11396.539|-10134.562 11426.862|-10150.976 11449.524|-10152.583 11448.523|-10155.156 11446.933|-10206.193 11415.342|-10229.723 11394.960|-10225.270 11389.701|-10184.914 11339.341|-10158.148 11360.979|-10164.062 11368.296|-10145.502 11383.307|-10143.237 11380.505|-10140.721 11382.540|-10136.449 11377.258
123 20 ROYAL OAK PZ NW,-10127.348 11384.619|-10112.591 11396.539|-10134.562 11426.862|-10150.976 11449.524|-10152.583 11448.523|-10155.156 11446.933|-10206.193 11415.342|-10229.723 11394.960|-10225.270 11389.701|-10184.914 11339.341|-10158.148 11360.979|-10164.062 11368.296|-10145.502 11383.307|-10143.237 11380.505|-10140.721 11382.540|-10136.449 11377.258
121 20 ROYAL OAK PZ NW,-10127.348 11384.619|-10112.591 11396.539|-10134.562 11426.862|-10150.976 11449.524|-10152.583 11448.523|-10155.156 11446.933|-10206.193 11415.342|-10229.723 11394.960|-10225.270 11389.701|-10184.914 11339.341|-10158.148 11360.979|-10164.062 11368.296|-10145.502 11383.307|-10143.237 11380.505|-10140.721 11382.540|-10136.449 11377.258
119 20 ROYAL OAK PZ NW,-10127.348 11384.619|-10112.591 11396.539|-10134.562 11426.862|-10150.976 11449.524|-10152.583 11448.523|-10155.156 11446.933|-10206.193 11415.342|-10229.723 11394.960|-10225.270 11389.701|-10184.914 11339.341|-10158.148 11360.979|-10164.062 11368.296|-10145.502 11383.307|-10143.237 11380.505|-10140.721 11382.540|-10136.449 11377.258
117 20 ROYAL OAK PZ NW,-10127.348 11384.619|-10112.591 11396.539|-10134.562 11426.862|-10150.976 11449.524|-10152.583 11448.523|-10155.156 11446.933|-10206.193 11415.342|-10229.723 11394.960|-10225.270 11389.701|-10184.914 11339.341|-10158.148 11360.979|-10164.062 11368.296|-10145.502 11383.307|-10143.237 11380.505|-10140.721 11382.540|-10136.449 11377.258
111 20 ROYAL OAK PZ NW,-10127.348 11384.619|-10112.591 11396.539|-10134.562 11426.862|-10150.976 11449.524|-10152.583 11448.523|-10155.156 11446.933|-10206.193 11415.342|-10229.723 11394.960|-10225.270 11389.701|-10184.914 11339.341|-10158.148 11360.979|-10164.062 11368.296|-10145.502 11383.307|-10143.237 11380.505|-10140.721 11382.540|-10136.449 11377.258
109 20 ROYAL OAK PZ NW,-10127.348 11384.619|-10112.591 11396.539|-10134.562 11426.862|-10150.976 11449.524|-10152.583 11448.523|-10155.156 11446.933|-10206.193 11415.342|-10229.723 11394.960|-10225.270 11389.701|-10184.914 11339.341|-10158.148 11360.979|-10164.062 11368.296|-10145.502 11383.307|-10143.237 11380.505|-10140.721 11382.540|-10136.449 11377.258
107 20 ROYAL OAK PZ NW,-10127.348 11384.619|-10112.591 11396.539|-10134.562 11426.862|-10150.976 11449.524|-10152.583 11448.523|-10155.156 11446.933|-10206.193 11415.342|-10229.723 11394.960|-10225.270 11389.701|-10184.914 11339.341|-10158.148 11360.979|-10164.062 11368.296|-10145.502 11383.307|-10143.237 11380.505|-10140.721 11382.540|-10136.449 11377.258
105 20 ROYAL OAK PZ NW,-10127.348 11384.619|-10112.591 11396.539|-10134.562 11426.862|-10150.976 11449.524|-10152.583 11448.523|-10155.156 11446.933|-10206.193 11415.342|-10229.723 11394.960|-10225.270 11389.701|-10184.914 11339.341|-10158.148 11360.979|-10164.062 11368.296|-10145.502 11383.307|-10143.237 11380.505|-10140.721 11382.540|-10136.449 11377.258
201 20 ROYAL OAK PZ NW,-10127.348 11384.619|-10112.591 11396.539|-10134.562 11426.862|-10150.976 11449.524|-10152.583 11448.523|-10155.156 11446.933|-10206.193 11415.342|-10229.723 11394.960|-10225.270 11389.701|-10184.914 11339.341|-10158.148 11360.979|-10164.062 11368.296|-10145.502 11383.307|-10143.237 11380.505|-10140.721 11382.540|-10136.449 11377.258
202 20 ROYAL OAK PZ NW,-10127.348 11384.619|-10112.591 11396.539|-10134.562 11426.862|-10150.976 11449.524|-10152.583 11448.523|-10155.156 11446.933|-10206.193 11415.342|-10229.723 11394.960|-10225.270 11389.701|-10184.914 11339.341|-10158.148 11360.979|-10164.062 11368.296|-10145.502 11383.307|-10143.237 11380.505|-10140.721 11382.540|-10136.449 11377.258
204 20 ROYAL OAK PZ NW,-10127.348 11384.619|-10112.591 11396.539|-10134.562 11426.862|-10150.976 11449.524|-10152.583 11448.523|-10155.156 11446.933|-10206.193 11415.342|-10229.723 11394.960|-10225.270 11389.701|-10184.914 11339.341|-10158.148 11360.979|-10164.062 11368.296|-10145.502 11383.307|-10143.237 11380.505|-10140.721 11382.540|-10136.449 11377.258
206 20 ROYAL OAK PZ NW,-10127.348 11384.619|-10112.591 11396.539|-10134.562 11426.862|-10150.976 11449.524|-10152.583 11448.523|-10155.156 11446.933|-10206.193 11415.342|-10229.723 11394.960|-10225.270 11389.701|-10184.914 11339.341|-10158.148 11360.979|-10164.062 11368.296|-10145.502 11383.307|-10143.237 11380.505|-10140.721 11382.540|-10136.449 11377.258
208 20 ROYAL OAK PZ NW,-10127.348 11384.619|-10112.591 11396.539|-10134.562 11426.862|-10150.976 11449.524|-10152.583 11448.523|-10155.156 11446.933|-10206.193 11415.342|-10229.723 11394.960|-10225.270 11389.701|-10184.914 11339.341|-10158.148 11360.979|-10164.062 11368.296|-10145.502 11383.307|-10143.237 11380.505|-10140.721 11382.540|-10136.449 11377.258
210 20 ROYAL OAK PZ NW,-10127.348 11384.619|-10112.591 11396.539|-10134.562 11426.862|-10150.976 11449.524|-10152.583 11448.523|-10155.156 11446.933|-10206.193 11415.342|-10229.723 11394.960|-10225.270 11389.701|-10184.914 11339.341|-10158.148 11360.979|-10164.062 11368.296|-10145.502 11383.307|-10143.237 11380.505|-10140.721 11382.540|-10136.449 11377.258
212 20 ROYAL OAK PZ NW,-10127.348 11384.619|-10112.591 11396.539|-10134.562 11426.862|-10150.976 11449.524|-10152.583 11448.523|-10155.156 11446.933|-10206.193 11415.342|-10229.723 11394.960|-10225.270 11389.701|-10184.914 11339.341|-10158.148 11360.979|-10164.062 11368.296|-10145.502 11383.307|-10143.237 11380.505|-10140.721 11382.540|-10136.449 11377.258
218 20 ROYAL OAK PZ NW,-10127.348 11384.619|-10112.591 11396.539|-10134.562 11426.862|-10150.976 11449.524|-10152.583 11448.523|-10155.156 11446.933|-10206.193 11415.342|-10229.723 11394.960|-10225.270 11389.701|-10184.914 11339.341|-10158.148 11360.979|-10164.062 11368.296|-10145.502 11383.307|-10143.237 11380.505|-10140.721 11382.540|-10136.449 11377.258
220 20 ROYAL OAK PZ NW,-10127.348 11384.619|-10112.591 11396.539|-10134.562 11426.862|-10150.976 11449.524|-10152.583 11448.523|-10155.156 11446.933|-10206.193 11415.342|-10229.723 11394.960|-10225.270 11389.701|-10184.914 11339.341|-10158.148 11360.979|-10164.062 11368.296|-10145.502 11383.307|-10143.237 11380.505|-10140.721 11382.540|-10136.449 11377.258
222 20 ROYAL OAK PZ NW,-10127.348 11384.619|-10112.591 11396.539|-10134.562 11426.862|-10150.976 11449.524|-10152.583 11448.523|-10155.156 11446.933|-10206.193 11415.342|-10229.723 11394.960|-10225.270 11389.701|-10184.914 11339.341|-10158.148 11360.979|-10164.062 11368.296|-10145.502 11383.307|-10143.237 11380.505|-10140.721 11382.540|-10136.449 11377.258
224 20 ROYAL OAK PZ NW,-10127.348 11384.619|-10112.591 11396.539|-10134.562 11426.862|-10150.976 11449.524|-10152.583 11448.523|-10155.156 11446.933|-10206.193 11415.342|-10229.723 11394.960|-10225.270 11389.701|-10184.914 11339.341|-10158.148 11360.979|-10164.062 11368.296|-10145.502 11383.307|-10143.237 11380.505|-10140.721 11382.540|-10136.449 11377.258
226 20 ROYAL OAK PZ NW,-10127.348 11384.619|-10112.591 11396.539|-10134.562 11426.862|-10150.976 11449.524|-10152.583 11448.523|-10155.156 11446.933|-10206.193 11415.342|-10229.723 11394.960|-10225.270 11389.701|-10184.914 11339.341|-10158.148 11360.979|-10164.062 11368.296|-10145.502 11383.307|-10143.237 11380.505|-10140.721 11382.540|-10136.449 11377.258
228 20 ROYAL OAK PZ NW,-10127.348 11384.619|-10112.591 11396.539|-10134.562 11426.862|-10150.976 11449.524|-10152.583 11448.523|-10155.156 11446.933|-10206.193 11415.342|-10229.723 11394.960|-10225.270 11389.701|-10184.914 11339.341|-10158.148 11360.979|-10164.062 11368.296|-10145.502 11383.307|-10143.237 11380.505|-10140.721 11382.540|-10136.449 11377.258
234 20 ROYAL OAK PZ NW,-10127.348 11384.619|-10112.591 11396.539|-10134.562 11426.862|-10150.976 11449.524|-10152.583 11448.523|-10155.156 11446.933|-10206.193 11415.342|-10229.723 11394.960|-10225.270 11389.701|-10184.914 11339.341|-10158.148 11360.979|-10164.062 11368.296|-10145.502 11383.307|-10143.237 11380.505|-10140.721 11382.540|-10136.449 11377.258
236 20 ROYAL OAK PZ NW,-10127.348 11384.619|-10112.591 11396.539|-10134.562 11426.862|-10150.976 11449.524|-10152.583 11448.523|-10155.156 11446.933|-10206.193 11415.342|-10229.723 11394.960|-10225.270 11389.701|-10184.914 11339.341|-10158.148 11360.979|-10164.062 11368.296|-10145.502 11383.307|-10143.237 11380.505|-10140.721 11382.540|-10136.449 11377.258
238 20 ROYAL OAK PZ NW,-10127.348 11384.619|-10112.591 11396.539|-10134.562 11426.862|-10150.976 11449.524|-10152.583 11448.523|-10155.156 11446.933|-10206.193 11415.342|-10229.723 11394.960|-10225.270 11389.701|-10184.914 11339.341|-10158.148 11360.979|-10164.062 11368.296|-10145.502 11383.307|-10143.237 11380.505|-10140.721 11382.540|-10136.449 11377.258
240 20 ROYAL OAK PZ NW,-10127.348 11384.619|-10112.591 11396.539|-10134.562 11426.862|-10150.976 11449.524|-10152.583 11448.523|-10155.156 11446.933|-10206.193 11415.342|-10229.723 11394.960|-10225.270 11389.701|-10184.914 11339.341|-10158.148 11360.979|-10164.062 11368.296|-10145.502 11383.307|-10143.237 11380.505|-10140.721 11382.540|-10136.449 11377.258
