ADDRESS,POINTS
242 20 ROYAL OAK PZ NW,-10127.348 11384.619|-10112.591 11396.539|-10134.562 11426.862|-10150.976 11449.524|-10152.583 11448.523|-10155.156 11446.933|-10206.193 11415.342|-10229.723 11394.960|-10225.270 11389.701|-10184.914 11339.341|-10158.148 11360.979|-10164.062 11368.296|-10145.502 11383.307|-10143.237 11380.505|-10140.721 11382.540|-10136.449 11377.258
244 20 ROYAL OAK PZ NW,-10127.348 11384.619|-10112.591 11396.539|-10134.562 11426.862|-10150.976 11449.524|-10152.583 11448.523|-10155.156 11446.933|-10206.193 11415.342|-10229.723 11394.960|-10225.270 11389.701|-10184.914 11339.341|-10158.148 11360.979|-10164.062 11368.296|-10145.502 11383.307|-10143.237 11380.505|-10140.721 11382.540|-10136.449 11377.258
243 20 ROYAL OAK PZ NW,-10127.348 11384.619|-10112.591 11396.539|-10134.562 11426.862|-10150.976 11449.524|-10152.583 11448.523|-10155.156 11446.933|-10206.193 11415.342|-10229.723 11394.960|-10225.270 11389.701|-10184.914 11339.341|-10158.148 11360.979|-10164.062 11368.296|-10145.502 11383.307|-10143.237 11380.505|-10140.721 11382.540|-10136.449 11377.258
239 20 ROYAL OAK PZ NW,-10127.348 11384.619|-10112.591 11396.539|-10134.562 11426.862|-10150.976 11449.524|-10152.583 11448.523|-10155.156 11446.933|-10206.193 11415.342|-10229.723 11394.960|-10225.270 11389.701|-10184.914 11339.341|-10158.148 11360.979|-10164.062 11368.296|-10145.502 11383.307|-10143.237 11380.505|-10140.721 11382.540|-10136.449 11377.258
237 20 ROYAL OAK PZ NW,-10127.348 11384.619|-10112.591 11396.539|-10134.562 11426.862|-10150.976 11449.524|-10152.583 11448.523|-10155.156 11446.933|-10206.193 11415.342|-10229.723 11394.960|-10225.270 11389.701|-10184.914 11339.341|-10158.148 11360.979|-10164.062 11368.296|-10145.502 11383.307|-10143.237 11380.505|-10140.721 11382.540|-10136.449 11377.258
235 20 ROYAL OAK PZ NW,-10127.348 11384.619|-10112.591 11396.539|-10134.562 11426.862|-10150.976 11449.524|-10152.583 11448.523|-10155.156 11446.933|-10206.193 11415.342|-10229.723 11394.960|-10225.270 11389.701|-10184.914 11339.341|-10158.148 11360.979|-10164.062 11368.296|-10145.502 11383.307|-10143.237 11380.505|-10140.721 11382.540|-10136.449 11377.258
233 20 ROYAL OAK PZ NW,-10127.348 11384.619|-10112.591 11396.539|-10134.562 11426.862|-10150.976 11449.524|-10152.583 11448.523|-10155.156 11446.933|-10206.193 11415.342|-10229.723 11394.960|-10225.270 11389.701|-10184.914 11339.341|-10158.148 11360.979|-10164.062 11368.296|-10145.502 11383.307|-10143.237 11380.505|-10140.721 11382.540|-10136.449 11377.258
227 20 ROYAL OAK PZ NW,-10127.348 11384.619|-10112.591 11396.539|-10134.562 11426.862|-10150.976 11449.524|-10152.583 11448.523|-10155.156 11446.933|-10206.193 11415.342|-10229.723 11394.960|-10225.270 11389.701|-10184.914 11339.341|-10158.148 11360.979|-10164.062 11368.296|-10145.502 11383.307|-10143.237 11380.505|-10140.721 11382.540|-10136.449 11377.258
225 20 ROYAL OAK PZ NW,-10127.348 11384.619|-10112.591 11396.539|-10134.562 11426.862|-10150.976 11449.524|-10152.583 11448.523|-10155.156 11446.933|-10206.193 11415.342|-10229.723 11394.960|-10225.270 11389.701|-10184.914 11339.341|-10158.148 11360.979|-10164.062 11368.296|-10145.502 11383.307|-10143.237 11380.505|-10140.721 11382.540|-10136.449 11377.258
223 20 ROYAL OAK PZ NW,-10127.348 11384.619|-10112.591 11396.539|-10134.562 11426.862|-10150.976 11449.524|-10152.583 11448.523|-10155.156 11446.933|-10206.193 11415.342|-10229.723 11394.960|-10225.270 11389.701|-10184.914 11339.341|-10158.148 11360.979|-10164.062 11368.296|-10145.502 11383.307|-10143.237 11380.505|-10140.721 11382.540|-10136.449 11377.258
221 20 ROYAL OAK PZ NW,-10127.348 11384.619|-10112.591 11396.539|-10134.562 11426.862|-10150.976 11449.524|-10152.583 11448.523|-10155.156 11446.933|-10206.193 11415.342|-10229.723 11394.960|-10225.270 11389.701|-10184.914 11339.341|-10158.148 11360.979|-10164.062 11368.296|-10145.502 11383.307|-10143.237 11380.505|-10140.721 11382.540|-10136.449 11377.258
219 20 ROYAL OAK PZ NW,-10127.348 11384.619|-10112.591 11396.539|-10134.562 11426.862|-10150.976 11449.524|-10152.583 11448.523|-10155.156 11446.933|-10206.193 11415.342|-10229.723 11394.960|-10225.270 11389.701|-10184.914 11339.341|-10158.148 11360.979|-10164.062 11368.296|-10145.502 11383.307|-10143.237 11380.505|-10140.721 11382.540|-10136.449 11377.258
217 20 ROYAL OAK PZ NW,-10127.348 11384.619|-10112.591 11396.539|-10134.562 11426.862|-10150.976 11449.524|-10152.583 11448.523|-10155.156 11446.933|-10206.193 11415.342|-10229.723 11394.960|-10225.270 11389.701|-10184.914 11339.341|-10158.148 11360.979|-10164.062 11368.296|-10145.502 11383.307|-10143.237 11380.505|-10140.721 11382.540|-10136.449 11377.258
211 20 ROYAL OAK PZ NW,-10127.348 11384.619|-10112.591 11396.539|-10134.562 11426.862|-10150.976 11449.524|-10152.583 11448.523|-10155.156 11446.933|-10206.193 11415.342|-10229.723 11394.960|-10225.270 11389.701|-10184.914 11339.341|-10158.148 11360.979|-10164.062 11368.296|-10145.502 11383.307|-10143.237 11380.505|-10140.721 11382.540|-10136.449 11377.258
209 20 ROYAL OAK PZ NW,-10127.348 11384.619|-10112.591 11396.539|-10134.562 11426.862|-10150.976 11449.524|-10152.583 11448.523|-10155.156 11446.933|-10206.193 11415.342|-10229.723 11394.960|-10225.270 11389.701|-10184.914 11339.341|-10158.148 11360.979|-10164.062 11368.296|-10145.502 11383.307|-10143.237 11380.505|-10140.721 11382.540|-10136.449 11377.258
207 20 ROYAL OAK PZ NW,-10127.348 11384.619|-10112.591 11396.539|-10134.562 11426.862|-10150.976 11449.524|-10152.583 11448.523|-10155.156 11446.933|-10206.193 11415.342|-10229.723 11394.960|-10225.270 11389.701|-10184.914 11339.341|-10158.148 11360.979|-10164.062 11368.296|-10145.502 11383.307|-10143.237 11380.505|-10140.721 11382.540|-10136.449 11377.258
205 20 ROYAL OAK PZ NW,-10127.348 11384.619|-10112.591 11396.539|-10134.562 11426.862|-10150.976 11449.524|-10152.583 11448.523|-10155.156 11446.933|-10206.193 11415.342|-10229.723 11394.960|-10225.270 11389.701|-10184.914 11339.341|-10158.148 11360.979|-10164.062 11368.296|-10145.502 11383.307|-10143.237 11380.505|-10140.721 11382.540|-10136.449 11377.258
301 20 ROYAL OAK PZ NW,-10127.348 11384.619|-10112.591 11396.539|-10134.562 11426.862|-10150.976 11449.524|-10152.583 11448.523|-10155.156 11446.933|-10206.193 11415.342|-10229.723 11394.960|-10225.270 11389.701|-10184.914 11339.341|-10158.148 11360.979|-10164.062 11368.296|-10145.502 11383.307|-10143.237 11380.505|-10140.721 11382.540|-10136.449 11377.258
302 20 ROYAL OAK PZ NW,-10127.348 11384.619|-10112.591 11396.539|-10134.562 11426.862|-10150.976 11449.524|-10152.583 11448.523|-10155.156 11446.933|-10206.193 11415.342|-10229.723 11394.960|-10225.270 11389.701|-10184.914 11339.341|-10158.148 11360.979|-10164.062 11368.296|-10145.502 11383.307|-10143.237 11380.505|-10140.721 11382.540|-10136.449 11377.258
304 20 ROYAL OAK PZ NW,-10127.348 11384.619|-10112.591 11396.539|-10134.562 11426.862|-10150.976 11449.524|-10152.583 11448.523|-10155.156 11446.933|-10206.193 11415.342|-10229.723 11394.960|-10225.270 11389.701|-10184.914 11339.341|-10158.148 11360.979|-10164.062 11368.296|-10145.502 11383.307|-10143.237 11380.505|-10140.721 11382.540|-10136.449 11377.258
