ADDRESS,POINTS
331V 5115 RICHARD RD SW,-4085.695 -4469.153|-4091.875 -4461.425|-4097.859 -4453.942|-4196.033 -4454.142|-4196.012 -4464.294|-4195.921 -4514.143|-4195.872 -4540.863|-4201.835 -4546.867|-4195.858 -4546.867|-4181.115 -4546.856|-4166.722 -4532.356|-4166.673 -4532.356|-4079.676 -4532.312|-4079.683 -4532.267
330V 5115 RICHARD RD SW,-4085.695 -4469.153|-4091.875 -4461.425|-4097.859 -4453.942|-4196.033 -4454.142|-4196.012 -4464.294|-4195.921 -4514.143|-4195.872 -4540.863|-4201.835 -4546.867|-4195.858 -4546.867|-4181.115 -4546.856|-4166.722 -4532.356|-4166.673 -4532.356|-4079.676 -4532.312|-4079.683 -4532.267
329V 5115 RICHARD RD SW,-4085.695 -4469.153|-4091.875 -4461.425|-4097.859 -4453.942|-4196.033 -4454.142|-4196.012 -4464.294|-4195.921 -4514.143|-4195.872 -4540.863|-4201.835 -4546.867|-4195.858 -4546.867|-4181.115 -4546.856|-4166.722 -4532.356|-4166.673 -4532.356|-4079.676 -4532.312|-4079.683 -4532.267
328V 5115 RICHARD RD SW,-4085.695 -4469.153|-4091.875 -4461.425|-4097.859 -4453.942|-4196.033 -4454.142|-4196.012 -4464.294|-4195.921 -4514.143|-4195.872 -4540.863|-4201.835 -4546.867|-4195.858 -4546.867|-4181.115 -4546.856|-4166.722 -4532.356|-4166.673 -4532.356|-4079.676 -4532.312|-4079.683 -4532.267
327V 5115 RICHARD RD SW,-4085.695 -4469.153|-4091.875 -4461.425|-4097.859 -4453.942|-4196.033 -4454.142|-4196.012 -4464.294|-4195.921 -4514.143|-4195.872 -4540.863|-4201.835 -4546.867|-4195.858 -4546.867|-4181.115 -4546.856|-4166.722 -4532.356|-4166.673 -4532.356|-4079.676 -4532.312|-4079.683 -4532.267
326V 5115 RICHARD RD SW,-4085.695 -4469.153|-4091.875 -4461.425|-4097.859 -4453.942|-4196.033 -4454.142|-4196.012 -4464.294|-4195.921 -4514.143|-4195.872 -4540.863|-4201.835 -4546.867|-4195.858 -4546.867|-4181.115 -4546.856|-4166.722 -4532.356|-4166.673 -4532.356|-4079.676 -4532.312|-4079.683 -4532.267
325V 5115 RICHARD RD SW,-4085.695 -4469.153|-4091.875 -4461.425|-4097.859 -4453.942|-4196.033 -4454.142|-4196.012 -4464.294|-4195.921 -4514.143|-4195.872 -4540.863|-4201.835 -4546.867|-4195.858 -4546.867|-4181.115 -4546.856|-4166.722 -4532.356|-4166.673 -4532.356|-4079.676 -4532.312|-4079.683 -4532.267
324V 5115 RICHARD RD SW,-4085.695 -4469.153|-4091.875 -4461.425|-4097.859 -4453.942|-4196.033 -4454.142|-4196.012 -4464.294|-4195.921 -4514.143|-4195.872 -4540.863|-4201.835 -4546.867|-4195.858 -4546.867|-4181.115 -4546.856|-4166.722 -4532.356|-4166.673 -4532.356|-4079.676 -4532.312|-4079.683 -4532.267
340V 5115 RICHARD RD SW,-4085.695 -4469.153|-4091.875 -4461.425|-4097.859 -4453.942|-4196.033 -4454.142|-4196.012 -4464.294|-4195.921 -4514.143|-4195.872 -4540.863|-4201.835 -4546.867|-4195.858 -4546.867|-4181.115 -4546.856|-4166.722 -4532.356|-4166.673 -4532.356|-4079.676 -4532.312|-4079.683 -4532.267
339V 5115 RICHARD RD SW,-4085.695 -4469.153|-4091.875 -4461.425|-4097.859 -4453.942|-4196.033 -4454.142|-4196.012 -4464.294|-4195.921 -4514.143|-4195.872 -4540.863|-4201.835 -4546.867|-4195.858 -4546.867|-4181.115 -4546.856|-4166.722 -4532.356|-4166.673 -4532.356|-4079.676 -4532.312|-4079.683 -4532.267
