ADDRESS,ASSESSMENT_CLASS_DESCRIPTION,COMM_NAME,LAND_USE_DESIGNATION,MULTIPOLYGON
601 519 RIVERFRONT AV SE,Residential,DOWNTOWN EAST VILLAGE,CC-EMU,"MULTIPOLYGON (((-114.0508294 51.0471897, -114.0507625 51.0472282, -114.0507254 51.0477468, -114.0507247 51.0477578, -114.0507189 51.0478395, -114.0516039 51.0479956, -114.0517838 51.0480273, -114.0518369 51.0472911, -114.0518421 51.0472187, -114.0518227 51.0472181, -114.0508294 51.0471897)))"
602 519 RIVERFRONT AV SE,Residential,DOWNTOWN EAST VILLAGE,CC-EMU,"MULTIPOLYGON (((-114.0508294 51.0471897, -114.0507625 51.0472282, -114.0507254 51.0477468, -114.0507247 51.0477578, -114.0507189 51.0478395, -114.0516039 51.0479956, -114.0517838 51.0480273, -114.0518369 51.0472911, -114.0518421 51.0472187, -114.0518227 51.0472181, -114.0508294 51.0471897)))"
604 519 RIVERFRONT AV SE,Residential,DOWNTOWN EAST VILLAGE,CC-EMU,"MULTIPOLYGON (((-114.0508294 51.0471897, -114.0507625 51.0472282, -114.0507254 51.0477468, -114.0507247 51.0477578, -114.0507189 51.0478395, -114.0516039 51.0479956, -114.0517838 51.0480273, -114.0518369 51.0472911, -114.0518421 51.0472187, -114.0518227 51.0472181, -114.0508294 51.0471897)))"
605 519 RIVERFRONT AV SE,Residential,DOWNTOWN EAST VILLAGE,CC-EMU,"MULTIPOLYGON (((-114.0508294 51.0471897, -114.0507625 51.0472282, -114.0507254 51.0477468, -114.0507247 51.0477578, -114.0507189 51.0478395, -114.0516039 51.0479956, -114.0517838 51.0480273, -114.0518369 51.0472911, -114.0518421 51.0472187, -114.0518227 51.0472181, -114.0508294 51.0471897)))"
606 519 RIVERFRONT AV SE,Residential,DOWNTOWN EAST VILLAGE,CC-EMU,"MULTIPOLYGON (((-114.0508294 51.0471897, -114.0507625 51.0472282, -114.0507254 51.0477468, -114.0507247 51.0477578, -114.0507189 51.0478395, -114.0516039 51.0479956, -114.0517838 51.0480273, -114.0518369 51.0472911, -114.0518421 51.0472187, -114.0518227 51.0472181, -114.0508294 51.0471897)))"
607 519 RIVERFRONT AV SE,Residential,DOWNTOWN EAST VILLAGE,CC-EMU,"MULTIPOLYGON (((-114.0508294 51.0471897, -114.0507625 51.0472282, -114.0507254 51.0477468, -114.0507247 51.0477578, -114.0507189 51.0478395, -114.0516039 51.0479956, -114.0517838 51.0480273, -114.0518369 51.0472911, -114.0518421 51.0472187, -114.0518227 51.0472181, -114.0508294 51.0471897)))"
608 519 RIVERFRONT AV SE,Residential,DOWNTOWN EAST VILLAGE,CC-EMU,"MULTIPOLYGON (((-114.0508294 51.0471897, -114.0507625 51.0472282, -114.0507254 51.0477468, -114.0507247 51.0477578, -114.0507189 51.0478395, -114.0516039 51.0479956, -114.0517838 51.0480273, -114.0518369 51.0472911, -114.0518421 51.0472187, -114.0518227 51.0472181, -114.0508294 51.0471897)))"
701 519 RIVERFRONT AV SE,Residential,DOWNTOWN EAST VILLAGE,CC-EMU,"MULTIPOLYGON (((-114.0508294 51.0471897, -114.0507625 51.0472282, -114.0507254 51.0477468, -114.0507247 51.0477578, -114.0507189 51.0478395, -114.0516039 51.0479956, -114.0517838 51.0480273, -114.0518369 51.0472911, -114.0518421 51.0472187, -114.0518227 51.0472181, -114.0508294 51.0471897)))"
702 519 RIVERFRONT AV SE,Residential,DOWNTOWN EAST VILLAGE,CC-EMU,"MULTIPOLYGON (((-114.0508294 51.0471897, -114.0507625 51.0472282, -114.0507254 51.0477468, -114.0507247 51.0477578, -114.0507189 51.0478395, -114.0516039 51.0479956, -114.0517838 51.0480273, -114.0518369 51.0472911, -114.0518421 51.0472187, -114.0518227 51.0472181, -114.0508294 51.0471897)))"
703 519 RIVERFRONT AV SE,Residential,DOWNTOWN EAST VILLAGE,CC-EMU,"MULTIPOLYGON (((-114.0508294 51.0471897, -114.0507625 51.0472282, -114.0507254 51.0477468, -114.0507247 51.0477578, -114.0507189 51.0478395, -114.0516039 51.0479956, -114.0517838 51.0480273, -114.0518369 51.0472911, -114.0518421 51.0472187, -114.0518227 51.0472181, -114.0508294 51.0471897)))"
704 519 RIVERFRONT AV SE,Residential,DOWNTOWN EAST VILLAGE,CC-EMU,"MULTIPOLYGON (((-114.0508294 51.0471897, -114.0507625 51.0472282, -114.0507254 51.0477468, -114.0507247 51.0477578, -114.0507189 51.0478395, -114.0516039 51.0479956, -114.0517838 51.0480273, -114.0518369 51.0472911, -114.0518421 51.0472187, -114.0518227 51.0472181, -114.0508294 51.0471897)))"
705 519 RIVERFRONT AV SE,Residential,DOWNTOWN EAST VILLAGE,CC-EMU,"MULTIPOLYGON (((-114.0508294 51.0471897, -114.0507625 51.0472282, -114.0507254 51.0477468, -114.0507247 51.0477578, -114.0507189 51.0478395, -114.0516039 51.0479956, -114.0517838 51.0480273, -114.0518369 51.0472911, -114.0518421 51.0472187, -114.0518227 51.0472181, -114.0508294 51.0471897)))"
706 519 RIVERFRONT AV SE,Residential,DOWNTOWN EAST VILLAGE,CC-EMU,"MULTIPOLYGON (((-114.0508294 51.0471897, -114.0507625 51.0472282, -114.0507254 51.0477468, -114.0507247 51.0477578, -114.0507189 51.0478395, -114.0516039 51.0479956, -114.0517838 51.0480273, -114.0518369 51.0472911, -114.0518421 51.0472187, -114.0518227 51.0472181, -114.0508294 51.0471897)))"
707 519 RIVERFRONT AV SE,Residential,DOWNTOWN EAST VILLAGE,CC-EMU,"MULTIPOLYGON (((-114.0508294 51.0471897, -114.0507625 51.0472282, -114.0507254 51.0477468, -114.0507247 51.0477578, -114.0507189 51.0478395, -114.0516039 51.0479956, -114.0517838 51.0480273, -114.0518369 51.0472911, -114.0518421 51.0472187, -114.0518227 51.0472181, -114.0508294 51.0471897)))"
708 519 RIVERFRONT AV SE,Residential,DOWNTOWN EAST VILLAGE,CC-EMU,"MULTIPOLYGON (((-114.0508294 51.0471897, -114.0507625 51.0472282, -114.0507254 51.0477468, -114.0507247 51.0477578, -114.0507189 51.0478395, -114.0516039 51.0479956, -114.0517838 51.0480273, -114.0518369 51.0472911, -114.0518421 51.0472187, -114.0518227 51.0472181, -114.0508294 51.0471897)))"
801 519 RIVERFRONT AV SE,Residential,DOWNTOWN EAST VILLAGE,CC-EMU,"MULTIPOLYGON (((-114.0508294 51.0471897, -114.0507625 51.0472282, -114.0507254 51.0477468, -114.0507247 51.0477578, -114.0507189 51.0478395, -114.0516039 51.0479956, -114.0517838 51.0480273, -114.0518369 51.0472911, -114.0518421 51.0472187, -114.0518227 51.0472181, -114.0508294 51.0471897)))"
802 519 RIVERFRONT AV SE,Residential,DOWNTOWN EAST VILLAGE,CC-EMU,"MULTIPOLYGON (((-114.0508294 51.0471897, -114.0507625 51.0472282, -114.0507254 51.0477468, -114.0507247 51.0477578, -114.0507189 51.0478395, -114.0516039 51.0479956, -114.0517838 51.0480273, -114.0518369 51.0472911, -114.0518421 51.0472187, -114.0518227 51.0472181, -114.0508294 51.0471897)))"
803 519 RIVERFRONT AV SE,Residential,DOWNTOWN EAST VILLAGE,CC-EMU,"MULTIPOLYGON (((-114.0508294 51.0471897, -114.0507625 51.0472282, -114.0507254 51.0477468, -114.0507247 51.0477578, -114.0507189 51.0478395, -114.0516039 51.0479956, -114.0517838 51.0480273, -114.0518369 51.0472911, -114.0518421 51.0472187, -114.0518227 51.0472181, -114.0508294 51.0471897)))"
804 519 RIVERFRONT AV SE,Residential,DOWNTOWN EAST VILLAGE,CC-EMU,"MULTIPOLYGON (((-114.0508294 51.0471897, -114.0507625 51.0472282, -114.0507254 51.0477468, -114.0507247 51.0477578, -114.0507189 51.0478395, -114.0516039 51.0479956, -114.0517838 51.0480273, -114.0518369 51.0472911, -114.0518421 51.0472187, -114.0518227 51.0472181, -114.0508294 51.0471897)))"
805 519 RIVERFRONT AV SE,Residential,DOWNTOWN EAST VILLAGE,CC-EMU,"MULTIPOLYGON (((-114.0508294 51.0471897, -114.0507625 51.0472282, -114.0507254 51.0477468, -114.0507247 51.0477578, -114.0507189 51.0478395, -114.0516039 51.0479956, -114.0517838 51.0480273, -114.0518369 51.0472911, -114.0518421 51.0472187, -114.0518227 51.0472181, -114.0508294 51.0471897)))"
806 519 RIVERFRONT AV SE,Residential,DOWNTOWN EAST VILLAGE,CC-EMU,"MULTIPOLYGON (((-114.0508294 51.0471897, -114.0507625 51.0472282, -114.0507254 51.0477468, -114.0507247 51.0477578, -114.0507189 51.0478395, -114.0516039 51.0479956, -114.0517838 51.0480273, -114.0518369 51.0472911, -114.0518421 51.0472187, -114.0518227 51.0472181, -114.0508294 51.0471897)))"
807 519 RIVERFRONT AV SE,Residential,DOWNTOWN EAST VILLAGE,CC-EMU,"MULTIPOLYGON (((-114.0508294 51.0471897, -114.0507625 51.0472282, -114.0507254 51.0477468, -114.0507247 51.0477578, -114.0507189 51.0478395, -114.0516039 51.0479956, -114.0517838 51.0480273, -114.0518369 51.0472911, -114.0518421 51.0472187, -114.0518227 51.0472181, -114.0508294 51.0471897)))"
808 519 RIVERFRONT AV SE,Residential,DOWNTOWN EAST VILLAGE,CC-EMU,"MULTIPOLYGON (((-114.0508294 51.0471897, -114.0507625 51.0472282, -114.0507254 51.0477468, -114.0507247 51.0477578, -114.0507189 51.0478395, -114.0516039 51.0479956, -114.0517838 51.0480273, -114.0518369 51.0472911, -114.0518421 51.0472187, -114.0518227 51.0472181, -114.0508294 51.0471897)))"
901 519 RIVERFRONT AV SE,Residential,DOWNTOWN EAST VILLAGE,CC-EMU,"MULTIPOLYGON (((-114.0508294 51.0471897, -114.0507625 51.0472282, -114.0507254 51.0477468, -114.0507247 51.0477578, -114.0507189 51.0478395, -114.0516039 51.0479956, -114.0517838 51.0480273, -114.0518369 51.0472911, -114.0518421 51.0472187, -114.0518227 51.0472181, -114.0508294 51.0471897)))"
902 519 RIVERFRONT AV SE,Residential,DOWNTOWN EAST VILLAGE,CC-EMU,"MULTIPOLYGON (((-114.0508294 51.0471897, -114.0507625 51.0472282, -114.0507254 51.0477468, -114.0507247 51.0477578, -114.0507189 51.0478395, -114.0516039 51.0479956, -114.0517838 51.0480273, -114.0518369 51.0472911, -114.0518421 51.0472187, -114.0518227 51.0472181, -114.0508294 51.0471897)))"
903 519 RIVERFRONT AV SE,Residential,DOWNTOWN EAST VILLAGE,CC-EMU,"MULTIPOLYGON (((-114.0508294 51.0471897, -114.0507625 51.0472282, -114.0507254 51.0477468, -114.0507247 51.0477578, -114.0507189 51.0478395, -114.0516039 51.0479956, -114.0517838 51.0480273, -114.0518369 51.0472911, -114.0518421 51.0472187, -114.0518227 51.0472181, -114.0508294 51.0471897)))"
904 519 RIVERFRONT AV SE,Residential,DOWNTOWN EAST VILLAGE,CC-EMU,"MULTIPOLYGON (((-114.0508294 51.0471897, -114.0507625 51.0472282, -114.0507254 51.0477468, -114.0507247 51.0477578, -114.0507189 51.0478395, -114.0516039 51.0479956, -114.0517838 51.0480273, -114.0518369 51.0472911, -114.0518421 51.0472187, -114.0518227 51.0472181, -114.0508294 51.0471897)))"
905 519 RIVERFRONT AV SE,Residential,DOWNTOWN EAST VILLAGE,CC-EMU,"MULTIPOLYGON (((-114.0508294 51.0471897, -114.0507625 51.0472282, -114.0507254 51.0477468, -114.0507247 51.0477578, -114.0507189 51.0478395, -114.0516039 51.0479956, -114.0517838 51.0480273, -114.0518369 51.0472911, -114.0518421 51.0472187, -114.0518227 51.0472181, -114.0508294 51.0471897)))"
906 519 RIVERFRONT AV SE,Residential,DOWNTOWN EAST VILLAGE,CC-EMU,"MULTIPOLYGON (((-114.0508294 51.0471897, -114.0507625 51.0472282, -114.0507254 51.0477468, -114.0507247 51.0477578, -114.0507189 51.0478395, -114.0516039 51.0479956, -114.0517838 51.0480273, -114.0518369 51.0472911, -114.0518421 51.0472187, -114.0518227 51.0472181, -114.0508294 51.0471897)))"
907 519 RIVERFRONT AV SE,Residential,DOWNTOWN EAST VILLAGE,CC-EMU,"MULTIPOLYGON (((-114.0508294 51.0471897, -114.0507625 51.0472282, -114.0507254 51.0477468, -114.0507247 51.0477578, -114.0507189 51.0478395, -114.0516039 51.0479956, -114.0517838 51.0480273, -114.0518369 51.0472911, -114.0518421 51.0472187, -114.0518227 51.0472181, -114.0508294 51.0471897)))"
908 519 RIVERFRONT AV SE,Residential,DOWNTOWN EAST VILLAGE,CC-EMU,"MULTIPOLYGON (((-114.0508294 51.0471897, -114.0507625 51.0472282, -114.0507254 51.0477468, -114.0507247 51.0477578, -114.0507189 51.0478395, -114.0516039 51.0479956, -114.0517838 51.0480273, -114.0518369 51.0472911, -114.0518421 51.0472187, -114.0518227 51.0472181, -114.0508294 51.0471897)))"
1001 519 RIVERFRONT AV SE,Residential,DOWNTOWN EAST VILLAGE,CC-EMU,"MULTIPOLYGON (((-114.0508294 51.0471897, -114.0507625 51.0472282, -114.0507254 51.0477468, -114.0507247 51.0477578, -114.0507189 51.0478395, -114.0516039 51.0479956, -114.0517838 51.0480273, -114.0518369 51.0472911, -114.0518421 51.0472187, -114.0518227 51.0472181, -114.0508294 51.0471897)))"
