ADDRESS,ASSESSMENT_CLASS_DESCRIPTION,COMM_NAME,LAND_USE_DESIGNATION,MULTIPOLYGON
12 DOUGLAS RANGE RD SE,Non-Residential,DOUGLASDALE/GLEN,"S-R,S-UN","MULTIPOLYGON (((-114.0118278 50.9423986, -114.0115193 50.9425652, -114.0105198 50.9440509, -114.0106124 50.9441432, -114.0107065 50.944237, -114.0109544 50.9444841, -114.0110528 50.9445821, -114.0111062 50.9446353, -114.0111877 50.9447165, -114.0113271 50.9448554, -114.0113624 50.9448906, -114.0114569 50.9449848, -114.0115868 50.9451142, -114.0116753 50.9452024, -114.0122267 50.9457518, -114.0123262 50.9458644, -114.0125029 50.9460644, -114.0125524 50.9461204, -114.0130658 50.9467012, -114.0131628 50.9468108, -114.0135418 50.9466209, -114.0137499 50.9465166, -114.0137666 50.9465075, -114.0137819 50.9464975, -114.0137958 50.9464867, -114.0138083 50.9464753, -114.0138191 50.9464631, -114.0138282 50.9464505, -114.0138355 50.9464374, -114.0138411 50.946424, -114.013849 50.9464065, -114.0138606 50.9463899, -114.0138756 50.9463745, -114.0138937 50.9463604, -114.0139131 50.9463488, -114.0139347 50.9463388, -114.0139582 50.9463306, -114.013983 50.9463243, -114.0140151 50.9463193, -114.014048 50.9463176, -114.0140809 50.946319, -114.0141131 50.9463237, -114.0141474 50.9463325, -114.0141788 50.946345, -114.014199 50.9463561, -114.0142169 50.9463686, -114.0183933 50.9489528, -114.0183923 50.9492396, -114.0183886 50.9503155, -114.0183885 50.9503606, -114.018388 50.9504965, -114.0183879 50.9505415, -114.0190708 50.9505421, -114.0192582 50.9505423, -114.0194122 50.9505424, -114.0197455 50.9505426, -114.0197684 50.9505426, -114.0198964 50.9505428, -114.0200626 50.9505431, -114.0201255 50.9505433, -114.0202484 50.9503625, -114.0202844 50.9503096, -114.0204765 50.9500985, -114.0204972 50.9500758, -114.0206016 50.9499694, -114.0207221 50.9498466, -114.0207439 50.9498151, -114.020744 50.9498149, -114.0207451 50.9498134, -114.0209053 50.9495817, -114.0209747 50.9494423, -114.0209788 50.9493817, -114.020993 50.9491721, -114.0208904 50.9489046, -114.020865 50.9488762, -114.0206914 50.9487382, -114.020364 50.9485617, -114.020079 50.948361, -114.0198098 50.9481514, -114.0194911 50.9479627, -114.0193436 50.9478613, -114.0189838 50.9477143, -114.0187246 50.9475241, -114.0184364 50.9472931, -114.0181495 50.9470811, -114.0179794 50.9469628, -114.0177054 50.9467546, -114.0174044 50.9465611, -114.0171888 50.9464254, -114.0168794 50.9462397, -114.0165687 50.9460661, -114.0164331 50.9459899, -114.0161176 50.9458059, -114.0158519 50.945604, -114.0156365 50.9453957, -114.0154025 50.9451702, -114.0151944 50.9449337, -114.0151864 50.9449254, -114.0149765 50.944772, -114.0147071 50.9445628, -114.0143561 50.944397, -114.0140813 50.9441907, -114.013861 50.9439555, -114.0135822 50.9437577, -114.0135056 50.943693, -114.0132496 50.9434773, -114.0129857 50.9432652, -114.0128857 50.9431892, -114.0127125 50.9430574, -114.0125855 50.9429503, -114.0125256 50.9428998, -114.0124566 50.9428416, -114.012354 50.9427625, -114.0122678 50.942696, -114.0122341 50.9426701, -114.0121901 50.9426362, -114.0121857 50.9426327, -114.0121608 50.9426105, -114.0120813 50.9425396, -114.0120571 50.942518, -114.0119863 50.9424549, -114.011939 50.9424127, -114.0118545 50.9423842, -114.0118278 50.9423986)))"
14660 PARKLAND BV SE,Non-Residential,PARKLAND,"S-R,S-UN","MULTIPOLYGON (((-114.0254138 50.9185835, -114.025395 50.918502, -114.0253739 50.9184208, -114.0253471 50.9183281, -114.0253174 50.9182358, -114.0252847 50.9181439, -114.0252491 50.9180524, -114.0252106 50.9179614, -114.0251692 50.9178709, -114.0251249 50.9177809, -114.0250778 50.9176915, -114.0250464 50.917636, -114.0250129 50.917581, -114.0249775 50.9175265, -114.0249401 50.9174725, -114.0249008 50.917419, -114.0248595 50.9173662, -114.0248163 50.9173139, -114.0247712 50.9172623, -114.0243248 50.9167652, -114.0206001 50.9184194, -114.020546 50.9184454, -114.0204951 50.9184739, -114.0204477 50.9185047, -114.0204041 50.9185376, -114.0203646 50.9185726, -114.0203292 50.9186092, -114.0202984 50.9186475, -114.0202721 50.918687, -114.0202567 50.9187151, -114.0202436 50.9187436, -114.0202328 50.9187724, -114.0202244 50.9188016, -114.0202184 50.9188311, -114.0202148 50.9188606, -114.0202136 50.9188903, -114.0202149 50.9189199, -114.0202186 50.9189495, -114.0202246 50.9189789, -114.0202331 50.9190081, -114.0202439 50.919037, -114.0202571 50.9190655, -114.0202726 50.9190935, -114.0202903 50.919121, -114.0203103 50.9191478, -114.0205903 50.9195004, -114.020664 50.9195909, -114.0207406 50.9196804, -114.0208201 50.9197689, -114.0209025 50.9198563, -114.0209878 50.9199426, -114.0210758 50.9200279, -114.0211666 50.9201119, -114.0212602 50.9201948, -114.0213564 50.9202764, -114.0214553 50.9203568, -114.0215567 50.9204358, -114.0216608 50.9205136, -114.0217673 50.9205899, -114.0218763 50.9206649, -114.0219878 50.9207384, -114.0221016 50.9208105, -114.0226411 50.9211451, -114.022787 50.9212359, -114.0227514 50.921039, -114.0225602 50.9199812, -114.0230765 50.9198763, -114.0234738 50.9197959, -114.0232159 50.9192887, -114.0235291 50.9191496, -114.0239297 50.9189717, -114.0239818 50.9189486, -114.0244005 50.9187627, -114.0245085 50.9187147, -114.0246488 50.9186524, -114.0254138 50.9185835)))"
14660 PARKLAND BV SE,Non-Residential,PARKLAND,"S-R,S-UN","MULTIPOLYGON (((-114.0254138 50.9185835, -114.025395 50.918502, -114.0253739 50.9184208, -114.0253471 50.9183281, -114.0253174 50.9182358, -114.0252847 50.9181439, -114.0252491 50.9180524, -114.0252106 50.9179614, -114.0251692 50.9178709, -114.0251249 50.9177809, -114.0250778 50.9176915, -114.0250464 50.917636, -114.0250129 50.917581, -114.0249775 50.9175265, -114.0249401 50.9174725, -114.0249008 50.917419, -114.0248595 50.9173662, -114.0248163 50.9173139, -114.0247712 50.9172623, -114.0243248 50.9167652, -114.0206001 50.9184194, -114.020546 50.9184454, -114.0204951 50.9184739, -114.0204477 50.9185047, -114.0204041 50.9185376, -114.0203646 50.9185726, -114.0203292 50.9186092, -114.0202984 50.9186475, -114.0202721 50.918687, -114.0202567 50.9187151, -114.0202436 50.9187436, -114.0202328 50.9187724, -114.0202244 50.9188016, -114.0202184 50.9188311, -114.0202148 50.9188606, -114.0202136 50.9188903, -114.0202149 50.9189199, -114.0202186 50.9189495, -114.0202246 50.9189789, -114.0202331 50.9190081, -114.0202439 50.919037, -114.0202571 50.9190655, -114.0202726 50.9190935, -114.0202903 50.919121, -114.0203103 50.9191478, -114.0205903 50.9195004, -114.020664 50.9195909, -114.0207406 50.9196804, -114.0208201 50.9197689, -114.0209025 50.9198563, -114.0209878 50.9199426, -114.0210758 50.9200279, -114.0211666 50.9201119, -114.0212602 50.9201948, -114.0213564 50.9202764, -114.0214553 50.9203568, -114.0215567 50.9204358, -114.0216608 50.9205136, -114.0217673 50.9205899, -114.0218763 50.9206649, -114.0219878 50.9207384, -114.0221016 50.9208105, -114.0226411 50.9211451, -114.022787 50.9212359, -114.0227514 50.921039, -114.0225602 50.9199812, -114.0230765 50.9198763, -114.0234738 50.9197959, -114.0232159 50.9192887, -114.0235291 50.9191496, -114.0239297 50.9189717, -114.0239818 50.9189486, -114.0244005 50.9187627, -114.0245085 50.9187147, -114.0246488 50.9186524, -114.0254138 50.9185835)))"
11701 VALLEY RIDGE BV NW,Non-Residential,VALLEY RIDGE,"S-R,S-UN","MULTIPOLYGON (((-114.2573426 51.0978008, -114.2574235 51.0978124, -114.2575234 51.097826, -114.2576377 51.0978407, -114.2576335 51.0961416, -114.2576338 51.095962, -114.2576342 51.0956295, -114.257527 51.0956162, -114.257427 51.0956037, -114.2573473 51.0955923, -114.2569566 51.0955945, -114.2566733 51.09562, -114.2566556 51.095667, -114.2566422 51.0957033, -114.2566315 51.0957399, -114.2566235 51.0957768, -114.2566182 51.0958138, -114.2566156 51.095851, -114.2566158 51.0958882, -114.2566186 51.0959254, -114.2566241 51.0959625, -114.2566349 51.0960085, -114.2566498 51.0960541, -114.2566689 51.0960991, -114.2566921 51.0961433, -114.2567157 51.0961813, -114.2567423 51.0962186, -114.2567719 51.0962549, -114.2568044 51.0962903, -114.2570235 51.0965156, -114.2573448 51.0967492, -114.2573426 51.0978008)))"
41 NOLAN HILL DR NW,Non-Residential,NOLAN HILL,"S-R,S-UN","MULTIPOLYGON (((-114.1608694 51.170489, -114.1608684 51.1707238, -114.1608839 51.1707264, -114.1608998 51.170728, -114.1609158 51.1707286, -114.1609318 51.1707281, -114.1609477 51.1707267, -114.1609632 51.1707243, -114.1609783 51.1707209, -114.1609928 51.1707166, -114.1610065 51.1707114, -114.1610193 51.1707053, -114.1610311 51.1706985, -114.1610418 51.170691, -114.1610511 51.1706828, -114.1610592 51.1706741, -114.1610658 51.170665, -114.1610709 51.1706555, -114.1608694 51.170489)))"
11618 VALLEY RIDGE PA NW,Non-Residential,VALLEY RIDGE,"S-R,S-UN","MULTIPOLYGON (((-114.2571289 51.1007304, -114.2572768 51.1009963, -114.25758 51.1010463, -114.2576247 51.1010536, -114.2576247 51.10105, -114.2576245 51.1009504, -114.2576249 51.1009391, -114.2576264 51.1000955, -114.2576271 51.0998001, -114.2576272 51.0997461, -114.2576277 51.0994735, -114.257628 51.0993216, -114.2576292 51.0986671, -114.2576294 51.0985756, -114.2576294 51.0985093, -114.2576294 51.0985043, -114.2576301 51.0981278, -114.2576302 51.0980959, -114.2575229 51.0980831, -114.257423 51.0980703, -114.2573421 51.0980593, -114.2573421 51.0980542, -114.2573144 51.0980503, -114.2573143 51.0980825, -114.2573136 51.0985192, -114.2573135 51.0985793, -114.2573135 51.0985867, -114.2572925 51.0985875, -114.2571424 51.098593, -114.2565878 51.0986125, -114.2557835 51.0984989, -114.2557164 51.0985846, -114.2557031 51.0986032, -114.2556921 51.0986224, -114.2556835 51.0986421, -114.2556772 51.0986621, -114.2556733 51.0986824, -114.2556719 51.0987027, -114.255673 51.0987231, -114.2556765 51.0987434, -114.2556787 51.0987643, -114.2556758 51.0987852, -114.2556678 51.0988055, -114.2556548 51.0988249, -114.255641 51.0988394, -114.2556244 51.0988528, -114.2556052 51.0988647, -114.2555838 51.098875, -114.2555668 51.0988815, -114.255549 51.098887, -114.2555304 51.0988914, -114.2555112 51.0988946, -114.2554916 51.0988968, -114.2554718 51.0988978, -114.2554519 51.0988977, -114.2554322 51.0988963, -114.2554127 51.0988939, -114.2553937 51.0988903, -114.2553752 51.0988856, -114.2553576 51.0988799, -114.2553409 51.0988732, -114.2553252 51.0988655, -114.2553107 51.0988569, -114.2552976 51.0988476, -114.2552812 51.0988328, -114.2552707 51.0988203, -114.2552622 51.0988072, -114.255256 51.0987936, -114.2552521 51.0987797, -114.2552505 51.0987648, -114.2552517 51.0987489, -114.2552558 51.0987332, -114.2552629 51.0987179, -114.2552728 51.0987032, -114.2553263 51.0986347, -114.2551467 51.0985746, -114.2547775 51.0984511, -114.2541618 51.0986055, -114.2540486 51.0982695, -114.2527332 51.0981568, -114.2526083 51.0981462, -114.2525682 51.0981428, -114.2507994 51.0980531, -114.2496998 51.098085, -114.2493846 51.0979969, -114.2488436 51.0980967, -114.2484758 51.0980586, -114.2481753 51.0980275, -114.248127 51.0980099, -114.2479755 51.0979549, -114.2479119 51.0979318, -114.2479112 51.0979315, -114.2478018 51.0978918, -114.2477487 51.0978725, -114.2477322 51.0978665, -114.2476818 51.0980296, -114.2476564 51.098112, -114.2476509 51.0981297, -114.2476409 51.0981621, -114.2476136 51.0982504, -114.2475773 51.098368, -114.2475568 51.0984342, -114.2475512 51.0984523, -114.247532 51.0985144, -114.2473984 51.0984853, -114.2473287 51.0984701, -114.2459671 51.0981733, -114.2459466 51.0981688, -114.2459291 51.0981609, -114.2458686 51.0981333, -114.245255 51.0981822, -114.2455139 51.0982904, -114.2458683 51.0984386, -114.2469731 51.0987643, -114.2472843 51.0988553, -114.2476017 51.0989479, -114.2483556 51.0991337, -114.2483556 51.0991338, -114.2484532 51.0991578, -114.248495 51.0991681, -114.2487177 51.0992231, -114.2489835 51.0992887, -114.2504588 51.0995965, -114.2516598 51.0995439, -114.2522286 51.0995503, -114.252888 51.0996009, -114.2533241 51.0997009, -114.253405 51.0997195, -114.2538339 51.0998178, -114.2547282 51.100153, -114.2548354 51.1001677, -114.2552389 51.1002227, -114.2552394 51.1002228, -114.2553287 51.100235, -114.2553919 51.1002436, -114.2554053 51.1002455, -114.2554668 51.1002539, -114.255491 51.1002571, -114.2557245 51.100289, -114.255915 51.1002879, -114.2564121 51.1003603, -114.2564128 51.1003604, -114.2565458 51.1003797, -114.2565597 51.1003863, -114.2567232 51.1004648, -114.2571289 51.1007304)))"
9000 149 ST NW,Non-Residential,HASKAYNE,"S-R,S-UN","MULTIPOLYGON (((-114.293724 51.1365554, -114.2945435 51.13703, -114.2946505 51.1371165, -114.2952978 51.1376396, -114.2953808 51.1377248, -114.2968565 51.1382523, -114.2968557 51.1385263, -114.2968539 51.1391312, -114.2955517 51.1391297, -114.295426 51.1392055, -114.2954247 51.1396328, -114.3037698 51.1396386, -114.3037764 51.1329776, -114.3031012 51.132414, -114.3029371 51.1322769, -114.2955971 51.1261488, -114.2926884 51.1310214, -114.2899337 51.1324071, -114.2896629 51.132544, -114.2908902 51.1342016, -114.2918319 51.1356626, -114.2917995 51.135798, -114.2927994 51.1361542, -114.293724 51.1365554)))"
9000 149 ST NW,Farm Land,HASKAYNE,"S-R,S-UN","MULTIPOLYGON (((-114.293724 51.1365554, -114.2945435 51.13703, -114.2946505 51.1371165, -114.2952978 51.1376396, -114.2953808 51.1377248, -114.2968565 51.1382523, -114.2968557 51.1385263, -114.2968539 51.1391312, -114.2955517 51.1391297, -114.295426 51.1392055, -114.2954247 51.1396328, -114.3037698 51.1396386, -114.3037764 51.1329776, -114.3031012 51.132414, -114.3029371 51.1322769, -114.2955971 51.1261488, -114.2926884 51.1310214, -114.2899337 51.1324071, -114.2896629 51.132544, -114.2908902 51.1342016, -114.2918319 51.1356626, -114.2917995 51.135798, -114.2927994 51.1361542, -114.293724 51.1365554)))"
9000 149 ST NW,Farm Land,HASKAYNE,"S-R,S-UN","MULTIPOLYGON (((-114.293724 51.1365554, -114.2945435 51.13703, -114.2946505 51.1371165, -114.2952978 51.1376396, -114.2953808 51.1377248, -114.2968565 51.1382523, -114.2968557 51.1385263, -114.2968539 51.1391312, -114.2955517 51.1391297, -114.295426 51.1392055, -114.2954247 51.1396328, -114.3037698 51.1396386, -114.3037764 51.1329776, -114.3031012 51.132414, -114.3029371 51.1322769, -114.2955971 51.1261488, -114.2926884 51.1310214, -114.2899337 51.1324071, -114.2896629 51.132544, -114.2908902 51.1342016, -114.2918319 51.1356626, -114.2917995 51.135798, -114.2927994 51.1361542, -114.293724 51.1365554)))"
9000 149 ST NW,Non-Residential,HASKAYNE,"S-R,S-UN","MULTIPOLYGON (((-114.2955954 51.1252369, -114.295823 51.125427, -114.3037772 51.1320689, -114.3037819 51.1263418, -114.3009052 51.1252343, -114.295963 51.1252367, -114.2955954 51.1252369)))"
