ADDRESS,ASSESSMENT_CLASS_DESCRIPTION,COMM_NAME,LAND_USE_DESIGNATION,MULTIPOLYGON
12 12625 24 ST SW,Residential,WOODBINE,M-CG,"MULTIPOLYGON (((-114.1182455 50.9399814, -114.119625 50.9399821, -114.1196271 50.9385211, -114.1189571 50.938521, -114.118957 50.9386199, -114.1185089 50.9386199, -114.1184718 50.9386219, -114.1184359 50.938628, -114.1184021 50.938638, -114.1183717 50.9386514, -114.1183454 50.938668, -114.118324 50.9386873, -114.1183083 50.9387085, -114.1182987 50.9387312, -114.1182457 50.9389209, -114.1182455 50.9399814)))"
13 12625 24 ST SW,Residential,WOODBINE,M-CG,"MULTIPOLYGON (((-114.1182455 50.9399814, -114.119625 50.9399821, -114.1196271 50.9385211, -114.1189571 50.938521, -114.118957 50.9386199, -114.1185089 50.9386199, -114.1184718 50.9386219, -114.1184359 50.938628, -114.1184021 50.938638, -114.1183717 50.9386514, -114.1183454 50.938668, -114.118324 50.9386873, -114.1183083 50.9387085, -114.1182987 50.9387312, -114.1182457 50.9389209, -114.1182455 50.9399814)))"
14 12625 24 ST SW,Residential,WOODBINE,M-CG,"MULTIPOLYGON (((-114.1182455 50.9399814, -114.119625 50.9399821, -114.1196271 50.9385211, -114.1189571 50.938521, -114.118957 50.9386199, -114.1185089 50.9386199, -114.1184718 50.9386219, -114.1184359 50.938628, -114.1184021 50.938638, -114.1183717 50.9386514, -114.1183454 50.938668, -114.118324 50.9386873, -114.1183083 50.9387085, -114.1182987 50.9387312, -114.1182457 50.9389209, -114.1182455 50.9399814)))"
15 12625 24 ST SW,Residential,WOODBINE,M-CG,"MULTIPOLYGON (((-114.1182455 50.9399814, -114.119625 50.9399821, -114.1196271 50.9385211, -114.1189571 50.938521, -114.118957 50.9386199, -114.1185089 50.9386199, -114.1184718 50.9386219, -114.1184359 50.938628, -114.1184021 50.938638, -114.1183717 50.9386514, -114.1183454 50.938668, -114.118324 50.9386873, -114.1183083 50.9387085, -114.1182987 50.9387312, -114.1182457 50.9389209, -114.1182455 50.9399814)))"
16 12625 24 ST SW,Residential,WOODBINE,M-CG,"MULTIPOLYGON (((-114.1182455 50.9399814, -114.119625 50.9399821, -114.1196271 50.9385211, -114.1189571 50.938521, -114.118957 50.9386199, -114.1185089 50.9386199, -114.1184718 50.9386219, -114.1184359 50.938628, -114.1184021 50.938638, -114.1183717 50.9386514, -114.1183454 50.938668, -114.118324 50.9386873, -114.1183083 50.9387085, -114.1182987 50.9387312, -114.1182457 50.9389209, -114.1182455 50.9399814)))"
17 12625 24 ST SW,Residential,WOODBINE,M-CG,"MULTIPOLYGON (((-114.1182455 50.9399814, -114.119625 50.9399821, -114.1196271 50.9385211, -114.1189571 50.938521, -114.118957 50.9386199, -114.1185089 50.9386199, -114.1184718 50.9386219, -114.1184359 50.938628, -114.1184021 50.938638, -114.1183717 50.9386514, -114.1183454 50.938668, -114.118324 50.9386873, -114.1183083 50.9387085, -114.1182987 50.9387312, -114.1182457 50.9389209, -114.1182455 50.9399814)))"
18 12625 24 ST SW,Residential,WOODBINE,M-CG,"MULTIPOLYGON (((-114.1182455 50.9399814, -114.119625 50.9399821, -114.1196271 50.9385211, -114.1189571 50.938521, -114.118957 50.9386199, -114.1185089 50.9386199, -114.1184718 50.9386219, -114.1184359 50.938628, -114.1184021 50.938638, -114.1183717 50.9386514, -114.1183454 50.938668, -114.118324 50.9386873, -114.1183083 50.9387085, -114.1182987 50.9387312, -114.1182457 50.9389209, -114.1182455 50.9399814)))"
19 12625 24 ST SW,Residential,WOODBINE,M-CG,"MULTIPOLYGON (((-114.1182455 50.9399814, -114.119625 50.9399821, -114.1196271 50.9385211, -114.1189571 50.938521, -114.118957 50.9386199, -114.1185089 50.9386199, -114.1184718 50.9386219, -114.1184359 50.938628, -114.1184021 50.938638, -114.1183717 50.9386514, -114.1183454 50.938668, -114.118324 50.9386873, -114.1183083 50.9387085, -114.1182987 50.9387312, -114.1182457 50.9389209, -114.1182455 50.9399814)))"
20 12625 24 ST SW,Residential,WOODBINE,M-CG,"MULTIPOLYGON (((-114.1182455 50.9399814, -114.119625 50.9399821, -114.1196271 50.9385211, -114.1189571 50.938521, -114.118957 50.9386199, -114.1185089 50.9386199, -114.1184718 50.9386219, -114.1184359 50.938628, -114.1184021 50.938638, -114.1183717 50.9386514, -114.1183454 50.938668, -114.118324 50.9386873, -114.1183083 50.9387085, -114.1182987 50.9387312, -114.1182457 50.9389209, -114.1182455 50.9399814)))"
21 12625 24 ST SW,Residential,WOODBINE,M-CG,"MULTIPOLYGON (((-114.1182455 50.9399814, -114.119625 50.9399821, -114.1196271 50.9385211, -114.1189571 50.938521, -114.118957 50.9386199, -114.1185089 50.9386199, -114.1184718 50.9386219, -114.1184359 50.938628, -114.1184021 50.938638, -114.1183717 50.9386514, -114.1183454 50.938668, -114.118324 50.9386873, -114.1183083 50.9387085, -114.1182987 50.9387312, -114.1182457 50.9389209, -114.1182455 50.9399814)))"
22 12625 24 ST SW,Residential,WOODBINE,M-CG,"MULTIPOLYGON (((-114.1182455 50.9399814, -114.119625 50.9399821, -114.1196271 50.9385211, -114.1189571 50.938521, -114.118957 50.9386199, -114.1185089 50.9386199, -114.1184718 50.9386219, -114.1184359 50.938628, -114.1184021 50.938638, -114.1183717 50.9386514, -114.1183454 50.938668, -114.118324 50.9386873, -114.1183083 50.9387085, -114.1182987 50.9387312, -114.1182457 50.9389209, -114.1182455 50.9399814)))"
23 12625 24 ST SW,Residential,WOODBINE,M-CG,"MULTIPOLYGON (((-114.1182455 50.9399814, -114.119625 50.9399821, -114.1196271 50.9385211, -114.1189571 50.938521, -114.118957 50.9386199, -114.1185089 50.9386199, -114.1184718 50.9386219, -114.1184359 50.938628, -114.1184021 50.938638, -114.1183717 50.9386514, -114.1183454 50.938668, -114.118324 50.9386873, -114.1183083 50.9387085, -114.1182987 50.9387312, -114.1182457 50.9389209, -114.1182455 50.9399814)))"
24 12625 24 ST SW,Residential,WOODBINE,M-CG,"MULTIPOLYGON (((-114.1182455 50.9399814, -114.119625 50.9399821, -114.1196271 50.9385211, -114.1189571 50.938521, -114.118957 50.9386199, -114.1185089 50.9386199, -114.1184718 50.9386219, -114.1184359 50.938628, -114.1184021 50.938638, -114.1183717 50.9386514, -114.1183454 50.938668, -114.118324 50.9386873, -114.1183083 50.9387085, -114.1182987 50.9387312, -114.1182457 50.9389209, -114.1182455 50.9399814)))"
25 12625 24 ST SW,Residential,WOODBINE,M-CG,"MULTIPOLYGON (((-114.1182455 50.9399814, -114.119625 50.9399821, -114.1196271 50.9385211, -114.1189571 50.938521, -114.118957 50.9386199, -114.1185089 50.9386199, -114.1184718 50.9386219, -114.1184359 50.938628, -114.1184021 50.938638, -114.1183717 50.9386514, -114.1183454 50.938668, -114.118324 50.9386873, -114.1183083 50.9387085, -114.1182987 50.9387312, -114.1182457 50.9389209, -114.1182455 50.9399814)))"
26 12625 24 ST SW,Residential,WOODBINE,M-CG,"MULTIPOLYGON (((-114.1182455 50.9399814, -114.119625 50.9399821, -114.1196271 50.9385211, -114.1189571 50.938521, -114.118957 50.9386199, -114.1185089 50.9386199, -114.1184718 50.9386219, -114.1184359 50.938628, -114.1184021 50.938638, -114.1183717 50.9386514, -114.1183454 50.938668, -114.118324 50.9386873, -114.1183083 50.9387085, -114.1182987 50.9387312, -114.1182457 50.9389209, -114.1182455 50.9399814)))"
27 12625 24 ST SW,Residential,WOODBINE,M-CG,"MULTIPOLYGON (((-114.1182455 50.9399814, -114.119625 50.9399821, -114.1196271 50.9385211, -114.1189571 50.938521, -114.118957 50.9386199, -114.1185089 50.9386199, -114.1184718 50.9386219, -114.1184359 50.938628, -114.1184021 50.938638, -114.1183717 50.9386514, -114.1183454 50.938668, -114.118324 50.9386873, -114.1183083 50.9387085, -114.1182987 50.9387312, -114.1182457 50.9389209, -114.1182455 50.9399814)))"
28 12625 24 ST SW,Residential,WOODBINE,M-CG,"MULTIPOLYGON (((-114.1182455 50.9399814, -114.119625 50.9399821, -114.1196271 50.9385211, -114.1189571 50.938521, -114.118957 50.9386199, -114.1185089 50.9386199, -114.1184718 50.9386219, -114.1184359 50.938628, -114.1184021 50.938638, -114.1183717 50.9386514, -114.1183454 50.938668, -114.118324 50.9386873, -114.1183083 50.9387085, -114.1182987 50.9387312, -114.1182457 50.9389209, -114.1182455 50.9399814)))"
