ADDRESS,ASSESSMENT_CLASS_DESCRIPTION,COMM_NAME,LAND_USE_DESIGNATION,MULTIPOLYGON
335 CANYON MEADOWS DR SE,Non-Residential,FISH CREEK PARK,"S-R,S-SPR","MULTIPOLYGON (((-114.0627986 50.9300426, -114.0632844 50.9300138, -114.0634424 50.9300053, -114.0636005 50.9299987, -114.0637588 50.9299938, -114.0639173 50.9299908, -114.0640758 50.9299896, -114.0642342 50.9299902, -114.0643927 50.9299926, -114.0645511 50.9299968, -114.0647093 50.9300029, -114.0648673 50.9300108, -114.065025 50.9300205, -114.0651825 50.930032, -114.0653396 50.9300453, -114.0654963 50.9300604, -114.0656525 50.9300773, -114.0658082 50.930096, -114.0663523 50.9299272, -114.0664201 50.9299071, -114.0664889 50.9298887, -114.0665588 50.9298719, -114.0666297 50.9298568, -114.0667014 50.9298434, -114.0667739 50.9298317, -114.066847 50.9298217, -114.0669206 50.9298134, -114.067791 50.9297268, -114.0678532 50.92972, -114.067915 50.9297121, -114.0679764 50.9297031, -114.0680374 50.929693, -114.0680979 50.9296818, -114.0681579 50.9296694, -114.0682173 50.929656, -114.068276 50.9296415, -114.0677919 50.9296451, -114.0663897 50.9298953, -114.0651931 50.9298029, -114.0636281 50.92989, -114.0630838 50.9297056, -114.0627986 50.9300426)))"
45 SADDLETOWNE CI NE,Non-Residential,MARTINDALE,"S-R,S-SPR","MULTIPOLYGON (((-113.9480981 51.1210366, -113.9480981 51.1209881, -113.9472751 51.1209877, -113.9470295 51.1209876, -113.9470296 51.1211613, -113.9470296 51.1212539, -113.9470296 51.1212693, -113.9470296 51.1212694, -113.9470317 51.1212825, -113.9470378 51.1212951, -113.9470476 51.1213067, -113.9470609 51.1213168, -113.9470771 51.1213252, -113.9470955 51.1213314, -113.9471156 51.1213352, -113.9471364 51.1213366, -113.9471466 51.1213363, -113.9471465 51.1214261, -113.9471465 51.1214274, -113.9471459 51.1214813, -113.9471457 51.121498, -113.9471453 51.1215357, -113.9471454 51.1215388, -113.9471462 51.1216155, -113.9471234 51.1216314, -113.947105 51.1216495, -113.9470913 51.1216691, -113.9470827 51.1216898, -113.9470298 51.121879, -113.94703 51.1225975, -113.9470481 51.1226667, -113.9470694 51.1227355, -113.9470938 51.1228039, -113.9471214 51.1228719, -113.9471496 51.1229338, -113.9471802 51.1229954, -113.9472282 51.1230818, -113.9472813 51.1231669, -113.9473171 51.1232169, -113.9473577 51.1232653, -113.9474029 51.1233122, -113.9474525 51.1233572, -113.9475065 51.1234003, -113.9475645 51.1234412, -113.9476264 51.1234798, -113.9476919 51.123516, -113.9477442 51.1235431, -113.9477709 51.1235545, -113.9478004 51.1235625, -113.9478319 51.1235669, -113.9478641 51.1235675, -113.9478959 51.1235644, -113.9479262 51.1235575, -113.9479539 51.1235472, -113.947978 51.1235338, -113.9481606 51.1234118, -113.9482334 51.1233563, -113.9483103 51.123303, -113.948391 51.123252, -113.9484753 51.1232034, -113.9485632 51.1231573, -113.9486544 51.1231138, -113.9487487 51.123073, -113.9488459 51.123035, -113.9489458 51.1229999, -113.9490482 51.1229677, -113.9491529 51.1229385, -113.9492596 51.1229124, -113.9493681 51.1228895, -113.9494782 51.1228697, -113.9495897 51.1228531, -113.9497022 51.1228398, -113.949724 51.1228382, -113.949746 51.1228377, -113.949768 51.1228384, -113.9497898 51.1228403, -113.9498121 51.1228423, -113.9498345 51.122843, -113.9498569 51.1228424, -113.9498792 51.1228407, -113.9498962 51.1228388, -113.9500127 51.122825, -113.9501286 51.1228094, -113.9502438 51.1227918, -113.9503583 51.1227725, -113.9504601 51.1227536, -113.9505611 51.1227332, -113.9506614 51.1227114, -113.9507608 51.1226881, -113.9508594 51.1226634, -113.9509571 51.1226373, -113.9510537 51.1226098, -113.9511493 51.1225809, -113.9520215 51.1223097, -113.9521277 51.1222754, -113.9522323 51.1222391, -113.9523351 51.1222008, -113.9524361 51.1221606, -113.952535 51.1221186, -113.9526319 51.1220747, -113.9527267 51.122029, -113.9528192 51.1219815, -113.9529179 51.1219275, -113.952919 51.1219269, -113.9529763 51.1218938, -113.9530471 51.1218512, -113.9531161 51.1218074, -113.953137 51.1217938, -113.9527289 51.1215484, -113.9526636 51.1215091, -113.9526146 51.1214797, -113.9523644 51.1213292, -113.9521783 51.1212174, -113.9521742 51.1212148, -113.9521374 51.1211905, -113.9521039 51.1211644, -113.9520737 51.1211368, -113.9520471 51.1211077, -113.9520466 51.1211071, -113.9512919 51.1211068, -113.9507061 51.1210122, -113.9506705 51.1210072, -113.9506345 51.1210032, -113.9505983 51.1210005, -113.9505618 51.120999, -113.9505253 51.1209987, -113.9504889 51.1209995, -113.9504525 51.1210016, -113.9504164 51.1210049, -113.9503806 51.1210093, -113.9503452 51.1210149, -113.9503103 51.1210217, -113.950276 51.1210296, -113.9502425 51.1210387, -113.9502097 51.1210488, -113.9501779 51.12106, -113.950147 51.1210722, -113.9501171 51.1210854, -113.9500885 51.1210996, -113.950061 51.1211147, -113.9500349 51.1211307, -113.9500101 51.1211475, -113.9499867 51.1211651, -113.9499649 51.1211835, -113.9499446 51.1212025, -113.9499259 51.1212222, -113.9499089 51.1212425, -113.9498936 51.1212633, -113.9498801 51.1212846, -113.9498684 51.1213063, -113.9498585 51.1213283, -113.9498504 51.1213507, -113.9498442 51.1213733, -113.9498393 51.1214001, -113.949837 51.1214271, -113.9498378 51.1214592, -113.9498422 51.1214912, -113.9483202 51.1214905, -113.9483204 51.1213667, -113.9483204 51.1213124, -113.9483205 51.1212545, -113.9483206 51.1211619, -113.9483207 51.1210367, -113.9480981 51.1210366)))"
111 CHAPALA PT SE,Non-Residential,CHAPARRAL,"S-R,S-SPR","MULTIPOLYGON (((-114.0403681 50.8829067, -114.0402828 50.8828707, -114.0401995 50.8828329, -114.0401324 50.8828003, -114.0400442 50.8827557, -114.0398973 50.8826788, -114.0397529 50.8826001, -114.039611 50.8825195, -114.0394717 50.8824372, -114.039335 50.882353, -114.0392011 50.8822672, -114.03907 50.8821796, -114.0389997 50.8821313, -114.0389973 50.8821325, -114.0389665 50.8821079, -114.0389531 50.8821147, -114.0388686 50.8821574, -114.0388552 50.8821641, -114.0390191 50.8822768, -114.0390527 50.8822992, -114.0391014 50.8823326, -114.0391484 50.8823668, -114.0392162 50.8824206, -114.0392798 50.8824763, -114.0393465 50.8825414, -114.0394074 50.8826087, -114.0389571 50.8827618, -114.0389649 50.8827713, -114.0390095 50.8828291, -114.0390487 50.8828884, -114.0390825 50.8829491, -114.0391105 50.8830109, -114.0391149 50.8830216, -114.0394037 50.8829398, -114.0395428 50.8829005, -114.0396267 50.8828973, -114.0398428 50.882889, -114.0400095 50.8829285, -114.0403749 50.8830151, -114.0403749 50.8830652, -114.0403752 50.8833333, -114.0403754 50.8835868, -114.0403754 50.8835968, -114.0403776 50.883676, -114.0403841 50.8837551, -114.0403873 50.883782, -114.0404045 50.8837813, -114.040515 50.8837771, -114.0405059 50.8836807, -114.0405033 50.8835842, -114.0405074 50.8834878, -114.0405181 50.8833915, -114.0405353 50.8832956, -114.0405591 50.8832003, -114.0405893 50.8831057, -114.0406261 50.883012, -114.0406307 50.8830016, -114.0405636 50.8829795, -114.0404975 50.8829563, -114.0404323 50.882932, -114.0403681 50.8829067)))"
3 PANATELLA VW NW,Non-Residential,PANORAMA HILLS,"S-R,S-SPR","MULTIPOLYGON (((-114.0770787 51.1670834, -114.0769796 51.1670592, -114.0766446 51.1669772, -114.0764822 51.1669372, -114.0764287 51.1669243, -114.0763757 51.1669111, -114.0762119 51.1668713, -114.0760252 51.1668256, -114.0758384 51.1667798, -114.0756597 51.1667361, -114.075473 51.1666904, -114.0752862 51.1666447, -114.0749803 51.1665698, -114.0746478 51.1664884, -114.0746139 51.1665432, -114.0745538 51.1666401, -114.0744938 51.1667371, -114.0744306 51.1668392, -114.0743705 51.1669362, -114.0743073 51.1670383, -114.0742639 51.1671083, -114.0742366 51.1671524, -114.0738264 51.1672896, -114.0737993 51.1672792, -114.0737701 51.1672715, -114.0737394 51.1672666, -114.0737079 51.1672646, -114.0737046 51.1672752, -114.0736875 51.1673308, -114.0736752 51.1673751, -114.0737167 51.1674128, -114.0737285 51.1674234, -114.0738147 51.1674361, -114.0739004 51.1674502, -114.073911 51.1674292, -114.0739159 51.1674074, -114.0739152 51.1673854, -114.0739088 51.1673638, -114.0743507 51.167216, -114.0743685 51.1671872, -114.0744381 51.1670749, -114.0745274 51.1669306, -114.0746515 51.1667302, -114.0746605 51.1667177, -114.0746714 51.1667058, -114.0746842 51.1666947, -114.0746987 51.1666845, -114.0747221 51.1666715, -114.0747482 51.1666609, -114.0747766 51.1666528, -114.0748065 51.1666473, -114.0748374 51.1666446, -114.0748685 51.1666447, -114.0748993 51.1666477, -114.0749291 51.1666535, -114.0751211 51.1667005, -114.0754102 51.1667712, -114.0755889 51.166815, -114.0757756 51.1668607, -114.0759624 51.1669064, -114.076141 51.1669501, -114.0763037 51.1669899, -114.076377 51.1670079, -114.0764302 51.1670209, -114.0764502 51.1670258, -114.0766048 51.1670636, -114.0767753 51.1671054, -114.0769458 51.1671471, -114.0770269 51.1671669, -114.077115 51.1671911, -114.0772908 51.1672394, -114.077469 51.1672883, -114.0774721 51.1672832, -114.0774816 51.1672636, -114.0774869 51.1672433, -114.0774882 51.1672228, -114.0774853 51.1672024, -114.0774622 51.1671074, -114.0774588 51.1670853, -114.0774596 51.1670631, -114.0774643 51.1670411, -114.077473 51.1670196, -114.0776211 51.1667265, -114.0776301 51.1665645, -114.0776096 51.1665975, -114.0775304 51.1667254, -114.0773954 51.1669435, -114.0773781 51.1669715, -114.0773652 51.1669923, -114.0773563 51.1670067, -114.0770787 51.1670834)))"
