ADDRESS,ASSESSMENT_CLASS_DESCRIPTION,COMM_NAME,LAND_USE_DESIGNATION,MULTIPOLYGON
402 2722 17 AV SW,Residential,SHAGANAPPI,MU-1,"MULTIPOLYGON (((-114.1250865 51.0383151, -114.1253302 51.0383149, -114.125332 51.0379515, -114.1250887 51.0379517, -114.1250865 51.0383151)))"
404 2722 17 AV SW,Residential,SHAGANAPPI,MU-1,"MULTIPOLYGON (((-114.1250865 51.0383151, -114.1253302 51.0383149, -114.125332 51.0379515, -114.1250887 51.0379517, -114.1250865 51.0383151)))"
4203 CENTRE ST NW,Residential,HIGHLAND PARK,MU-1,"MULTIPOLYGON (((-114.0626294 51.0898793, -114.0631946 51.0898792, -114.0631947 51.0897287, -114.0626295 51.0897288, -114.0626294 51.0898793)))"
4503 BOWNESS RD NW,Residential,MONTGOMERY,MU-1,"MULTIPOLYGON (((-114.1581023 51.0701609, -114.1579622 51.070056, -114.1575632 51.070268, -114.1577022 51.0703727, -114.1581023 51.0701609)))"
2605 17 AV SW,Non-Residential,RICHMOND,MU-1,"MULTIPOLYGON (((-114.1209827 51.0373175, -114.1209829 51.037386, -114.1209831 51.0374545, -114.1209833 51.037523, -114.1209835 51.0375915, -114.1209836 51.0376415, -114.121013 51.03766, -114.1210479 51.0376819, -114.1215267 51.0376818, -114.1215266 51.0376598, -114.1215264 51.0375913, -114.1215262 51.0375228, -114.121526 51.0374543, -114.1215258 51.0373859, -114.1215256 51.0373174, -114.1215254 51.0372489, -114.1209825 51.037249, -114.1209827 51.0373175)))"
1008 12 ST SE,Residential,INGLEWOOD,MU-1,"MULTIPOLYGON (((-114.0348211 51.040272, -114.0349431 51.0403194, -114.035065 51.0403668, -114.0353463 51.0400797, -114.0352243 51.0400322, -114.0351023 51.0399848, -114.0348211 51.040272)))"
2419 5 AV NW,Residential,WEST HILLHURST,MU-1,"MULTIPOLYGON (((-114.1165292 51.056789, -114.1165295 51.0571455, -114.1166382 51.0571454, -114.1166379 51.0567889, -114.1165292 51.056789)))"
1911 27 ST SW,Residential,KILLARNEY/GLENGARRY,MU-1,"MULTIPOLYGON (((-114.1268211 51.0374526, -114.1273641 51.0374525, -114.1273641 51.037384, -114.1273641 51.0373156, -114.1273641 51.0372963, -114.126821 51.0372965, -114.126821 51.0373156, -114.1268211 51.0373841, -114.1268211 51.0374526)))"
103 2734 17 AV SW,Residential,SHAGANAPPI,MU-1,"MULTIPOLYGON (((-114.1259476 51.0383141, -114.1262347 51.0383138, -114.1262368 51.0379509, -114.1259498 51.0379511, -114.1259476 51.0383141)))"
101 2734 17 AV SW,Residential,SHAGANAPPI,MU-1,"MULTIPOLYGON (((-114.1259476 51.0383141, -114.1262347 51.0383138, -114.1262368 51.0379509, -114.1259498 51.0379511, -114.1259476 51.0383141)))"
102 2734 17 AV SW,Residential,SHAGANAPPI,MU-1,"MULTIPOLYGON (((-114.1259476 51.0383141, -114.1262347 51.0383138, -114.1262368 51.0379509, -114.1259498 51.0379511, -114.1259476 51.0383141)))"
203 2734 17 AV SW,Residential,SHAGANAPPI,MU-1,"MULTIPOLYGON (((-114.1259476 51.0383141, -114.1262347 51.0383138, -114.1262368 51.0379509, -114.1259498 51.0379511, -114.1259476 51.0383141)))"
201 2734 17 AV SW,Residential,SHAGANAPPI,MU-1,"MULTIPOLYGON (((-114.1259476 51.0383141, -114.1262347 51.0383138, -114.1262368 51.0379509, -114.1259498 51.0379511, -114.1259476 51.0383141)))"
