ADDRESS,ASSESSMENT_CLASS_DESCRIPTION,COMM_NAME,LAND_USE_DESIGNATION,MULTIPOLYGON
2705R 84 ST NE,Non-Residential,RESIDUAL WARD 10 - SUB AREA 10E,"DC,S-UN","MULTIPOLYGON (((-113.9171735 51.0743014, -113.9171738 51.0785952, -113.9170511 51.0789108, -113.9181557 51.0781642, -113.9187057 51.0777924, -113.918744 51.0743334, -113.9187405 51.074301, -113.9171735 51.0743014)))"
5305 84 ST NE,Non-Residential,RESIDUAL WARD 10 - SUB AREA 10D,"DC,S-UN","MULTIPOLYGON (((-113.9139119 51.1014697, -113.9128127 51.1014699, -113.9120364 51.1022968, -113.9120368 51.1024676, -113.9139126 51.1024673, -113.9139119 51.1014697)))"
2900 SANCTUARY RD SE,Non-Residential,INGLEWOOD,"DC,S-UN","MULTIPOLYGON (((-114.0057334 51.0292757, -114.0057304 51.0292773, -114.0056843 51.0292927, -114.0056382 51.0293108, -114.0055887 51.0293386, -114.0055363 51.0293677, -114.0054882 51.0293941, -114.0054381 51.0294264, -114.0053812 51.0294478, -114.005338 51.0294664, -114.0052942 51.0294863, -114.0052387 51.0295036, -114.0051848 51.029531, -114.0051316 51.0295592, -114.0051216 51.0295661, -114.0050698 51.0295861, -114.0050243 51.0295549, -114.0050586 51.0295268, -114.0050993 51.0294932, -114.0051278 51.0294633, -114.0051592 51.0294361, -114.005208 51.0294061, -114.0052501 51.0293738, -114.0052881 51.0293475, -114.0053383 51.0293166, -114.0053826 51.0292829, -114.0054161 51.0292516, -114.0054532 51.0292185, -114.0054918 51.0291862, -114.0055224 51.0291513, -114.0055515 51.0291182, -114.0055243 51.0290942, -114.0054693 51.0290599, -114.0054818 51.0290283, -114.0055218 51.0289951, -114.0055701 51.028981, -114.0056228 51.0289697, -114.0056762 51.028957, -114.0057206 51.0289284, -114.0057701 51.0288997, -114.0057868 51.0289005, -114.0058404 51.028896, -114.0058543 51.0288658, -114.0058445 51.0288403, -114.0058296 51.0288198, -114.0058045 51.0287926, -114.0057858 51.0287603, -114.005786 51.0287288, -114.0058216 51.0286934, -114.0058623 51.0286602, -114.0059126 51.0286324, -114.0059579 51.0286148, -114.0060047 51.0285971, -114.0060492 51.0285739, -114.0060857 51.0285462, -114.0061107 51.028526, -114.0061457 51.0284997, -114.0062018 51.0284696, -114.0062491 51.0284437, -114.006295 51.0284164, -114.0063329 51.0283833, -114.0063845 51.0283555, -114.0064414 51.0283314, -114.0064967 51.0283058, -114.0065491 51.0282767, -114.0065922 51.0282558, -114.0066354 51.0282396, -114.0066851 51.0282196, -114.006742 51.0281972, -114.0067621 51.0281866, -114.0068145 51.0281584, -114.0068633 51.0281356, -114.0069175 51.0281247, -114.0069665 51.0281093, -114.0070117 51.0280848, -114.0070571 51.0280667, -114.0071085 51.0280636, -114.0071601 51.0280326, -114.0072015 51.0279971, -114.007251 51.0279648, -114.0073069 51.0279334, -114.0073625 51.0279179, -114.0074071 51.027903, -114.0074639 51.0278743, -114.0075171 51.0278483, -114.0075672 51.0278128, -114.0076137 51.0277791, -114.0076589 51.0277523, -114.0077049 51.027731, -114.0077579 51.0276954, -114.0078095 51.0276658, -114.0078596 51.0276312, -114.0079165 51.0276089, -114.0079648 51.0275912, -114.0080187 51.0275703, -114.0080567 51.0275476, -114.0080837 51.0275168, -114.008118 51.0274846, -114.0081659 51.0274509, -114.0081981 51.0274242, -114.0082338 51.0273952, -114.0082839 51.0273615, -114.0083211 51.0273329, -114.0083618 51.0273002, -114.0084019 51.0272716, -114.0084499 51.0272388, -114.0084949 51.0272038, -114.0085205 51.027173, -114.0085409 51.02714, -114.0085555 51.0271065, -114.0085674 51.0270822, -114.0085837 51.0270597, -114.0086063 51.0270239, -114.0086217 51.0269941, -114.0086335 51.0269671, -114.008651 51.0269332, -114.0086663 51.0268984, -114.0086767 51.0268663, -114.0086849 51.0268425, -114.0086959 51.0268091, -114.0087091 51.026777, -114.008723 51.0267417, -114.0087406 51.0267115, -114.0087568 51.026684, -114.0087687 51.026661, -114.0087876 51.0266262, -114.0088029 51.0265904, -114.008814 51.0265607, -114.0088193 51.0265342, -114.008824 51.0265085, -114.0088292 51.0264784, -114.008836 51.0264509, -114.008845 51.0264266, -114.0088589 51.0263973, -114.0088794 51.0263647, -114.008897 51.0263331, -114.0089116 51.0263024, -114.0089213 51.0262772, -114.008928 51.0262465, -114.0089427 51.0262131, -114.0089553 51.0261892, -114.0089765 51.026159, -114.0089999 51.0261296, -114.0090154 51.0261057, -114.0090315 51.0260718, -114.0090483 51.026042, -114.0090507 51.0260113, -114.0090401 51.0259881, -114.0090266 51.0259576, -114.0090108 51.0259285, -114.0089718 51.0258941, -114.0089237 51.0258775, -114.008884 51.0258453, -114.0088827 51.0258147, -114.0088807 51.0257842, -114.008883 51.0257499, -114.0088904 51.0257156, -114.0088943 51.0256886, -114.0088923 51.0256617, -114.0088883 51.0256389, -114.0088777 51.0256111, -114.0088648 51.0255801, -114.0088527 51.0255514, -114.0088414 51.0255282, -114.0088242 51.025495, -114.0088047 51.0254608, -114.0087867 51.025429, -114.0087688 51.0253944, -114.0087565 51.0253602, -114.0087481 51.025332, -114.0087324 51.0253047, -114.0087079 51.0252738, -114.008682 51.0252402, -114.0086603 51.0252061, -114.0086416 51.025171, -114.0086273 51.0251396, -114.0086216 51.0251054, -114.0086225 51.0250752, -114.0086277 51.0250396, -114.0086386 51.0250043, -114.008654 51.02497, -114.0086636 51.0249393, -114.0086463 51.0249052, -114.0086169 51.0248807, -114.0085669 51.0248811, -114.0085179 51.0248951, -114.0084624 51.0248736, -114.0084901 51.0248414, -114.0085469 51.0248154, -114.0085938 51.0248027, -114.0086465 51.0247914, -114.0086965 51.0247915, -114.0087457 51.0247857, -114.0087903 51.0247721, -114.0088177 51.0247624, -114.0088614 51.0247356, -114.0089 51.0247033, -114.0089255 51.0246707, -114.008941 51.0246418, -114.0089549 51.0246097, -114.0089689 51.0245822, -114.0089895 51.0245597, -114.009018 51.0245326, -114.0090399 51.0245013, -114.0090473 51.0244698, -114.0090395 51.0244369, -114.0090231 51.0244083, -114.0089768 51.0243734, -114.0089272 51.0243578, -114.0088764 51.0243545, -114.0088229 51.024359, -114.0087687 51.0243685, -114.0087247 51.0243802, -114.0086816 51.0243979, -114.0086327 51.0244211, -114.0085954 51.0244414, -114.0085494 51.0244651, -114.0085064 51.02449, -114.0084676 51.0245109, -114.008415 51.0245281, -114.008366 51.0245426, -114.0083214 51.0245635, -114.0082662 51.0245968, -114.0082183 51.0246314, -114.0081702 51.02466, -114.0081537 51.0246688, -114.008097 51.0246989, -114.0080468 51.0247262, -114.008003 51.0247521, -114.0079621 51.024778, -114.0079061 51.0248076, -114.0078673 51.0248257, -114.0078285 51.0248461, -114.0077799 51.0248793, -114.0077391 51.0249106, -114.0076926 51.0249448, -114.0076613 51.0249769, -114.0076335 51.0250027, -114.0075884 51.0250368, -114.0075527 51.0250654, -114.007535 51.0250916, -114.0075253 51.025114, -114.0075143 51.0251484, -114.007504 51.0251827, -114.0074921 51.0252065, -114.0074802 51.0252285, -114.0074532 51.0252607, -114.0074248 51.0252897, -114.0073971 51.0253209, -114.0073664 51.025349, -114.0073255 51.0253749, -114.0072782 51.0254026, -114.0072308 51.0254272, -114.0071768 51.0254476, -114.0071314 51.0254598, -114.0070787 51.0254716, -114.0070275 51.0254884, -114.0069871 51.0254992, -114.0069713 51.025503, -114.0069173 51.0255248, -114.0068684 51.0255498, -114.0068132 51.0255822, -114.0067658 51.0256076, -114.0067142 51.0256395, -114.0066634 51.0256732, -114.0066241 51.0257082, -114.0065841 51.0257409, -114.0065384 51.0257381, -114.0064898 51.0257347, -114.0064428 51.0257406, -114.0063997 51.0257623, -114.0063633 51.0257941, -114.0063356 51.0258276, -114.0063065 51.0258626, -114.0062888 51.0258837, -114.0062676 51.0259131, -114.0062573 51.0259465, -114.0062512 51.0259739, -114.0062489 51.0260064, -114.0062437 51.0260402, -114.0062058 51.0260706, -114.0061657 51.0260938, -114.0061198 51.0261242, -114.0060863 51.0261569, -114.0060455 51.0261864, -114.0059924 51.0262137, -114.0059451 51.0262451, -114.0059202 51.0262677, -114.0058895 51.0262962, -114.0058581 51.0263252, -114.0058298 51.0263601, -114.0058092 51.0263886, -114.005775 51.0264185, -114.0057241 51.0264504, -114.0056734 51.0264512, -114.0056257 51.026462, -114.005598 51.0264915, -114.0055753 51.0265177, -114.0055389 51.0265526, -114.0054931 51.0265836, -114.0054688 51.026607, -114.005449 51.0266309, -114.005396 51.0266665, -114.0053544 51.0266951, -114.0053281 51.0267222, -114.0052896 51.0267554, -114.0052328 51.0267823, -114.0051781 51.0268055, -114.005127 51.0268246, -114.0050824 51.0268418, -114.0050371 51.0268626, -114.0049941 51.0268913, -114.0049548 51.0269231, -114.0049241 51.0269511, -114.0048993 51.0269833, -114.0048796 51.0270172, -114.0048636 51.0270516, -114.0048742 51.0270821, -114.0048987 51.027113, -114.0048949 51.0271418, -114.0048636 51.0271763, -114.0048583 51.027206, -114.0048704 51.0272343, -114.0048666 51.0272663, -114.0048352 51.0272921, -114.0048118 51.0273233, -114.0047579 51.0273488, -114.004708 51.0273532, -114.0046527 51.0273838, -114.0046032 51.0274115, -114.0045528 51.0274288, -114.0045015 51.027441, -114.0044506 51.0274715, -114.0044273 51.0275032, -114.0043953 51.0275381, -114.0043421 51.0275636, -114.0042895 51.0275403, -114.0043019 51.0275064, -114.0043239 51.0274783, -114.0043538 51.0274484, -114.004304 51.0274182, -114.0042529 51.02744, -114.0042237 51.0274699, -114.0042039 51.0274988, -114.004169 51.0275278, -114.0041193 51.0275455, -114.0040785 51.0275764, -114.0040551 51.0276077, -114.0040425 51.027631, -114.0040076 51.0276669, -114.0039582 51.0276979, -114.0039131 51.0277306, -114.0038941 51.0277627, -114.0038377 51.0277695, -114.0037882 51.0277621, -114.0037437 51.0277866, -114.0037674 51.0278139, -114.0037803 51.027848, -114.0037925 51.0278804, -114.0038416 51.0279088, -114.0038978 51.0279344, -114.0039511 51.0279578, -114.0039938 51.0279918, -114.004042 51.0280175, -114.0040859 51.0280409, -114.004129 51.0280607, -114.0041766 51.0280837, -114.0042329 51.028113, -114.0042775 51.0281355, -114.0043308 51.0281598, -114.0043834 51.028185, -114.0043959 51.0281909, -114.0044399 51.0282225, -114.0044135 51.0282483, -114.0043692 51.0282431, -114.0043152 51.0282175, -114.0042662 51.028194, -114.0042099 51.0281657, -114.0041616 51.0281413, -114.0041089 51.0281116, -114.0040526 51.0280841, -114.0040044 51.0280598, -114.0039585 51.028045, -114.0039028 51.0280143, -114.0038592 51.0280037, -114.0038191 51.0280337, -114.0037714 51.0280011, -114.0037608 51.0279715, -114.0037515 51.0279405, -114.00373 51.0279123, -114.0036976 51.0278829, -114.0036978 51.0278541, -114.0036734 51.0278241, -114.003629 51.0278578, -114.0035763 51.0278654, -114.0035337 51.0278347, -114.0035244 51.0278005, -114.0035268 51.0277753, -114.0035314 51.0277474, -114.0035385 51.0277378, -114.0035887 51.0277091, -114.0036429 51.0277014, -114.0036894 51.0276655, -114.0037432 51.0276711, -114.0037814 51.0276594, -114.0037881 51.0276301, -114.0038013 51.0275962, -114.0038152 51.027566, -114.0038372 51.0275366, -114.0038858 51.0275011, -114.0039353 51.027471, -114.0039753 51.0274374, -114.0040218 51.0274046, -114.0040686 51.0273819, -114.0041161 51.0273633, -114.0041716 51.0273479, -114.0042264 51.0273315, -114.0042771 51.0273289, -114.0043191 51.0273267, -114.0043698 51.0273241, -114.0044218 51.0273196, -114.0044746 51.027311, -114.004523 51.0273011, -114.0045778 51.0272866, -114.0046127 51.0272511, -114.004628 51.0272168, -114.0046463 51.0271851, -114.0046696 51.0271507, -114.0046872 51.0271213, -114.0047013 51.0270947, -114.0047239 51.0270644, -114.0047487 51.02703, -114.0047721 51.0270024, -114.0048084 51.0269666, -114.0048455 51.0269339, -114.0048813 51.0269058, -114.0049228 51.0268753, -114.0049607 51.0268472, -114.0049964 51.0268154, -114.0050299 51.0267869, -114.0050758 51.0267587, -114.0051233 51.0267369, -114.0051671 51.0267133, -114.0051999 51.0266875, -114.0052298 51.026653, -114.005256 51.0266177, -114.0052844 51.0265873, -114.0053237 51.0265514, -114.0053543 51.0265238, -114.0053916 51.0264993, -114.0054403 51.0264661, -114.0054818 51.0264352, -114.0055247 51.0264038, -114.0055641 51.026378, -114.0056114 51.0263489, -114.0056659 51.0263161, -114.0057154 51.0262888, -114.0057534 51.026262, -114.005776 51.0262303, -114.005795 51.0261968, -114.0058089 51.0261652, -114.0058214 51.0261355, -114.0058317 51.026102, -114.0058429 51.0260777, -114.0058562 51.0260502, -114.0058809 51.0260154, -114.0059043 51.025986, -114.0059335 51.0259584, -114.0059736 51.0259256, -114.0060092 51.025893, -114.0060398 51.0258617, -114.0060689 51.0258281, -114.0060916 51.0257965, -114.0061135 51.0257662, -114.0061477 51.0257349, -114.0061733 51.0257054, -114.0061235 51.0256734, -114.0060692 51.0256806, -114.006018 51.0256915, -114.0059676 51.0257124, -114.0059252 51.0257309, -114.0058813 51.0257477, -114.005825 51.0257641, -114.0057795 51.0257735, -114.0057269 51.0257908, -114.0056788 51.0258135, -114.0056248 51.0258326, -114.0055902 51.025842, -114.0055418 51.0258524, -114.0054964 51.025866, -114.0054431 51.0258851, -114.0053898 51.0259028, -114.0053372 51.0259201, -114.0052809 51.0259373, -114.0052276 51.0259537, -114.0051772 51.0259696, -114.0051296 51.0259836, -114.0050878 51.0259958, -114.0050322 51.0260104, -114.0049795 51.0260235, -114.0049276 51.0260353, -114.0048828 51.0260461, -114.0048287 51.026062, -114.0047805 51.0260774, -114.0047257 51.0260965, -114.0046767 51.0261129, -114.004622 51.0261297, -114.0045751 51.0261428, -114.0045254 51.0261592, -114.0044821 51.0261723, -114.0044381 51.0261858, -114.0043855 51.026199, -114.004335 51.0262121, -114.0042831 51.0262312, -114.0042335 51.0262516, -114.0041839 51.0262744, -114.0041393 51.0262957, -114.0040883 51.0263225, -114.004054 51.026347, -114.0040182 51.0263733, -114.003981 51.0263991, -114.0039482 51.0264281, -114.0039138 51.0264558, -114.0038717 51.0264899, -114.0038346 51.0265226, -114.0037852 51.0265567, -114.0037313 51.0265859, -114.003676 51.0266109, -114.0036258 51.0266441, -114.003593 51.0266741, -114.0035617 51.0267053, -114.0035267 51.026738, -114.0034817 51.0267735, -114.0034329 51.0268026, -114.0033814 51.0268368, -114.0033348 51.0268663, -114.0033115 51.0269008, -114.0032902 51.0269288, -114.0032611 51.0269605, -114.0032362 51.0269904, -114.0032035 51.0270258, -114.0031779 51.0270529, -114.0031437 51.0270878, -114.0031138 51.0271182, -114.0030853 51.0271463, -114.0030569 51.027178, -114.0030469 51.027189, -114.0030265 51.0272202, -114.0030082 51.0272532, -114.0030016 51.0272885, -114.0029999 51.0273204, -114.0029984 51.0273542, -114.0029953 51.0273862, -114.002993 51.0274191, -114.0029899 51.0274475, -114.0029889 51.0274726, -114.0029864 51.0274964, -114.0029819 51.0275307, -114.0029657 51.0275587, -114.0029388 51.027594, -114.0029249 51.0276265, -114.0029203 51.0276558, -114.0029209 51.0276873, -114.0029244 51.0277211, -114.0029292 51.0277471, -114.002937 51.0277781, -114.0029419 51.0278114, -114.0029475 51.0278406, -114.0029524 51.0278739, -114.0029537 51.027905, -114.0029594 51.0279387, -114.0029678 51.027967, -114.002977 51.027993, -114.0029904 51.0280157, -114.0030098 51.0280452, -114.0030255 51.028073, -114.0030391 51.028104, -114.0030484 51.0281395, -114.0030598 51.0281682, -114.0030689 51.028191, -114.0030816 51.0282165, -114.003098 51.028242, -114.0031073 51.0282762, -114.0031202 51.0283089, -114.0031382 51.0283444, -114.0031577 51.0283767, -114.003169 51.0284036, -114.0031774 51.0284259, -114.0031844 51.0284551, -114.0031908 51.028488, -114.0031992 51.0285162, -114.0032056 51.0285491, -114.003209 51.0285746, -114.0032168 51.0286075, -114.0032261 51.0286416, -114.0032403 51.0286694, -114.0032617 51.0286907, -114.0033021 51.0287188, -114.003328 51.0287492, -114.0033546 51.0287773, -114.0033833 51.0288045, -114.0033969 51.0288341, -114.0033966 51.0288606, -114.0033929 51.0288949, -114.003384 51.0289288, -114.0033694 51.0289604, -114.0033626 51.0289901, -114.0033637 51.0290111, -114.0033744 51.0290403, -114.0034127 51.0290761, -114.0034422 51.0291042, -114.0034696 51.0291355, -114.0034912 51.0291678, -114.003507 51.0292011, -114.0035152 51.0292147, -114.0035403 51.0292396, -114.0035669 51.0292728, -114.0035855 51.0293001, -114.0035985 51.0293342, -114.0036113 51.0293643, -114.0036285 51.0293966, -114.0036464 51.0294253, -114.0036701 51.0294534, -114.0036931 51.0294816, -114.0037096 51.0295143, -114.0037166 51.029544, -114.003715 51.0295746, -114.0037113 51.0296089, -114.0037082 51.0296422, -114.0037125 51.0296769, -114.0037137 51.0297043, -114.0037208 51.0297395, -114.0037366 51.0297695, -114.0037567 51.0298045, -114.0037689 51.029835, -114.0037817 51.0298633, -114.0037843 51.0298861, -114.0037921 51.0299207, -114.0038058 51.0299545, -114.003812 51.0299795, -114.0038234 51.0300119, -114.0038253 51.0300361, -114.0038287 51.0300635, -114.0038363 51.0300853, -114.0038549 51.0301135, -114.0038816 51.0301485, -114.0039017 51.0301767, -114.0039174 51.0302012, -114.0039266 51.0302345, -114.0039432 51.0302677, -114.0039625 51.0302968, -114.0039849 51.0303328, -114.0040181 51.0303673, -114.0040484 51.0303986, -114.0040714 51.0304281, -114.0041088 51.0304552, -114.0041607 51.0304763, -114.0042059 51.0304929, -114.0042485 51.0305287, -114.0042617 51.0305416, -114.0042795 51.0305591, -114.0043185 51.0305935, -114.0043516 51.0306202, -114.0043986 51.030656, -114.0044456 51.0306909, -114.0044803 51.0307244, -114.004504 51.0307535, -114.0045248 51.0307844, -114.0045463 51.0308103, -114.0045723 51.0308439, -114.0045879 51.0308707, -114.0045942 51.030894, -114.0046128 51.0309254, -114.0046511 51.0309603, -114.0046945 51.0309961, -114.004732 51.0310259, -114.0047754 51.0310585, -114.0048115 51.0310925, -114.0048549 51.0311283, -114.0048922 51.031154, -114.0050498 51.0311982, -114.0046993 51.0306968, -114.0045903 51.0305409, -114.0065535 51.0305372, -114.0066098 51.0303597, -114.0069815 51.0300402, -114.0073681 51.0297077, -114.0068336 51.0297849, -114.0057334 51.0292757)))"
10499 15 ST NE,Farm Land,STONEY 1,"DC,S-UN","MULTIPOLYGON (((-114.0364036 51.1433411, -114.0355249 51.1438305, -114.0330773 51.144682, -114.0320383 51.145044, -114.031206 51.1456766, -114.0309425 51.1459201, -114.0306755 51.146162, -114.0304449 51.1463671, -114.0302117 51.146571, -114.0299759 51.1467738, -114.0297377 51.1469754, -114.0298452 51.1469751, -114.0302823 51.1469739, -114.0324979 51.1469675, -114.0327888 51.1469666, -114.0344911 51.1469616, -114.0354723 51.1469588, -114.0355726 51.1469585, -114.0365082 51.1469557, -114.0365093 51.1464904, -114.0365094 51.1464706, -114.036517 51.1433755, -114.0364036 51.1433411)))"
10411 15 ST SE,Non-Residential,MAPLE RIDGE,"DC,S-UN","MULTIPOLYGON (((-114.029904 50.9609706, -114.0268713 50.9609548, -114.0271063 50.9616881, -114.0272698 50.9618185, -114.0276402 50.9622858, -114.0276526 50.9623116, -114.0303382 50.9623168, -114.029904 50.9609706)))"
9999 114 AV SE,Non-Residential,RESIDUAL WARD 12 - SUB AREA 12B,"DC,S-UN","MULTIPOLYGON (((-113.8889421 50.9504333, -113.888942 50.9504783, -113.8893759 50.9504783, -113.8958724 50.9504787, -113.895873 50.9504787, -113.8920602 50.9493099, -113.8913241 50.9490842, -113.8913242 50.9490842, -113.8916705 50.9488404, -113.8916701 50.9488403, -113.8893825 50.9481389, -113.8889493 50.9480061, -113.8889421 50.9504333)))"
101 108 25 AV SW,Residential,MISSION,"DC,S-UN","MULTIPOLYGON (((-114.0638824 51.0304873, -114.0639001 51.0305194, -114.0639317 51.0306054, -114.0639553 51.0306627, -114.0639819 51.0307195, -114.0640033 51.0307493, -114.0640945 51.0308219, -114.0641843 51.0308245, -114.0642444 51.0308263, -114.0644614 51.0308326, -114.0645698 51.0308357, -114.0645947 51.0304798, -114.0644862 51.0304767, -114.064269 51.0304704, -114.0641716 51.0304676, -114.0639419 51.0304609, -114.0638518 51.0304583, -114.0638824 51.0304873)))"
102 108 25 AV SW,Residential,MISSION,"DC,S-UN","MULTIPOLYGON (((-114.0638824 51.0304873, -114.0639001 51.0305194, -114.0639317 51.0306054, -114.0639553 51.0306627, -114.0639819 51.0307195, -114.0640033 51.0307493, -114.0640945 51.0308219, -114.0641843 51.0308245, -114.0642444 51.0308263, -114.0644614 51.0308326, -114.0645698 51.0308357, -114.0645947 51.0304798, -114.0644862 51.0304767, -114.064269 51.0304704, -114.0641716 51.0304676, -114.0639419 51.0304609, -114.0638518 51.0304583, -114.0638824 51.0304873)))"
103 108 25 AV SW,Residential,MISSION,"DC,S-UN","MULTIPOLYGON (((-114.0638824 51.0304873, -114.0639001 51.0305194, -114.0639317 51.0306054, -114.0639553 51.0306627, -114.0639819 51.0307195, -114.0640033 51.0307493, -114.0640945 51.0308219, -114.0641843 51.0308245, -114.0642444 51.0308263, -114.0644614 51.0308326, -114.0645698 51.0308357, -114.0645947 51.0304798, -114.0644862 51.0304767, -114.064269 51.0304704, -114.0641716 51.0304676, -114.0639419 51.0304609, -114.0638518 51.0304583, -114.0638824 51.0304873)))"
104 108 25 AV SW,Residential,MISSION,"DC,S-UN","MULTIPOLYGON (((-114.0638824 51.0304873, -114.0639001 51.0305194, -114.0639317 51.0306054, -114.0639553 51.0306627, -114.0639819 51.0307195, -114.0640033 51.0307493, -114.0640945 51.0308219, -114.0641843 51.0308245, -114.0642444 51.0308263, -114.0644614 51.0308326, -114.0645698 51.0308357, -114.0645947 51.0304798, -114.0644862 51.0304767, -114.064269 51.0304704, -114.0641716 51.0304676, -114.0639419 51.0304609, -114.0638518 51.0304583, -114.0638824 51.0304873)))"
